W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
nl27k process retrival by pcst
id: 4066
question: Question: catholic locatedat what?
Only output your answer without any explanation.
Answer: 
label: new
graph: Data(x=[454, 1024], edge_index=[2, 477], edge_attr=[477, 1024], num_nodes=454)
desc: src,edge_attr,dst
new,proxyof,bishop
new,atlocation,catholic
new,locatedat,england
northeast_united_states,locatedat,new
society,locatedat,new
new,locatedat,hope
new,locatedat,hundred_years
new,locatedat,shows
new,locatedat,minutes
hall,locatedat,new
investors,locatedat,new
information,locatedat,new
height,locatedat,new
paris,locatedat,new
seat,locatedat,new
look,locatedat,new
object,locatedat,new
mix,locatedat,new
station,locatedat,new
media,locatedat,new
extension,locatedat,new
paradise,locatedat,new
guess,locatedat,new
http,locatedat,new
york_city,locatedat,new
travel,locatedat,new
quebec,locatedat,new
visit,locatedat,new
regions,locatedat,new
victoria,locatedat,new
theme,locatedat,new
stronghold,locatedat,new
guardian,locatedat,new
new,locatedat,arts
territory,locatedat,new
supporter,locatedat,new
state_capital,locatedat,new
gift,locatedat,new
three_times,locatedat,new
france_france,locatedat,new
new,locatedat,paltz
exciting_city,locatedat,new
manhattan,locatedat,new
maine,locatedat,new
casino,locatedat,new
stations,locatedat,new
new,locatedat,reasons
surprise,locatedat,new
new_orleans,locatedat,new
photographs,locatedat,new
ideal_location,locatedat,new
banks,locatedat,new
new,locatedat,bedford
new,locatedat,england_area
summit,locatedat,new
property,locatedat,new
shape,locatedat,new
outdoors,locatedat,new
new,locatedat,art
big_apple,locatedat,new
key,locatedat,new
countryside,locatedat,new
guide,locatedat,new
lovely_place,locatedat,new
schedules,locatedat,new
entry_point,locatedat,new
dakota,locatedat,new
american_city,locatedat,new
canaan,locatedat,new
columbia,locatedat,new
hudson,locatedat,new
hour,locatedat,new
voice,locatedat,new
us_city,locatedat,new
league,locatedat,new
guinea,locatedat,new
landscape,locatedat,new
new,locatedat,meetings
new,locatedat,guinea
new,locatedat,things
spain,locatedat,new
secret,locatedat,new
design,locatedat,new
hudson_valley,locatedat,new
nation,locatedat,new
web,locatedat,new
new,locatedat,the_arts
jungle,locatedat,new
student,locatedat,new
farmers,locatedat,new
star,locatedat,new
line,locatedat,new
tour,locatedat,new
access,locatedat,new
champion,locatedat,new
new,locatedat,consecutive_months
knowledge,locatedat,new
word,locatedat,new
new,locatedat,orleans
miami,locatedat,new
image,locatedat,new
new,locatedat,performances
atlantis,locatedat,new
center,locatedat,new
construction,locatedat,new
rochelle,locatedat,new
new,locatedat,short_years
activities,locatedat,new
repository,locatedat,new
steps,locatedat,new
buzz,locatedat,new
maze,locatedat,new
camp,locatedat,new
fabulous_city,locatedat,new
tri_state_area,locatedat,new
d_c_,locatedat,new
hollywood,locatedat,new
south_pacific,locatedat,new
brunswick,locatedat,new
team,locatedat,new
milford,locatedat,new
tradition,locatedat,new
good_friend,locatedat,new
east_asia,locatedat,new
bar,locatedat,new
mt,locatedat,new
museums,locatedat,new
main_source,locatedat,new
license,locatedat,new
result,locatedat,new
exposure,locatedat,new
real_place,locatedat,new
new_york,locatedat,new
west_coast,locatedat,new
start,locatedat,new
us,locatedat,new
bike,locatedat,new
candidate,locatedat,new
job,locatedat,new
ground_zero,locatedat,new
new,locatedat,decades
australasia,locatedat,new
south_wales,locatedat,new
new,locatedat,quarters
groups,locatedat,new
holder,locatedat,new
important_step,locatedat,new
democrat,locatedat,new
unit,locatedat,new
homeland,locatedat,new
home_town,locatedat,new
_,locatedat,new
process,locatedat,new
light,locatedat,new
new,locatedat,caledonia
post,locatedat,new
new,locatedat,jersey_areas
epicenter,locatedat,new
favorite_place,locatedat,new
california,locatedat,new
control,locatedat,new
account,locatedat,new
powerhouse,locatedat,new
waters,locatedat,new
internet,locatedat,new
south_east_asian_countries,locatedat,new
problem,locatedat,new
disappointment,locatedat,new
studio,locatedat,new
headquarters,locatedat,new
short_drive,locatedat,new
new,locatedat,york
jobs,locatedat,new
fit,locatedat,new
group,locatedat,new
korea,locatedat,new
question,locatedat,new
reminder,locatedat,new
club,locatedat,new
first_center,locatedat,new
new,locatedat,france_france
new_england_state,locatedat,new
locations,locatedat,new
history,locatedat,new
holiday,locatedat,new
american,locatedat,new
new,locatedat,dollars
introduction,locatedat,new
new,locatedat,million_years
clients,locatedat,new
new,locatedat,post
cities,locatedat,new
weekend,locatedat,new
york_area,locatedat,new
crime,locatedat,new
large_city,locatedat,new
national_capital,locatedat,new
properties,locatedat,new
exhibit,locatedat,new
wonderful_way,locatedat,new
new,locatedat,south_wales
state,locatedat,new
forum,locatedat,new
face,locatedat,new
residents,locatedat,new
jewel,locatedat,new
entire_united_states,locatedat,new
climate,locatedat,new
top_choice,locatedat,new
nature,locatedat,new
way,locatedat,new
schools,locatedat,new
new,locatedat,_
louisiana,locatedat,new
big_draw,locatedat,new
n18_years,locatedat,new
africa,locatedat,new
politics,locatedat,new
new,locatedat,dates
nine,locatedat,new
new,locatedat,piece
trip,locatedat,new
priority,locatedat,new
position,locatedat,new
land,locatedat,new
mississippi,locatedat,new
representative,locatedat,new
owner,locatedat,new
top,locatedat,new
new,locatedat,rochelle
enterprise,locatedat,new
options,locatedat,new
home,locatedat,new
back,locatedat,new
sanctuary,locatedat,new
tickets,locatedat,new
author,locatedat,new
america,locatedat,new
new,locatedat,amsterdam
same_time,locatedat,new
usa,locatedat,new
one_city,locatedat,new
buildings,locatedat,new
area_residents,locatedat,new
manager,locatedat,new
heaven,locatedat,new
centre,locatedat,new
west,locatedat,new
court,locatedat,new
arizona,locatedat,new
property_types,locatedat,new
carolina,locatedat,new
holland,locatedat,new
health,locatedat,new
chain,locatedat,new
mouth,locatedat,new
premier,locatedat,new
international_city,locatedat,new
entire_state,locatedat,new
metro_area,locatedat,new
circuit,locatedat,new
second_city,locatedat,new
target,locatedat,new
offices,locatedat,new
ten,locatedat,new
title,locatedat,new
new,locatedat,blocks
coastal_city,locatedat,new
credit,locatedat,new
number,locatedat,new
host,locatedat,new
ports,locatedat,new
performances,locatedat,new
new,locatedat,months
new,locatedat,centuries
independent_state,locatedat,new
central001,locatedat,new
goal,locatedat,new
frontrunner,locatedat,new
choice,locatedat,new
northeast,locatedat,new
village,locatedat,new
site,locatedat,new
new,locatedat,york_area
florida001,locatedat,new
delhi,locatedat,new
n2_0,locatedat,new
adventure,locatedat,new
right,locatedat,new
six,locatedat,new
dates,locatedat,new
meeting,locatedat,new
blue_state,locatedat,new
new,locatedat,hampshire
empire,locatedat,new
new,locatedat,spain
reasons,locatedat,new
contrast,locatedat,new
caledonia,locatedat,new
woman,locatedat,new
self,locatedat,new
stadium,locatedat,new
united_kingdom,locatedat,new
u_s__city,locatedat,new
match,locatedat,new
story,locatedat,new
moment,locatedat,new
new,locatedat,london
showcase,locatedat,new
dream,locatedat,new
scenery,locatedat,new
specialty,locatedat,new
traffic,locatedat,new
new,locatedat,canaan
facility,locatedat,new
picture,locatedat,new
new,locatedat,persons
jersey,locatedat,new
township,locatedat,new
world,locatedat,new
new_york_state,locatedat,new
paper,locatedat,new
disney_world,locatedat,new
new,locatedat,generations
volunteer,locatedat,new
crossroads,locatedat,new
new,locatedat,more_months
ship,locatedat,new
parents,locatedat,new
new,locatedat,milford
perfect_location,locatedat,new
u_s_,locatedat,new
province,locatedat,new
division,locatedat,new
new,locatedat,ny
mind,locatedat,new
international_center,locatedat,new
study,locatedat,new
n1,locatedat,new
york,locatedat,new
jersey_areas,locatedat,new
king,locatedat,new
n15_years,locatedat,new
father,locatedat,new
new,locatedat,summers
london,locatedat,new
news,locatedat,new
new,locatedat,new_york_university__s_steinhardt_school
money,locatedat,new
shows,locatedat,new
first_place,locatedat,new
us_,locatedat,new
campus,locatedat,new
variety,locatedat,new
great_place,locatedat,new
whole_world,locatedat,new
marvel,locatedat,new
vermont,locatedat,new
corner,locatedat,new
large_metropolitan_area,locatedat,new
north_america,locatedat,new
fan,locatedat,new
japan,locatedat,new
icon,locatedat,new
shop,locatedat,new
issues,locatedat,new
hospitals,locatedat,new
essence_magazine,locatedat,new
entire_country,locatedat,new
note,locatedat,new
people,locatedat,new
gulf,locatedat,new
partnership,locatedat,new
next_step,locatedat,new
americas,locatedat,new
destinations,locatedat,new
teaching,locatedat,new
weather,locatedat,new
beauty,locatedat,new
church,locatedat,new
fertile_ground,locatedat,new
cost,locatedat,new
bed,locatedat,new
home_city,locatedat,new
charge,locatedat,new
culture,locatedat,new
places,locatedat,new
england,locatedat,new
canada,locatedat,new
new,locatedat,property_types
increase,locatedat,new
new,locatedat,hours
employment,locatedat,new
move,locatedat,new
friends,locatedat,new
europe,locatedat,new
plus,locatedat,new
high_risk,locatedat,new
stub,locatedat,new
capital,locatedat,new
deals,locatedat,new
new,locatedat,consecutive_years
heritage,locatedat,new
u_s__state,locatedat,new
art,locatedat,new
new_england,locatedat,new
home_state,locatedat,new
united_states,locatedat,new
world_city,locatedat,new
head,locatedat,new
australia,locatedat,new
new,locatedat,thousand_years
jam,locatedat,new
sides,locatedat,new
universe,locatedat,new
leader,locatedat,new
new,locatedat,york_city
ninth_state,locatedat,new
investment,locatedat,new
galleries,locatedat,new
seven_days,locatedat,new
experts,locatedat,new
new,locatedat,york_county
questions,locatedat,new
franchise,locatedat,new
foundation,locatedat,new
n10_years,locatedat,new
version,locatedat,new
states,locatedat,new
pictures,locatedat,new
kids,locatedat,new
services,locatedat,new
efforts,locatedat,new
safety,locatedat,new
anomaly,locatedat,new
ease,locatedat,new
ground,locatedat,new
place,locatedat,new
new,locatedat,jersey
men,locatedat,new
honor,locatedat,new
season,locatedat,new
north_east,locatedat,new
prime_location,locatedat,new
finance,locatedat,new
series,locatedat,new
pick,locatedat,new
marketplace,locatedat,new
new,locatedat,years
high_school,locatedat,new
hit,locatedat,new
starting_point,locatedat,new
