W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
ppi5k process retrival by pcst
id: 13072
question: Question: 882_dvu0483 binding what?
Only output your answer without any explanation.
Answer: 
label: 882_dvu0453
graph: Data(x=[5, 1024], edge_index=[2, 8], edge_attr=[8, 1024], num_nodes=5)
desc: src,edge_attr,dst
882_dvu0453,binding,882_dvu0483
882_dvu2843,binding,882_dvu0483
882_dvu0483,binding,882_dvu0453
882_dvu0483,binding,882_dvu0156
882_dvu1649,binding,882_dvu0483
882_dvu0483,binding,882_dvu2843
882_dvu0483,binding,882_dvu1649
882_dvu0156,binding,882_dvu0483

# train: 28702
# val: 2326
# test: 2634
