W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
start seed everything...
end seed everything!
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline', lr=1e-05, wd=0.05, patience=2, batch_size=1, grad_steps=2, num_epochs=1, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=2096, max_new_tokens=32, max_memory=[80], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 3.4840777646157066e-10, Accum Loss: 1.2155514359474182
Lr: 1.045223329384712e-09, Accum Loss: 1.7613235116004944
Lr: 1.7420388823078532e-09, Accum Loss: 1.4694066643714905
Lr: 2.4388544352309944e-09, Accum Loss: 1.5761210322380066
Lr: 3.1356699881541357e-09, Accum Loss: 1.4456472396850586
Lr: 3.832485541077277e-09, Accum Loss: 1.8311728239059448
Lr: 4.529301094000418e-09, Accum Loss: 1.4393561482429504
Lr: 5.22611664692356e-09, Accum Loss: 1.1920115649700165
Lr: 5.922932199846701e-09, Accum Loss: 1.347790777683258
Lr: 6.619747752769842e-09, Accum Loss: 1.203117549419403
Lr: 7.316563305692984e-09, Accum Loss: 1.4857892990112305
Lr: 8.013378858616125e-09, Accum Loss: 1.6556147336959839
Lr: 8.710194411539266e-09, Accum Loss: 1.9351802468299866
Lr: 9.407009964462408e-09, Accum Loss: 1.6643004417419434
Lr: 1.010382551738555e-08, Accum Loss: 0.9325987696647644
Lr: 1.080064107030869e-08, Accum Loss: 1.4719768166542053
Lr: 1.1497456623231831e-08, Accum Loss: 1.352084457874298
Lr: 1.2194272176154973e-08, Accum Loss: 1.1287004947662354
Lr: 1.2891087729078114e-08, Accum Loss: 1.5106658935546875
Lr: 1.3587903282001256e-08, Accum Loss: 1.761239230632782
Lr: 1.4284718834924396e-08, Accum Loss: 1.4891517162322998
Lr: 1.4981534387847537e-08, Accum Loss: 1.409298062324524
Lr: 1.5678349940770677e-08, Accum Loss: 1.5298632979393005
Lr: 1.637516549369382e-08, Accum Loss: 1.431369662284851
Lr: 1.707198104661696e-08, Accum Loss: 1.4998003244400024
Lr: 1.7768796599540104e-08, Accum Loss: 1.3289963603019714
Lr: 1.8465612152463244e-08, Accum Loss: 1.746459722518921
Lr: 1.9162427705386384e-08, Accum Loss: 1.707944095134735
Lr: 1.9859243258309527e-08, Accum Loss: 1.8236321806907654
Lr: 2.0556058811232667e-08, Accum Loss: 1.8997339606285095
Lr: 2.125287436415581e-08, Accum Loss: 1.3454115986824036
Lr: 2.194968991707895e-08, Accum Loss: 1.2241191267967224
Lr: 2.264650547000209e-08, Accum Loss: 1.616849660873413
Lr: 2.3343321022925234e-08, Accum Loss: 1.5501434803009033
Lr: 2.4040136575848374e-08, Accum Loss: 1.3863608241081238
Lr: 2.4736952128771517e-08, Accum Loss: 1.5432568192481995
Lr: 2.5433767681694657e-08, Accum Loss: 1.8591843247413635
Lr: 2.6130583234617797e-08, Accum Loss: 1.4795782566070557
Lr: 2.682739878754094e-08, Accum Loss: 1.1383830606937408
Lr: 2.752421434046408e-08, Accum Loss: 1.302915871143341
Lr: 2.8221029893387223e-08, Accum Loss: 1.7426421642303467
Lr: 2.8917845446310363e-08, Accum Loss: 1.2859787344932556
Lr: 2.9614660999233503e-08, Accum Loss: 1.2496711015701294
Lr: 3.031147655215664e-08, Accum Loss: 1.617816984653473
Lr: 3.1008292105079787e-08, Accum Loss: 1.873671054840088
Lr: 3.170510765800293e-08, Accum Loss: 1.1645405888557434
Lr: 3.240192321092607e-08, Accum Loss: 1.7651246190071106
Lr: 3.309873876384921e-08, Accum Loss: 1.2686786651611328
Lr: 3.379555431677235e-08, Accum Loss: 1.5490661263465881
Lr: 3.4492369869695496e-08, Accum Loss: 1.6590900421142578
Lr: 3.518918542261863e-08, Accum Loss: 1.4228327870368958
Lr: 3.5886000975541776e-08, Accum Loss: 1.2821747064590454
Lr: 3.658281652846492e-08, Accum Loss: 1.3642671704292297
Lr: 3.7279632081388056e-08, Accum Loss: 1.5123353004455566
Lr: 3.79764476343112e-08, Accum Loss: 1.7156896591186523
Lr: 3.867326318723434e-08, Accum Loss: 1.3822928667068481
Lr: 3.9370078740157486e-08, Accum Loss: 1.0206679105758667
Lr: 4.006689429308062e-08, Accum Loss: 1.642492651939392
Lr: 4.0763709846003766e-08, Accum Loss: 1.1960789561271667
Lr: 4.146052539892691e-08, Accum Loss: 1.492083489894867
Lr: 4.2157340951850046e-08, Accum Loss: 1.5484158396720886
Lr: 4.285415650477319e-08, Accum Loss: 1.3554598689079285
Lr: 4.355097205769633e-08, Accum Loss: 1.5512851476669312
Lr: 4.424778761061947e-08, Accum Loss: 1.1676124930381775
Lr: 4.494460316354261e-08, Accum Loss: 1.48465096950531
Lr: 4.5641418716465756e-08, Accum Loss: 1.4820088148117065
Lr: 4.63382342693889e-08, Accum Loss: 1.537790060043335
Lr: 4.7035049822312036e-08, Accum Loss: 2.063565671443939
Lr: 4.773186537523518e-08, Accum Loss: 1.4641547203063965
Lr: 4.842868092815832e-08, Accum Loss: 1.3611311316490173
Lr: 4.912549648108146e-08, Accum Loss: 1.4270738363265991
Lr: 4.98223120340046e-08, Accum Loss: 1.1126857995986938
Lr: 5.0519127586927745e-08, Accum Loss: 1.3901636600494385
Lr: 5.121594313985088e-08, Accum Loss: 1.494256615638733
Lr: 5.1912758692774025e-08, Accum Loss: 2.3612043857574463
