W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
G-Retriever
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='ppi5k', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=1, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=2096, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 31485952 || all params: 6769901568 || trainable%: 0.4650872938659542
start training...
Lr: 6.968155529231413e-10, Accum Loss: 0.7592001557350159
Lr: 2.090446658769424e-09, Accum Loss: 0.6192048490047455
Lr: 3.4840777646157065e-09, Accum Loss: 0.8392113149166107
Lr: 4.877708870461989e-09, Accum Loss: 0.5264362543821335
Lr: 6.271339976308271e-09, Accum Loss: 0.7899399399757385
Lr: 7.664971082154555e-09, Accum Loss: 0.6661048233509064
Lr: 9.058602188000836e-09, Accum Loss: 0.6813212335109711
Lr: 1.045223329384712e-08, Accum Loss: 0.5563923418521881
Lr: 1.1845864399693403e-08, Accum Loss: 0.6126605570316315
Lr: 1.3239495505539684e-08, Accum Loss: 0.6275025606155396
Lr: 1.4633126611385967e-08, Accum Loss: 0.8535520434379578
Lr: 1.602675771723225e-08, Accum Loss: 0.5865966081619263
Lr: 1.7420388823078532e-08, Accum Loss: 0.8219572007656097
Lr: 1.8814019928924816e-08, Accum Loss: 0.7875047028064728
Lr: 2.02076510347711e-08, Accum Loss: 0.8205372989177704
Lr: 2.160128214061738e-08, Accum Loss: 0.6264518946409225
Lr: 2.2994913246463662e-08, Accum Loss: 0.6325875520706177
Lr: 2.4388544352309945e-08, Accum Loss: 0.733014315366745
Lr: 2.578217545815623e-08, Accum Loss: 0.5966494679450989
Lr: 2.7175806564002512e-08, Accum Loss: 0.6951989233493805
Lr: 2.8569437669848792e-08, Accum Loss: 0.6641122996807098
Lr: 2.9963068775695075e-08, Accum Loss: 0.820895254611969
Lr: 3.1356699881541355e-08, Accum Loss: 0.9028924405574799
Lr: 3.275033098738764e-08, Accum Loss: 0.6273527145385742
Lr: 3.414396209323392e-08, Accum Loss: 0.6574966907501221
Lr: 3.553759319908021e-08, Accum Loss: 0.7153244316577911
Lr: 3.693122430492649e-08, Accum Loss: 0.8455421626567841
Lr: 3.832485541077277e-08, Accum Loss: 0.7278745770454407
Lr: 3.9718486516619054e-08, Accum Loss: 0.6295322775840759
Lr: 4.1112117622465334e-08, Accum Loss: 0.5909923613071442
Lr: 4.250574872831162e-08, Accum Loss: 0.7705807387828827
Lr: 4.38993798341579e-08, Accum Loss: 0.6898505091667175
Lr: 4.529301094000418e-08, Accum Loss: 0.7472111284732819
Lr: 4.668664204585047e-08, Accum Loss: 0.8226931691169739
Lr: 4.808027315169675e-08, Accum Loss: 0.6056429445743561
Lr: 4.9473904257543034e-08, Accum Loss: 0.7933433055877686
Lr: 5.0867535363389314e-08, Accum Loss: 0.7427777647972107
Lr: 5.2261166469235594e-08, Accum Loss: 0.6674528419971466
Lr: 5.365479757508188e-08, Accum Loss: 0.5948498845100403
Lr: 5.504842868092816e-08, Accum Loss: 0.7856423258781433
Lr: 5.644205978677445e-08, Accum Loss: 0.7211417257785797
Lr: 5.7835690892620727e-08, Accum Loss: 0.6068848371505737
Lr: 5.9229321998467007e-08, Accum Loss: 0.7182994186878204
Lr: 6.062295310431329e-08, Accum Loss: 0.6151840537786484
Lr: 6.201658421015957e-08, Accum Loss: 0.8035207390785217
Lr: 6.341021531600586e-08, Accum Loss: 0.774391382932663
Lr: 6.480384642185215e-08, Accum Loss: 0.5667409896850586
Lr: 6.619747752769842e-08, Accum Loss: 0.5218229740858078
Lr: 6.75911086335447e-08, Accum Loss: 0.408345028758049
Lr: 6.898473973939099e-08, Accum Loss: 0.6236037611961365
Lr: 7.037837084523727e-08, Accum Loss: 0.6022484302520752
Lr: 7.177200195108355e-08, Accum Loss: 0.7197867929935455
Lr: 7.316563305692984e-08, Accum Loss: 0.4400763213634491
Lr: 7.455926416277611e-08, Accum Loss: 0.5483212620019913
Lr: 7.59528952686224e-08, Accum Loss: 0.40333618223667145
Lr: 7.734652637446869e-08, Accum Loss: 0.4860635846853256
Lr: 7.874015748031497e-08, Accum Loss: 0.4856325685977936
Lr: 8.013378858616125e-08, Accum Loss: 0.4650786966085434
Lr: 8.152741969200753e-08, Accum Loss: 0.4368036538362503
Lr: 8.292105079785382e-08, Accum Loss: 0.6449550092220306
Lr: 8.431468190370009e-08, Accum Loss: 0.5151442438364029
Lr: 8.570831300954638e-08, Accum Loss: 0.6476315557956696
Lr: 8.710194411539266e-08, Accum Loss: 0.6242209076881409
Lr: 8.849557522123894e-08, Accum Loss: 0.5691976249217987
Lr: 8.988920632708522e-08, Accum Loss: 0.5543962121009827
Lr: 9.128283743293151e-08, Accum Loss: 0.5897570848464966
Lr: 9.26764685387778e-08, Accum Loss: 0.5551833808422089
Lr: 9.407009964462407e-08, Accum Loss: 0.6318288743495941
Lr: 9.546373075047036e-08, Accum Loss: 0.28114965558052063
Lr: 9.685736185631664e-08, Accum Loss: 0.5536389797925949
Lr: 9.825099296216292e-08, Accum Loss: 0.5009355247020721
