W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline', lr=1e-05, wd=0.05, patience=2, batch_size=8, grad_steps=2, num_epochs=5, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=[80], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 2.7878449958182328e-09, Accum Loss: 2.2288753986358643
Lr: 8.363534987454698e-09, Accum Loss: 2.258711576461792
Lr: 1.3939224979091163e-08, Accum Loss: 2.2086923122406006
Lr: 1.951491497072763e-08, Accum Loss: 2.3635858297348022
Lr: 2.5090604962364095e-08, Accum Loss: 2.196111798286438
Lr: 3.0666294954000555e-08, Accum Loss: 2.249992609024048
Lr: 3.624198494563703e-08, Accum Loss: 2.1865766048431396
Lr: 4.181767493727349e-08, Accum Loss: 2.101757526397705
Lr: 4.739336492890996e-08, Accum Loss: 2.1537197828292847
Lr: 5.296905492054643e-08, Accum Loss: 2.126083731651306
Lr: 5.854474491218289e-08, Accum Loss: 2.095914602279663
Lr: 6.412043490381935e-08, Accum Loss: 2.1606032848358154
Lr: 6.969612489545581e-08, Accum Loss: 2.128151297569275
Lr: 7.527181488709229e-08, Accum Loss: 2.2175681591033936
Lr: 8.084750487872875e-08, Accum Loss: 2.232867956161499
Lr: 8.642319487036522e-08, Accum Loss: 2.2389538288116455
Lr: 9.199888486200168e-08, Accum Loss: 2.0670674443244934
Lr: 9.757457485363815e-08, Accum Loss: 2.2658106088638306
Lr: 1.031502648452746e-07, Accum Loss: 2.119123935699463
Lr: 1.0872595483691107e-07, Accum Loss: 2.093317747116089
Lr: 1.1430164482854754e-07, Accum Loss: 2.13565456867218
Lr: 1.1987733482018402e-07, Accum Loss: 2.1732062101364136
Lr: 1.2545302481182048e-07, Accum Loss: 2.0717467069625854
Lr: 1.3102871480345694e-07, Accum Loss: 2.0386738777160645
Lr: 1.366044047950934e-07, Accum Loss: 2.1531693935394287
Lr: 1.4218009478672986e-07, Accum Loss: 2.263073444366455
Lr: 1.4775578477836634e-07, Accum Loss: 2.2999932765960693
Lr: 1.533314747700028e-07, Accum Loss: 2.1564388275146484
Lr: 1.589071647616393e-07, Accum Loss: 2.296385407447815
Lr: 1.6448285475327575e-07, Accum Loss: 2.2382912635803223
Lr: 1.7005854474491218e-07, Accum Loss: 2.1520243883132935
Lr: 1.7563423473654864e-07, Accum Loss: 2.249927282333374
Lr: 1.8120992472818513e-07, Accum Loss: 2.233938455581665
Lr: 1.867856147198216e-07, Accum Loss: 2.1584208011627197
Lr: 1.9236130471145805e-07, Accum Loss: 2.0741236805915833
Lr: 1.9793699470309453e-07, Accum Loss: 2.241767406463623
Lr: 2.03512684694731e-07, Accum Loss: 2.124172329902649
Lr: 2.0908837468636745e-07, Accum Loss: 1.9688696265220642
Lr: 2.146640646780039e-07, Accum Loss: 2.079996943473816
Lr: 2.202397546696404e-07, Accum Loss: 2.200304627418518
Lr: 2.2581544466127686e-07, Accum Loss: 2.0969464778900146
Lr: 2.3139113465291332e-07, Accum Loss: 2.1937673091888428
Lr: 2.3696682464454978e-07, Accum Loss: 2.2022674083709717
Lr: 2.4254251463618624e-07, Accum Loss: 2.274844527244568
Lr: 2.481182046278227e-07, Accum Loss: 2.2772215604782104
Lr: 2.5369389461945916e-07, Accum Loss: 2.1755847930908203
Lr: 2.5926958461109567e-07, Accum Loss: 2.0677040815353394
Lr: 2.6484527460273213e-07, Accum Loss: 2.198211431503296
Lr: 2.704209645943686e-07, Accum Loss: 2.161366105079651
Lr: 2.7599665458600505e-07, Accum Loss: 2.152267336845398
Lr: 2.815723445776415e-07, Accum Loss: 2.1290767788887024
Lr: 2.8714803456927797e-07, Accum Loss: 2.1774905920028687
Lr: 2.9272372456091443e-07, Accum Loss: 2.1818065643310547
Lr: 2.9829941455255094e-07, Accum Loss: 2.2173538208007812
Lr: 3.0387510454418735e-07, Accum Loss: 2.1170973777770996
Lr: 3.094507945358238e-07, Accum Loss: 2.0433977842330933
Lr: 3.150264845274603e-07, Accum Loss: 2.165250539779663
Lr: 3.2060217451909673e-07, Accum Loss: 2.088752269744873
Lr: 3.2617786451073324e-07, Accum Loss: 2.2657562494277954
Lr: 3.317535545023697e-07, Accum Loss: 2.193408727645874
Lr: 3.3732924449400616e-07, Accum Loss: 2.1550991535186768
Lr: 3.429049344856426e-07, Accum Loss: 2.2040337324142456
Lr: 3.4848062447727913e-07, Accum Loss: 2.1317410469055176
Lr: 3.5405631446891554e-07, Accum Loss: 2.2224934101104736
Lr: 3.5963200446055205e-07, Accum Loss: 2.1418105363845825
Lr: 3.6520769445218846e-07, Accum Loss: 2.0652095079421997
Lr: 3.7078338444382497e-07, Accum Loss: 2.0933016538619995
Lr: 3.7635907443546143e-07, Accum Loss: 2.085153102874756
Lr: 3.8193476442709784e-07, Accum Loss: 2.1262664794921875
Lr: 3.8751045441873435e-07, Accum Loss: 2.237959384918213
Lr: 3.9308614441037086e-07, Accum Loss: 2.108313798904419
Lr: 3.9866183440200727e-07, Accum Loss: 2.191610813140869
