W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
G-Retriever with random sampled 50 triples
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=5, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=2096, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 31485952 || all params: 6769901568 || trainable%: 0.4650872938659542
start training...
Lr: 6.968155529231413e-10, Accum Loss: 1.0530022978782654
Lr: 2.090446658769424e-09, Accum Loss: 0.6952460408210754
Lr: 3.4840777646157065e-09, Accum Loss: 1.2121873497962952
Lr: 4.877708870461989e-09, Accum Loss: 0.8427881002426147
Lr: 6.271339976308271e-09, Accum Loss: 1.0590496063232422
Lr: 7.664971082154555e-09, Accum Loss: 1.2456243634223938
Lr: 9.058602188000836e-09, Accum Loss: 1.078072339296341
Lr: 1.045223329384712e-08, Accum Loss: 0.8553617298603058
Lr: 1.1845864399693403e-08, Accum Loss: 0.8991574347019196
Lr: 1.3239495505539684e-08, Accum Loss: 0.7722552418708801
Lr: 1.4633126611385967e-08, Accum Loss: 0.8526394963264465
Lr: 1.602675771723225e-08, Accum Loss: 0.996245801448822
Lr: 1.7420388823078532e-08, Accum Loss: 0.9600245952606201
Lr: 1.8814019928924816e-08, Accum Loss: 0.9586735367774963
Lr: 2.02076510347711e-08, Accum Loss: 0.9995006918907166
Lr: 2.160128214061738e-08, Accum Loss: 0.6473273634910583
Lr: 2.2994913246463662e-08, Accum Loss: 0.6391208171844482
Lr: 2.4388544352309945e-08, Accum Loss: 1.1119216680526733
Lr: 2.578217545815623e-08, Accum Loss: 0.922651469707489
Lr: 2.7175806564002512e-08, Accum Loss: 0.8435090184211731
Lr: 2.8569437669848792e-08, Accum Loss: 0.8226544857025146
Lr: 2.9963068775695075e-08, Accum Loss: 0.8860742449760437
Lr: 3.1356699881541355e-08, Accum Loss: 0.8071687817573547
Lr: 3.275033098738764e-08, Accum Loss: 0.9465159475803375
Lr: 3.414396209323392e-08, Accum Loss: 0.9102587997913361
Lr: 3.553759319908021e-08, Accum Loss: 1.0104113817214966
Lr: 3.693122430492649e-08, Accum Loss: 1.1125481724739075
Lr: 3.832485541077277e-08, Accum Loss: 0.8744432032108307
Lr: 3.9718486516619054e-08, Accum Loss: 0.9611557424068451
Lr: 4.1112117622465334e-08, Accum Loss: 0.8013867437839508
Lr: 4.250574872831162e-08, Accum Loss: 0.8184418678283691
Lr: 4.38993798341579e-08, Accum Loss: 1.0104610919952393
Lr: 4.529301094000418e-08, Accum Loss: 1.031097650527954
