W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with pcst retrieval
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='ppi5k', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=5, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=2096, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 6.968155529231413e-10, Accum Loss: 0.845679759979248
Lr: 2.090446658769424e-09, Accum Loss: 0.707062691450119
Lr: 3.4840777646157065e-09, Accum Loss: 0.7075748145580292
Lr: 4.877708870461989e-09, Accum Loss: 0.7617367804050446
Lr: 6.271339976308271e-09, Accum Loss: 0.816101998090744
Lr: 7.664971082154555e-09, Accum Loss: 0.747037261724472
Lr: 9.058602188000836e-09, Accum Loss: 0.7169820368289948
Lr: 1.045223329384712e-08, Accum Loss: 0.7382364273071289
Lr: 1.1845864399693403e-08, Accum Loss: 0.6110008955001831
Lr: 1.3239495505539684e-08, Accum Loss: 0.5960783362388611
Lr: 1.4633126611385967e-08, Accum Loss: 0.6298815906047821
Lr: 1.602675771723225e-08, Accum Loss: 0.7624844908714294
Lr: 1.7420388823078532e-08, Accum Loss: 0.7793183326721191
Lr: 1.8814019928924816e-08, Accum Loss: 0.8144305348396301
Lr: 2.02076510347711e-08, Accum Loss: 0.8616880178451538
Lr: 2.160128214061738e-08, Accum Loss: 0.528242215514183
Lr: 2.2994913246463662e-08, Accum Loss: 0.7398369014263153
Lr: 2.4388544352309945e-08, Accum Loss: 0.7286979854106903
Lr: 2.578217545815623e-08, Accum Loss: 0.9197410345077515
Lr: 2.7175806564002512e-08, Accum Loss: 0.8604313731193542
Lr: 2.8569437669848792e-08, Accum Loss: 0.630572497844696
Lr: 2.9963068775695075e-08, Accum Loss: 0.8771643936634064
Lr: 3.1356699881541355e-08, Accum Loss: 0.8735255300998688
Lr: 3.275033098738764e-08, Accum Loss: 0.7475527822971344
Lr: 3.414396209323392e-08, Accum Loss: 0.8861660063266754
