W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with pcst retrieval
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='nl27k', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=5, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=2096, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 2.1055734529299058e-10, Accum Loss: 6.2830491065979
Lr: 6.316720358789717e-10, Accum Loss: 9.455881595611572
Lr: 1.0527867264649528e-09, Accum Loss: 10.965900897979736
Lr: 1.473901417050934e-09, Accum Loss: 6.195105075836182
Lr: 1.895016107636915e-09, Accum Loss: 5.837865471839905
Lr: 2.316130798222896e-09, Accum Loss: 8.539749145507812
Lr: 2.7372454888088775e-09, Accum Loss: 6.015687465667725
Lr: 3.1583601793948585e-09, Accum Loss: 6.892510414123535
Lr: 3.5794748699808394e-09, Accum Loss: 5.140334367752075
Lr: 4.000589560566821e-09, Accum Loss: 5.3888139724731445
Lr: 4.421704251152802e-09, Accum Loss: 3.977941393852234
Lr: 4.842818941738783e-09, Accum Loss: 7.568005561828613
Lr: 5.263933632324764e-09, Accum Loss: 7.165355920791626
Lr: 5.685048322910745e-09, Accum Loss: 6.4439496994018555
Lr: 6.1061630134967264e-09, Accum Loss: 6.41733193397522
Lr: 6.527277704082707e-09, Accum Loss: 8.732750415802002
Lr: 6.948392394668688e-09, Accum Loss: 8.782788753509521
Lr: 7.36950708525467e-09, Accum Loss: 6.2603806257247925
Lr: 7.79062177584065e-09, Accum Loss: 8.402459383010864
Lr: 8.211736466426633e-09, Accum Loss: 9.7961266040802
Lr: 8.632851157012614e-09, Accum Loss: 5.472366094589233
Lr: 9.053965847598595e-09, Accum Loss: 7.157826900482178
Lr: 9.475080538184574e-09, Accum Loss: 5.027576446533203
Lr: 9.896195228770557e-09, Accum Loss: 6.7155890464782715
Lr: 1.0317309919356538e-08, Accum Loss: 8.348700523376465
Lr: 1.073842460994252e-08, Accum Loss: 9.911562442779541
Lr: 1.11595393005285e-08, Accum Loss: 7.938603401184082
Lr: 1.1580653991114482e-08, Accum Loss: 7.895362615585327
Lr: 1.2001768681700462e-08, Accum Loss: 5.915732383728027
Lr: 1.2422883372286443e-08, Accum Loss: 7.164047002792358
Lr: 1.2843998062872425e-08, Accum Loss: 5.49181342124939
Lr: 1.3265112753458404e-08, Accum Loss: 9.03098750114441
Lr: 1.3686227444044387e-08, Accum Loss: 8.068366289138794
Lr: 1.4107342134630366e-08, Accum Loss: 5.7389280796051025
Lr: 1.4528456825216349e-08, Accum Loss: 6.414987087249756
Lr: 1.4949571515802328e-08, Accum Loss: 9.300191402435303
Lr: 1.537068620638831e-08, Accum Loss: 6.17174506187439
Lr: 1.5791800896974294e-08, Accum Loss: 8.550579309463501
Lr: 1.6212915587560273e-08, Accum Loss: 8.71550703048706
Lr: 1.6634030278146255e-08, Accum Loss: 8.442221879959106
Lr: 1.7055144968732235e-08, Accum Loss: 11.086643934249878
Lr: 1.7476259659318217e-08, Accum Loss: 10.120421886444092
Lr: 1.7897374349904197e-08, Accum Loss: 8.142761945724487
Lr: 1.831848904049018e-08, Accum Loss: 5.021224617958069
Lr: 1.873960373107616e-08, Accum Loss: 11.970918655395508
Lr: 1.916071842166214e-08, Accum Loss: 4.779311656951904
Lr: 1.958183311224812e-08, Accum Loss: 7.232975721359253
Lr: 2.0002947802834103e-08, Accum Loss: 7.312255144119263
Lr: 2.0424062493420086e-08, Accum Loss: 9.804397583007812
Lr: 2.084517718400607e-08, Accum Loss: 6.645801305770874
Lr: 2.1266291874592048e-08, Accum Loss: 4.204474687576294
Lr: 2.1687406565178027e-08, Accum Loss: 10.96937894821167
Lr: 2.2108521255764006e-08, Accum Loss: 8.021856307983398
Lr: 2.2529635946349992e-08, Accum Loss: 6.292132139205933
Lr: 2.295075063693597e-08, Accum Loss: 7.460325717926025
Lr: 2.337186532752195e-08, Accum Loss: 5.333937883377075
Lr: 2.3792980018107933e-08, Accum Loss: 5.721334218978882
Lr: 2.4214094708693916e-08, Accum Loss: 10.177155017852783
Lr: 2.4635209399279895e-08, Accum Loss: 5.643720865249634
Lr: 2.5056324089865878e-08, Accum Loss: 4.897414922714233
Lr: 2.5477438780451857e-08, Accum Loss: 5.919519782066345
Lr: 2.589855347103784e-08, Accum Loss: 4.925579309463501
Lr: 2.6319668161623823e-08, Accum Loss: 6.9425554275512695
Lr: 2.6740782852209802e-08, Accum Loss: 9.846999168395996
