W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='cn15k_baseline', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 3.835826620636747e-09, Accum Loss: 8.97113847732544
Lr: 1.1507479861910243e-08, Accum Loss: 9.549020290374756
Lr: 1.917913310318374e-08, Accum Loss: 8.76196002960205
Lr: 2.6850786344457232e-08, Accum Loss: 9.07868242263794
Lr: 3.452243958573073e-08, Accum Loss: 9.83930492401123
Lr: 4.219409282700422e-08, Accum Loss: 9.049437046051025
Lr: 4.986574606827772e-08, Accum Loss: 8.81452989578247
Lr: 5.7537399309551214e-08, Accum Loss: 9.24963903427124
Lr: 6.520905255082471e-08, Accum Loss: 9.284016609191895
Lr: 7.28807057920982e-08, Accum Loss: 9.032483100891113
Lr: 8.05523590333717e-08, Accum Loss: 9.49225664138794
Lr: 8.822401227464519e-08, Accum Loss: 8.939820766448975
Lr: 9.589566551591869e-08, Accum Loss: 9.269621849060059
Lr: 1.0356731875719218e-07, Accum Loss: 8.902105808258057
Lr: 1.1123897199846568e-07, Accum Loss: 9.16165542602539
Lr: 1.1891062523973918e-07, Accum Loss: 9.139336585998535
Lr: 1.2658227848101266e-07, Accum Loss: 8.901600360870361
Lr: 1.3425393172228616e-07, Accum Loss: 9.574480056762695
Lr: 1.4192558496355966e-07, Accum Loss: 8.63855266571045
Lr: 1.4959723820483316e-07, Accum Loss: 9.525267601013184
Lr: 1.5726889144610666e-07, Accum Loss: 8.893409252166748
Lr: 1.6494054468738016e-07, Accum Loss: 9.709831714630127
Lr: 1.7261219792865363e-07, Accum Loss: 9.475204944610596
Lr: 1.8028385116992713e-07, Accum Loss: 9.773808002471924
Lr: 1.8795550441120063e-07, Accum Loss: 9.37336015701294
Lr: 1.9562715765247413e-07, Accum Loss: 9.650157451629639
Lr: 2.032988108937476e-07, Accum Loss: 8.650477409362793
Lr: 2.109704641350211e-07, Accum Loss: 9.607845783233643
Lr: 2.186421173762946e-07, Accum Loss: 8.93390417098999
