W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
G-Retriever
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='cn15k', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=2096, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 31485952 || all params: 6769901568 || trainable%: 0.4650872938659542
start training...
Lr: 4.794783275795934e-10, Accum Loss: 7.729995012283325
Lr: 1.4384349827387803e-09, Accum Loss: 11.042480230331421
Lr: 2.3973916378979674e-09, Accum Loss: 10.176445007324219
Lr: 3.356348293057154e-09, Accum Loss: 12.859504222869873
Lr: 4.315304948216341e-09, Accum Loss: 9.009549140930176
Lr: 5.274261603375528e-09, Accum Loss: 11.975096702575684
Lr: 6.233218258534715e-09, Accum Loss: 10.600096225738525
Lr: 7.192174913693902e-09, Accum Loss: 8.791953086853027
Lr: 8.151131568853088e-09, Accum Loss: 10.229573249816895
Lr: 9.110088224012276e-09, Accum Loss: 10.848406791687012
Lr: 1.0069044879171463e-08, Accum Loss: 12.57839298248291
Lr: 1.1028001534330649e-08, Accum Loss: 12.453258037567139
Lr: 1.1986958189489836e-08, Accum Loss: 12.437528610229492
Lr: 1.2945914844649022e-08, Accum Loss: 10.149682998657227
Lr: 1.390487149980821e-08, Accum Loss: 8.928819179534912
Lr: 1.4863828154967397e-08, Accum Loss: 11.734484195709229
Lr: 1.5822784810126583e-08, Accum Loss: 10.337958812713623
Lr: 1.678174146528577e-08, Accum Loss: 6.056670665740967
Lr: 1.7740698120444958e-08, Accum Loss: 8.683158159255981
Lr: 1.8699654775604145e-08, Accum Loss: 9.659985542297363
Lr: 1.9658611430763333e-08, Accum Loss: 9.89271879196167
Lr: 2.061756808592252e-08, Accum Loss: 10.963671684265137
Lr: 2.1576524741081704e-08, Accum Loss: 9.959517002105713
Lr: 2.2535481396240892e-08, Accum Loss: 11.758129119873047
Lr: 2.349443805140008e-08, Accum Loss: 8.076390981674194
Lr: 2.4453394706559267e-08, Accum Loss: 12.578293800354004
Lr: 2.541235136171845e-08, Accum Loss: 7.148740291595459
Lr: 2.6371308016877638e-08, Accum Loss: 14.500053882598877
Lr: 2.7330264672036826e-08, Accum Loss: 12.034392833709717
Lr: 2.8289221327196013e-08, Accum Loss: 8.30354118347168
Lr: 2.92481779823552e-08, Accum Loss: 6.280069828033447
Lr: 3.020713463751439e-08, Accum Loss: 11.625230312347412
Lr: 3.1166091292673576e-08, Accum Loss: 11.388487339019775
Lr: 3.212504794783276e-08, Accum Loss: 9.446934223175049
Lr: 3.308400460299195e-08, Accum Loss: 8.777106523513794
Lr: 3.404296125815114e-08, Accum Loss: 11.812539100646973
Lr: 3.500191791331032e-08, Accum Loss: 11.05046558380127
Lr: 3.5960874568469506e-08, Accum Loss: 6.90494179725647
Lr: 3.6919831223628694e-08, Accum Loss: 10.914631843566895
Lr: 3.787878787878788e-08, Accum Loss: 8.770858764648438
Lr: 3.883774453394707e-08, Accum Loss: 14.343832015991211
Lr: 3.9796701189106256e-08, Accum Loss: 12.978164196014404
Lr: 4.0755657844265443e-08, Accum Loss: 9.894309282302856
Lr: 4.1714614499424624e-08, Accum Loss: 9.826977252960205
Lr: 4.267357115458381e-08, Accum Loss: 12.73473072052002
Lr: 4.3632527809743e-08, Accum Loss: 9.073231220245361
Lr: 4.4591484464902187e-08, Accum Loss: 7.8698036670684814
Lr: 4.5550441120061374e-08, Accum Loss: 8.421332836151123
Lr: 4.650939777522056e-08, Accum Loss: 7.71435809135437
Lr: 4.746835443037975e-08, Accum Loss: 8.959444522857666
Lr: 4.842731108553894e-08, Accum Loss: 8.87167239189148
Lr: 4.938626774069813e-08, Accum Loss: 11.824432849884033
Lr: 5.034522439585732e-08, Accum Loss: 10.602789640426636
Lr: 5.130418105101649e-08, Accum Loss: 7.98787522315979
Lr: 5.226313770617568e-08, Accum Loss: 10.127956867218018
Lr: 5.322209436133487e-08, Accum Loss: 10.579000473022461
Lr: 5.418105101649406e-08, Accum Loss: 9.43459939956665
Lr: 5.514000767165325e-08, Accum Loss: 12.796886920928955
Lr: 5.6098964326812436e-08, Accum Loss: 10.275529384613037
Lr: 5.7057920981971623e-08, Accum Loss: 9.2626473903656
Lr: 5.801687763713081e-08, Accum Loss: 10.875153541564941
Lr: 5.897583429229e-08, Accum Loss: 9.900204181671143
Lr: 5.993479094744917e-08, Accum Loss: 9.021739959716797
Lr: 6.089374760260837e-08, Accum Loss: 9.540573596954346
Lr: 6.185270425776755e-08, Accum Loss: 8.937572479248047
Lr: 6.281166091292674e-08, Accum Loss: 9.616821050643921
Lr: 6.377061756808592e-08, Accum Loss: 11.855891227722168
Lr: 6.472957422324512e-08, Accum Loss: 8.953481197357178
Lr: 6.56885308784043e-08, Accum Loss: 9.769614696502686
Lr: 6.664748753356349e-08, Accum Loss: 12.017158508300781
Lr: 6.760644418872267e-08, Accum Loss: 10.36589503288269
Lr: 6.856540084388187e-08, Accum Loss: 10.593661785125732
Lr: 6.952435749904105e-08, Accum Loss: 12.481277465820312
Lr: 7.048331415420023e-08, Accum Loss: 12.25485897064209
Lr: 7.144227080935942e-08, Accum Loss: 13.672047138214111
Lr: 7.24012274645186e-08, Accum Loss: 9.365172624588013
Lr: 7.33601841196778e-08, Accum Loss: 9.114015102386475
Lr: 7.431914077483698e-08, Accum Loss: 9.085558414459229
Lr: 7.527809742999617e-08, Accum Loss: 12.715760231018066
Lr: 7.623705408515537e-08, Accum Loss: 10.823800086975098
Lr: 7.719601074031455e-08, Accum Loss: 7.542031288146973
Lr: 7.815496739547374e-08, Accum Loss: 11.59382438659668
Lr: 7.911392405063292e-08, Accum Loss: 9.584132671356201
Lr: 8.007288070579212e-08, Accum Loss: 13.301068782806396
Lr: 8.10318373609513e-08, Accum Loss: 11.723497867584229
Lr: 8.199079401611049e-08, Accum Loss: 11.948613166809082
Lr: 8.294975067126966e-08, Accum Loss: 7.476988792419434
Lr: 8.390870732642884e-08, Accum Loss: 12.303163528442383
Lr: 8.486766398158803e-08, Accum Loss: 9.993784427642822
Lr: 8.582662063674721e-08, Accum Loss: 11.019142627716064
Lr: 8.678557729190641e-08, Accum Loss: 9.4938063621521
Lr: 8.77445339470656e-08, Accum Loss: 9.907978057861328
Lr: 8.870349060222478e-08, Accum Loss: 10.726255416870117
Lr: 8.966244725738398e-08, Accum Loss: 9.385960817337036
Lr: 9.062140391254316e-08, Accum Loss: 11.12338924407959
Lr: 9.158036056770235e-08, Accum Loss: 13.09392786026001
Lr: 9.253931722286153e-08, Accum Loss: 10.114280939102173
Lr: 9.349827387802073e-08, Accum Loss: 8.047063112258911
Lr: 9.445723053317991e-08, Accum Loss: 12.808292388916016
Lr: 9.54161871883391e-08, Accum Loss: 11.885222911834717
Lr: 9.637514384349828e-08, Accum Loss: 12.171952247619629
Lr: 9.733410049865748e-08, Accum Loss: 12.746893882751465
Lr: 9.829305715381666e-08, Accum Loss: 8.783900260925293
Lr: 9.925201380897585e-08, Accum Loss: 9.875418424606323
Lr: 1.0021097046413503e-07, Accum Loss: 9.621936321258545
Lr: 1.0116992711929421e-07, Accum Loss: 9.99471139907837
Lr: 1.021288837744534e-07, Accum Loss: 11.984413146972656
Lr: 1.0308784042961259e-07, Accum Loss: 7.835942983627319
Lr: 1.0404679708477177e-07, Accum Loss: 8.416628122329712
Lr: 1.0500575373993096e-07, Accum Loss: 11.72876787185669
Lr: 1.0596471039509014e-07, Accum Loss: 9.824317932128906
Lr: 1.0692366705024934e-07, Accum Loss: 12.181347846984863
Lr: 1.0788262370540852e-07, Accum Loss: 8.081852912902832
Lr: 1.0884158036056771e-07, Accum Loss: 12.450130939483643
Lr: 1.098005370157269e-07, Accum Loss: 11.084413528442383
Lr: 1.1075949367088609e-07, Accum Loss: 8.948293447494507
Lr: 1.1171845032604527e-07, Accum Loss: 9.229223728179932
Lr: 1.1267740698120446e-07, Accum Loss: 6.96364951133728
Lr: 1.1363636363636364e-07, Accum Loss: 8.019569873809814
Lr: 1.1459532029152284e-07, Accum Loss: 9.129949569702148
Lr: 1.1555427694668202e-07, Accum Loss: 9.775291442871094
Lr: 1.1651323360184121e-07, Accum Loss: 10.037750720977783
Lr: 1.174721902570004e-07, Accum Loss: 7.168262243270874
Lr: 1.1843114691215959e-07, Accum Loss: 7.653654336929321
Lr: 1.1939010356731878e-07, Accum Loss: 9.062602043151855
Lr: 1.2034906022247794e-07, Accum Loss: 11.262489318847656
Lr: 1.2130801687763714e-07, Accum Loss: 7.211899757385254
Lr: 1.2226697353279632e-07, Accum Loss: 10.359404563903809
Lr: 1.232259301879555e-07, Accum Loss: 8.781360149383545
