W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
G-Retriever with random sampled 50 triples
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='cn15k_baseline', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=2096, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 31485952 || all params: 6769901568 || trainable%: 0.4650872938659542
start training...
Lr: 4.794783275795934e-10, Accum Loss: 7.6310014724731445
Lr: 1.4384349827387803e-09, Accum Loss: 10.817197561264038
Lr: 2.3973916378979674e-09, Accum Loss: 10.447028636932373
Lr: 3.356348293057154e-09, Accum Loss: 12.343923568725586
Lr: 4.315304948216341e-09, Accum Loss: 8.806566834449768
Lr: 5.274261603375528e-09, Accum Loss: 10.968783855438232
Lr: 6.233218258534715e-09, Accum Loss: 10.598370552062988
Lr: 7.192174913693902e-09, Accum Loss: 8.75023365020752
Lr: 8.151131568853088e-09, Accum Loss: 9.81072187423706
Lr: 9.110088224012276e-09, Accum Loss: 10.51040005683899
Lr: 1.0069044879171463e-08, Accum Loss: 12.578245639801025
Lr: 1.1028001534330649e-08, Accum Loss: 12.331562995910645
Lr: 1.1986958189489836e-08, Accum Loss: 11.809503078460693
Lr: 1.2945914844649022e-08, Accum Loss: 9.538026094436646
Lr: 1.390487149980821e-08, Accum Loss: 9.114436864852905
Lr: 1.4863828154967397e-08, Accum Loss: 11.635493755340576
Lr: 1.5822784810126583e-08, Accum Loss: 10.243944644927979
Lr: 1.678174146528577e-08, Accum Loss: 5.84590482711792
Lr: 1.7740698120444958e-08, Accum Loss: 8.509184837341309
Lr: 1.8699654775604145e-08, Accum Loss: 9.17588758468628
Lr: 1.9658611430763333e-08, Accum Loss: 9.659410953521729
Lr: 2.061756808592252e-08, Accum Loss: 11.01052713394165
Lr: 2.1576524741081704e-08, Accum Loss: 9.497283458709717
Lr: 2.2535481396240892e-08, Accum Loss: 11.022541046142578
Lr: 2.349443805140008e-08, Accum Loss: 8.209717512130737
Lr: 2.4453394706559267e-08, Accum Loss: 12.500207424163818
Lr: 2.541235136171845e-08, Accum Loss: 7.115995645523071
Lr: 2.6371308016877638e-08, Accum Loss: 13.156375408172607
Lr: 2.7330264672036826e-08, Accum Loss: 11.506279468536377
Lr: 2.8289221327196013e-08, Accum Loss: 8.058911800384521
Lr: 2.92481779823552e-08, Accum Loss: 6.434774398803711
Lr: 3.020713463751439e-08, Accum Loss: 11.2449369430542
Lr: 3.1166091292673576e-08, Accum Loss: 10.535701274871826
Lr: 3.212504794783276e-08, Accum Loss: 9.254801750183105
Lr: 3.308400460299195e-08, Accum Loss: 8.790794372558594
Lr: 3.404296125815114e-08, Accum Loss: 11.378353118896484
Lr: 3.500191791331032e-08, Accum Loss: 10.481507301330566
Lr: 3.5960874568469506e-08, Accum Loss: 6.543734312057495
Lr: 3.6919831223628694e-08, Accum Loss: 10.214930534362793
Lr: 3.787878787878788e-08, Accum Loss: 8.166712522506714
Lr: 3.883774453394707e-08, Accum Loss: 13.156932353973389
Lr: 3.9796701189106256e-08, Accum Loss: 12.55006742477417
Lr: 4.0755657844265443e-08, Accum Loss: 9.62407398223877
Lr: 4.1714614499424624e-08, Accum Loss: 9.00233507156372
Lr: 4.267357115458381e-08, Accum Loss: 12.54747724533081
Lr: 4.3632527809743e-08, Accum Loss: 9.026890993118286
Lr: 4.4591484464902187e-08, Accum Loss: 7.463037729263306
Lr: 4.5550441120061374e-08, Accum Loss: 8.180301666259766
Lr: 4.650939777522056e-08, Accum Loss: 7.589325666427612
Lr: 4.746835443037975e-08, Accum Loss: 9.57298231124878
Lr: 4.842731108553894e-08, Accum Loss: 8.54435420036316
Lr: 4.938626774069813e-08, Accum Loss: 10.137326717376709
Lr: 5.034522439585732e-08, Accum Loss: 10.174351215362549
Lr: 5.130418105101649e-08, Accum Loss: 7.866631746292114
Lr: 5.226313770617568e-08, Accum Loss: 9.60720705986023
Lr: 5.322209436133487e-08, Accum Loss: 9.770182132720947
Lr: 5.418105101649406e-08, Accum Loss: 9.146385192871094
Lr: 5.514000767165325e-08, Accum Loss: 11.96267318725586
Lr: 5.6098964326812436e-08, Accum Loss: 9.99273681640625
Lr: 5.7057920981971623e-08, Accum Loss: 9.25326919555664
Lr: 5.801687763713081e-08, Accum Loss: 10.5947904586792
Lr: 5.897583429229e-08, Accum Loss: 9.82506275177002
Lr: 5.993479094744917e-08, Accum Loss: 9.517886638641357
Lr: 6.089374760260837e-08, Accum Loss: 9.269099712371826
Lr: 6.185270425776755e-08, Accum Loss: 8.854268074035645
Lr: 6.281166091292674e-08, Accum Loss: 9.329084396362305
Lr: 6.377061756808592e-08, Accum Loss: 11.269458293914795
Lr: 6.472957422324512e-08, Accum Loss: 8.705705165863037
Lr: 6.56885308784043e-08, Accum Loss: 9.492376327514648
Lr: 6.664748753356349e-08, Accum Loss: 11.149799346923828
Lr: 6.760644418872267e-08, Accum Loss: 9.954110383987427
Lr: 6.856540084388187e-08, Accum Loss: 10.157551765441895
Lr: 6.952435749904105e-08, Accum Loss: 12.559832572937012
Lr: 7.048331415420023e-08, Accum Loss: 12.011454105377197
Lr: 7.144227080935942e-08, Accum Loss: 12.625164985656738
Lr: 7.24012274645186e-08, Accum Loss: 8.804980039596558
Lr: 7.33601841196778e-08, Accum Loss: 8.778615474700928
Lr: 7.431914077483698e-08, Accum Loss: 9.00850534439087
Lr: 7.527809742999617e-08, Accum Loss: 11.987637519836426
Lr: 7.623705408515537e-08, Accum Loss: 10.898062467575073
Lr: 7.719601074031455e-08, Accum Loss: 7.072511672973633
Lr: 7.815496739547374e-08, Accum Loss: 10.849010944366455
Lr: 7.911392405063292e-08, Accum Loss: 9.380727767944336
Lr: 8.007288070579212e-08, Accum Loss: 13.235374450683594
Lr: 8.10318373609513e-08, Accum Loss: 10.839086532592773
Lr: 8.199079401611049e-08, Accum Loss: 12.20649242401123
Lr: 8.294975067126966e-08, Accum Loss: 7.416149139404297
Lr: 8.390870732642884e-08, Accum Loss: 11.404076099395752
Lr: 8.486766398158803e-08, Accum Loss: 9.04186749458313
Lr: 8.582662063674721e-08, Accum Loss: 10.575187683105469
Lr: 8.678557729190641e-08, Accum Loss: 9.115783214569092
Lr: 8.77445339470656e-08, Accum Loss: 9.844233512878418
Lr: 8.870349060222478e-08, Accum Loss: 10.56639814376831
Lr: 8.966244725738398e-08, Accum Loss: 9.434186697006226
Lr: 9.062140391254316e-08, Accum Loss: 11.332959651947021
Lr: 9.158036056770235e-08, Accum Loss: 11.640767574310303
Lr: 9.253931722286153e-08, Accum Loss: 9.482639789581299
Lr: 9.349827387802073e-08, Accum Loss: 7.867391109466553
Lr: 9.445723053317991e-08, Accum Loss: 12.453561782836914
Lr: 9.54161871883391e-08, Accum Loss: 10.478687286376953
Lr: 9.637514384349828e-08, Accum Loss: 11.421996593475342
Lr: 9.733410049865748e-08, Accum Loss: 12.290643692016602
Lr: 9.829305715381666e-08, Accum Loss: 8.320056915283203
Lr: 9.925201380897585e-08, Accum Loss: 9.121199607849121
Lr: 1.0021097046413503e-07, Accum Loss: 8.747643947601318
Lr: 1.0116992711929421e-07, Accum Loss: 9.008136749267578
Lr: 1.021288837744534e-07, Accum Loss: 10.231381893157959
Lr: 1.0308784042961259e-07, Accum Loss: 7.5599095821380615
Lr: 1.0404679708477177e-07, Accum Loss: 7.885932445526123
Lr: 1.0500575373993096e-07, Accum Loss: 11.370494365692139
Lr: 1.0596471039509014e-07, Accum Loss: 9.346444129943848
Lr: 1.0692366705024934e-07, Accum Loss: 11.247017860412598
Lr: 1.0788262370540852e-07, Accum Loss: 7.546977996826172
Lr: 1.0884158036056771e-07, Accum Loss: 12.81267786026001
Lr: 1.098005370157269e-07, Accum Loss: 11.02514362335205
Lr: 1.1075949367088609e-07, Accum Loss: 8.437835454940796
Lr: 1.1171845032604527e-07, Accum Loss: 8.490379810333252
Lr: 1.1267740698120446e-07, Accum Loss: 6.967061758041382
Lr: 1.1363636363636364e-07, Accum Loss: 7.37140965461731
Lr: 1.1459532029152284e-07, Accum Loss: 9.817906856536865
Lr: 1.1555427694668202e-07, Accum Loss: 9.700894355773926
Lr: 1.1651323360184121e-07, Accum Loss: 9.44494915008545
Lr: 1.174721902570004e-07, Accum Loss: 6.7218122482299805
Lr: 1.1843114691215959e-07, Accum Loss: 6.848974704742432
Lr: 1.1939010356731878e-07, Accum Loss: 8.437867164611816
Lr: 1.2034906022247794e-07, Accum Loss: 10.412217617034912
Lr: 1.2130801687763714e-07, Accum Loss: 7.03870153427124
Lr: 1.2226697353279632e-07, Accum Loss: 8.828217506408691
Lr: 1.232259301879555e-07, Accum Loss: 8.187621116638184
Lr: 1.2418488684311469e-07, Accum Loss: 7.0777671337127686
Lr: 1.251438434982739e-07, Accum Loss: 9.812561988830566
Lr: 1.2610280015343307e-07, Accum Loss: 5.906073808670044
Lr: 1.2706175680859225e-07, Accum Loss: 10.13481092453003
Lr: 1.2802071346375144e-07, Accum Loss: 9.350852966308594
Lr: 1.2897967011891064e-07, Accum Loss: 7.862624168395996
Lr: 1.2993862677406982e-07, Accum Loss: 6.88109564781189
Lr: 1.30897583429229e-07, Accum Loss: 8.29832911491394
Lr: 1.318565400843882e-07, Accum Loss: 10.474052667617798
Lr: 1.328154967395474e-07, Accum Loss: 8.737630605697632
Lr: 1.3377445339470657e-07, Accum Loss: 9.88617467880249
Lr: 1.3473341004986575e-07, Accum Loss: 11.036256313323975
Lr: 1.3569236670502496e-07, Accum Loss: 7.791752576828003
Lr: 1.3665132336018414e-07, Accum Loss: 9.437774658203125
Lr: 1.3761028001534332e-07, Accum Loss: 10.37569808959961
Lr: 1.385692366705025e-07, Accum Loss: 10.921026229858398
Lr: 1.3952819332566168e-07, Accum Loss: 9.452219009399414
Lr: 1.4048714998082087e-07, Accum Loss: 7.899270057678223
Lr: 1.4144610663598007e-07, Accum Loss: 7.656462907791138
Lr: 1.4240506329113925e-07, Accum Loss: 8.80441665649414
Lr: 1.4336401994629843e-07, Accum Loss: 9.437537670135498
Lr: 1.4432297660145762e-07, Accum Loss: 5.199167728424072
Lr: 1.4528193325661682e-07, Accum Loss: 9.20054006576538
Lr: 1.46240889911776e-07, Accum Loss: 10.409183979034424
Lr: 1.4719984656693518e-07, Accum Loss: 9.358495235443115
Lr: 1.4815880322209436e-07, Accum Loss: 4.816129207611084
Lr: 1.4911775987725357e-07, Accum Loss: 8.779266834259033
Lr: 1.5007671653241275e-07, Accum Loss: 8.416879892349243
Lr: 1.5103567318757193e-07, Accum Loss: 6.438700199127197
Lr: 1.5199462984273111e-07, Accum Loss: 9.946216106414795
Lr: 1.5295358649789032e-07, Accum Loss: 8.143835306167603
Lr: 1.539125431530495e-07, Accum Loss: 8.308785200119019
Lr: 1.5487149980820868e-07, Accum Loss: 9.57227611541748
Lr: 1.5583045646336786e-07, Accum Loss: 9.402077436447144
Lr: 1.5678941311852707e-07, Accum Loss: 9.703595638275146
Lr: 1.5774836977368625e-07, Accum Loss: 6.852592945098877
Lr: 1.5870732642884543e-07, Accum Loss: 5.55807638168335
Lr: 1.5966628308400464e-07, Accum Loss: 8.09156322479248
Lr: 1.6062523973916382e-07, Accum Loss: 6.561687231063843
Lr: 1.61584196394323e-07, Accum Loss: 8.854396343231201
Lr: 1.6254315304948218e-07, Accum Loss: 8.828332424163818
Lr: 1.635021097046414e-07, Accum Loss: 7.233225584030151
Lr: 1.6446106635980057e-07, Accum Loss: 6.835270881652832
Lr: 1.6542002301495975e-07, Accum Loss: 7.505326509475708
Lr: 1.663789796701189e-07, Accum Loss: 7.477771759033203
Lr: 1.673379363252781e-07, Accum Loss: 7.64307427406311
Lr: 1.682968929804373e-07, Accum Loss: 6.297353267669678
Lr: 1.6925584963559648e-07, Accum Loss: 7.785607099533081
Lr: 1.7021480629075566e-07, Accum Loss: 6.5752198696136475
Lr: 1.7117376294591484e-07, Accum Loss: 6.684890031814575
Lr: 1.7213271960107404e-07, Accum Loss: 6.9413230419158936
Lr: 1.7309167625623323e-07, Accum Loss: 5.880932092666626
Lr: 1.740506329113924e-07, Accum Loss: 5.944077253341675
Lr: 1.750095895665516e-07, Accum Loss: 5.095090866088867
Lr: 1.759685462217108e-07, Accum Loss: 5.880054950714111
Lr: 1.7692750287686998e-07, Accum Loss: 5.613740682601929
Lr: 1.7788645953202916e-07, Accum Loss: 4.030179023742676
Lr: 1.7884541618718834e-07, Accum Loss: 6.892726182937622
Lr: 1.7980437284234754e-07, Accum Loss: 3.901981234550476
Lr: 1.8076332949750672e-07, Accum Loss: 4.760561585426331
Lr: 1.817222861526659e-07, Accum Loss: 5.622569561004639
Lr: 1.826812428078251e-07, Accum Loss: 5.278930425643921
Lr: 1.836401994629843e-07, Accum Loss: 4.84119439125061
Lr: 1.8459915611814347e-07, Accum Loss: 4.1370627880096436
Lr: 1.8555811277330266e-07, Accum Loss: 2.825864851474762
Lr: 1.8651706942846186e-07, Accum Loss: 3.644591450691223
Lr: 1.8747602608362104e-07, Accum Loss: 3.6487780809402466
Lr: 1.8843498273878022e-07, Accum Loss: 3.436621904373169
Lr: 1.893939393939394e-07, Accum Loss: 3.1819357872009277
Lr: 1.903528960490986e-07, Accum Loss: 5.388627052307129
Lr: 1.913118527042578e-07, Accum Loss: 3.3671982288360596
Lr: 1.9227080935941697e-07, Accum Loss: 2.911227583885193
Lr: 1.9322976601457616e-07, Accum Loss: 4.014287233352661
Lr: 1.9418872266973536e-07, Accum Loss: 1.9161177277565002
Lr: 1.9514767932489454e-07, Accum Loss: 2.5755816102027893
Lr: 1.9610663598005372e-07, Accum Loss: 3.3446640968322754
Lr: 1.970655926352129e-07, Accum Loss: 2.3509348034858704
Lr: 1.980245492903721e-07, Accum Loss: 4.2254791259765625
Lr: 1.989835059455313e-07, Accum Loss: 2.128325939178467
Lr: 1.9994246260069047e-07, Accum Loss: 3.266917586326599
Lr: 2.0090141925584968e-07, Accum Loss: 3.190813720226288
Lr: 2.0186037591100886e-07, Accum Loss: 2.5628034472465515
Lr: 2.0281933256616802e-07, Accum Loss: 2.9984817504882812
Lr: 2.037782892213272e-07, Accum Loss: 2.209203004837036
Lr: 2.0473724587648638e-07, Accum Loss: 2.223701596260071
Lr: 2.0569620253164559e-07, Accum Loss: 2.6329345703125
Lr: 2.0665515918680477e-07, Accum Loss: 1.9336292147636414
Lr: 2.0761411584196395e-07, Accum Loss: 2.5083963871002197
Lr: 2.0857307249712313e-07, Accum Loss: 2.808467149734497
Lr: 2.0953202915228234e-07, Accum Loss: 1.787213146686554
Lr: 2.1049098580744152e-07, Accum Loss: 2.0786908864974976
Lr: 2.114499424626007e-07, Accum Loss: 2.4582184553146362
Lr: 2.1240889911775988e-07, Accum Loss: 1.6726434826850891
Lr: 2.1336785577291909e-07, Accum Loss: 2.97186279296875
Lr: 2.1432681242807827e-07, Accum Loss: 2.841723680496216
Lr: 2.1528576908323745e-07, Accum Loss: 2.2779927849769592
Lr: 2.1624472573839663e-07, Accum Loss: 1.506062924861908
Lr: 2.1720368239355583e-07, Accum Loss: 1.556225597858429
Lr: 2.1816263904871502e-07, Accum Loss: 2.3551324009895325
Lr: 2.191215957038742e-07, Accum Loss: 2.212261915206909
Lr: 2.2008055235903338e-07, Accum Loss: 1.0490841567516327
Lr: 2.2103950901419258e-07, Accum Loss: 1.837072730064392
Lr: 2.2199846566935177e-07, Accum Loss: 1.3593745231628418
Lr: 2.2295742232451095e-07, Accum Loss: 1.3678619861602783
Lr: 2.2391637897967015e-07, Accum Loss: 0.979113906621933
Lr: 2.2487533563482933e-07, Accum Loss: 0.9615920186042786
Lr: 2.2583429228998852e-07, Accum Loss: 1.4425048828125
Lr: 2.267932489451477e-07, Accum Loss: 1.7190099358558655
Lr: 2.277522056003069e-07, Accum Loss: 1.7889778017997742
Lr: 2.2871116225546608e-07, Accum Loss: 1.145058810710907
Lr: 2.2967011891062527e-07, Accum Loss: 0.7470090687274933
Lr: 2.3062907556578445e-07, Accum Loss: 1.5397550463676453
Lr: 2.3158803222094365e-07, Accum Loss: 1.9823253154754639
Lr: 2.3254698887610283e-07, Accum Loss: 2.240079641342163
Lr: 2.3350594553126201e-07, Accum Loss: 1.0217701271176338
Lr: 2.344649021864212e-07, Accum Loss: 2.5653228759765625
Lr: 2.354238588415804e-07, Accum Loss: 1.452153891324997
Lr: 2.3638281549673958e-07, Accum Loss: 1.2097230553627014
Lr: 2.3734177215189876e-07, Accum Loss: 1.918306440114975
Lr: 2.3830072880705795e-07, Accum Loss: 1.837498128414154
Lr: 2.392596854622171e-07, Accum Loss: 1.3119557797908783
Lr: 2.402186421173763e-07, Accum Loss: 1.2711129933595657
Lr: 2.4117759877253546e-07, Accum Loss: 1.458369255065918
Lr: 2.421365554276947e-07, Accum Loss: 2.417083740234375
Lr: 2.430955120828539e-07, Accum Loss: 0.788276880979538
Lr: 2.4405446873801306e-07, Accum Loss: 0.6912867873907089
Lr: 2.4501342539317224e-07, Accum Loss: 0.7650195360183716
Lr: 2.459723820483314e-07, Accum Loss: 1.6726436614990234
Lr: 2.469313387034906e-07, Accum Loss: 1.040832906961441
Lr: 2.478902953586498e-07, Accum Loss: 1.1675405651330948
Lr: 2.48849252013809e-07, Accum Loss: 0.8085792511701584
Lr: 2.498082086689682e-07, Accum Loss: 0.7004523575305939
Lr: 2.507671653241274e-07, Accum Loss: 1.1745610237121582
Lr: 2.5172612197928656e-07, Accum Loss: 0.985492467880249
Lr: 2.5268507863444574e-07, Accum Loss: 1.9240735173225403
Lr: 2.536440352896049e-07, Accum Loss: 0.7232274413108826
Lr: 2.546029919447641e-07, Accum Loss: 0.6589165329933167
Lr: 2.555619485999233e-07, Accum Loss: 1.7221071124076843
Lr: 2.565209052550825e-07, Accum Loss: 0.8484744429588318
Lr: 2.574798619102417e-07, Accum Loss: 0.7691786885261536
Lr: 2.584388185654009e-07, Accum Loss: 0.8849654495716095
Lr: 2.5939777522056006e-07, Accum Loss: 0.41802966594696045
Lr: 2.6035673187571924e-07, Accum Loss: 1.3953507840633392
Lr: 2.613156885308784e-07, Accum Loss: 0.8781660795211792
Lr: 2.622746451860376e-07, Accum Loss: 2.9292678385972977
Lr: 2.632336018411968e-07, Accum Loss: 0.5616953670978546
Lr: 2.64192558496356e-07, Accum Loss: 0.6773097515106201
Lr: 2.651515151515152e-07, Accum Loss: 2.7238558530807495
Lr: 2.661104718066744e-07, Accum Loss: 0.8237117826938629
Lr: 2.6706942846183356e-07, Accum Loss: 0.38404029607772827
Lr: 2.6802838511699274e-07, Accum Loss: 1.3073541820049286
Lr: 2.689873417721519e-07, Accum Loss: 0.5492959916591644
Lr: 2.699462984273111e-07, Accum Loss: 1.3557939529418945
Lr: 2.7090525508247033e-07, Accum Loss: 0.8897513151168823
Lr: 2.718642117376295e-07, Accum Loss: 0.8243797719478607
Lr: 2.728231683927887e-07, Accum Loss: 0.9704362452030182
Lr: 2.737821250479479e-07, Accum Loss: 0.2949070632457733
Lr: 2.7474108170310706e-07, Accum Loss: 0.3532551974058151
Lr: 2.7570003835826624e-07, Accum Loss: 0.4906236380338669
Lr: 2.766589950134254e-07, Accum Loss: 0.6162033081054688
Lr: 2.776179516685846e-07, Accum Loss: 2.0877227783203125
Lr: 2.785769083237438e-07, Accum Loss: 0.4049451947212219
Lr: 2.7953586497890296e-07, Accum Loss: 0.869483008980751
Lr: 2.8049482163406214e-07, Accum Loss: 0.9198868274688721
Lr: 2.814537782892213e-07, Accum Loss: 1.0526013374328613
Lr: 2.824127349443805e-07, Accum Loss: 1.739105224609375
Lr: 2.8337169159953974e-07, Accum Loss: 0.6749372184276581
Lr: 2.843306482546989e-07, Accum Loss: 0.6002783477306366
Lr: 2.852896049098581e-07, Accum Loss: 0.9244206845760345
Lr: 2.862485615650173e-07, Accum Loss: 0.5183760821819305
Lr: 2.8720751822017646e-07, Accum Loss: 0.5637436807155609
Lr: 2.8816647487533564e-07, Accum Loss: 1.1202800273895264
Lr: 2.891254315304948e-07, Accum Loss: 1.1685574352741241
Lr: 2.9008438818565405e-07, Accum Loss: 0.7984484732151031
Lr: 2.9104334484081324e-07, Accum Loss: 1.1396251320838928
Lr: 2.920023014959724e-07, Accum Loss: 0.9978587627410889
Lr: 2.929612581511316e-07, Accum Loss: 0.73714679479599
Lr: 2.939202148062908e-07, Accum Loss: 0.8188986778259277
Lr: 2.9487917146144996e-07, Accum Loss: 0.9210611879825592
Lr: 2.9583812811660914e-07, Accum Loss: 0.4555960148572922
Lr: 2.967970847717683e-07, Accum Loss: 0.4048786982893944
Lr: 2.9775604142692755e-07, Accum Loss: 0.23519392311573029
Lr: 2.9871499808208673e-07, Accum Loss: 0.29294253885746
Lr: 2.996739547372459e-07, Accum Loss: 1.157956302165985
