W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
nl27k
G-Retriever with random sampled 50 triples
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=2096, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 31485952 || all params: 6769901568 || trainable%: 0.4650872938659542
start training...
Lr: 6.968155529231413e-10, Accum Loss: 0.9081228673458099
Lr: 2.090446658769424e-09, Accum Loss: 0.7679337859153748
Lr: 3.4840777646157065e-09, Accum Loss: 0.9932599067687988
Lr: 4.877708870461989e-09, Accum Loss: 0.6409630477428436
Lr: 6.271339976308271e-09, Accum Loss: 1.1822392344474792
Lr: 7.664971082154555e-09, Accum Loss: 0.9668876230716705
Lr: 9.058602188000836e-09, Accum Loss: 1.335997223854065
Lr: 1.045223329384712e-08, Accum Loss: 1.0178487002849579
Lr: 1.1845864399693403e-08, Accum Loss: 0.9186808466911316
Lr: 1.3239495505539684e-08, Accum Loss: 0.6972103118896484
Lr: 1.4633126611385967e-08, Accum Loss: 0.8575357496738434
Lr: 1.602675771723225e-08, Accum Loss: 0.938467338681221
Lr: 1.7420388823078532e-08, Accum Loss: 0.86997190117836
Lr: 1.8814019928924816e-08, Accum Loss: 0.9993541240692139
Lr: 2.02076510347711e-08, Accum Loss: 0.9428321123123169
Lr: 2.160128214061738e-08, Accum Loss: 0.6477196514606476
Lr: 2.2994913246463662e-08, Accum Loss: 0.7557859122753143
Lr: 2.4388544352309945e-08, Accum Loss: 1.017165869474411
Lr: 2.578217545815623e-08, Accum Loss: 0.9034276306629181
Lr: 2.7175806564002512e-08, Accum Loss: 0.8120630383491516
Lr: 2.8569437669848792e-08, Accum Loss: 0.7640424370765686
Lr: 2.9963068775695075e-08, Accum Loss: 0.9015376567840576
Lr: 3.1356699881541355e-08, Accum Loss: 0.7635346949100494
Lr: 3.275033098738764e-08, Accum Loss: 1.0338245034217834
Lr: 3.414396209323392e-08, Accum Loss: 0.9989088475704193
Lr: 3.553759319908021e-08, Accum Loss: 0.9242042303085327
Lr: 3.693122430492649e-08, Accum Loss: 1.185766577720642
Lr: 3.832485541077277e-08, Accum Loss: 1.066967099905014
