W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
ppi5k
G-Retriever
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='ppi5k', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=2096, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 31485952 || all params: 6769901568 || trainable%: 0.4650872938659542
start training...
Lr: 6.968155529231413e-10, Accum Loss: 0.8290190398693085
Lr: 2.090446658769424e-09, Accum Loss: 0.8063971400260925
Lr: 3.4840777646157065e-09, Accum Loss: 0.8407935500144958
Lr: 4.877708870461989e-09, Accum Loss: 0.7339553236961365
Lr: 6.271339976308271e-09, Accum Loss: 0.9028925001621246
Lr: 7.664971082154555e-09, Accum Loss: 0.9687734544277191
Lr: 9.058602188000836e-09, Accum Loss: 0.8489728271961212
Lr: 1.045223329384712e-08, Accum Loss: 1.0153723061084747
Lr: 1.1845864399693403e-08, Accum Loss: 0.8903051912784576
Lr: 1.3239495505539684e-08, Accum Loss: 0.7603353559970856
Lr: 1.4633126611385967e-08, Accum Loss: 0.7400844097137451
Lr: 1.602675771723225e-08, Accum Loss: 0.8584195077419281
Lr: 1.7420388823078532e-08, Accum Loss: 1.014615535736084
Lr: 1.8814019928924816e-08, Accum Loss: 1.3587256968021393
Lr: 2.02076510347711e-08, Accum Loss: 1.1163153648376465
Lr: 2.160128214061738e-08, Accum Loss: 0.7063044905662537
Lr: 2.2994913246463662e-08, Accum Loss: 0.45952628552913666
Lr: 2.4388544352309945e-08, Accum Loss: 1.2763372659683228
Lr: 2.578217545815623e-08, Accum Loss: 0.8667896687984467
Lr: 2.7175806564002512e-08, Accum Loss: 0.8559045195579529
Lr: 2.8569437669848792e-08, Accum Loss: 0.9399362206459045
Lr: 2.9963068775695075e-08, Accum Loss: 0.9415877759456635
Lr: 3.1356699881541355e-08, Accum Loss: 0.7370882034301758
Lr: 3.275033098738764e-08, Accum Loss: 0.9692633152008057
Lr: 3.414396209323392e-08, Accum Loss: 1.076655387878418
Lr: 3.553759319908021e-08, Accum Loss: 1.085303395986557
Lr: 3.693122430492649e-08, Accum Loss: 1.1476344466209412
Lr: 3.832485541077277e-08, Accum Loss: 0.8313155770301819
Lr: 3.9718486516619054e-08, Accum Loss: 1.0837433636188507
Lr: 4.1112117622465334e-08, Accum Loss: 0.5348211824893951
Lr: 4.250574872831162e-08, Accum Loss: 0.7037495076656342
Lr: 4.38993798341579e-08, Accum Loss: 1.0280600190162659
Lr: 4.529301094000418e-08, Accum Loss: 0.8998408615589142
Lr: 4.668664204585047e-08, Accum Loss: 0.8319385051727295
Lr: 4.808027315169675e-08, Accum Loss: 0.6382722854614258
Lr: 4.9473904257543034e-08, Accum Loss: 1.1377748250961304
Lr: 5.0867535363389314e-08, Accum Loss: 0.9463337957859039
Lr: 5.2261166469235594e-08, Accum Loss: 0.8064534664154053
Lr: 5.365479757508188e-08, Accum Loss: 0.7563990205526352
Lr: 5.504842868092816e-08, Accum Loss: 0.9361259043216705
Lr: 5.644205978677445e-08, Accum Loss: 0.9075364768505096
Lr: 5.7835690892620727e-08, Accum Loss: 0.9357478618621826
Lr: 5.9229321998467007e-08, Accum Loss: 0.7208469808101654
Lr: 6.062295310431329e-08, Accum Loss: 0.7453500032424927
Lr: 6.201658421015957e-08, Accum Loss: 1.0085096061229706
Lr: 6.341021531600586e-08, Accum Loss: 0.9641983807086945
Lr: 6.480384642185215e-08, Accum Loss: 0.7239914238452911
Lr: 6.619747752769842e-08, Accum Loss: 0.5033820867538452
Lr: 6.75911086335447e-08, Accum Loss: 0.615768313407898
Lr: 6.898473973939099e-08, Accum Loss: 0.9461759924888611
Lr: 7.037837084523727e-08, Accum Loss: 0.6248897016048431
Lr: 7.177200195108355e-08, Accum Loss: 0.7318142354488373
Lr: 7.316563305692984e-08, Accum Loss: 0.9286635220050812
Lr: 7.455926416277611e-08, Accum Loss: 0.752765342593193
Lr: 7.59528952686224e-08, Accum Loss: 0.533130332827568
Lr: 7.734652637446869e-08, Accum Loss: 0.5810874402523041
Lr: 7.874015748031497e-08, Accum Loss: 0.5646801888942719
Lr: 8.013378858616125e-08, Accum Loss: 0.41777944564819336
Lr: 8.152741969200753e-08, Accum Loss: 0.49851231276988983
Lr: 8.292105079785382e-08, Accum Loss: 0.8199077546596527
Lr: 8.431468190370009e-08, Accum Loss: 1.1336950659751892
Lr: 8.570831300954638e-08, Accum Loss: 0.8001134395599365
Lr: 8.710194411539266e-08, Accum Loss: 1.0574658811092377
Lr: 8.849557522123894e-08, Accum Loss: 0.8107544183731079
Lr: 8.988920632708522e-08, Accum Loss: 0.6415714621543884
Lr: 9.128283743293151e-08, Accum Loss: 0.6594250798225403
Lr: 9.26764685387778e-08, Accum Loss: 0.7279671132564545
Lr: 9.407009964462407e-08, Accum Loss: 0.7327023148536682
Lr: 9.546373075047036e-08, Accum Loss: 0.45801906287670135
Lr: 9.685736185631664e-08, Accum Loss: 0.6344510018825531
Lr: 9.825099296216292e-08, Accum Loss: 0.469236820936203
Lr: 9.96446240680092e-08, Accum Loss: 0.6349987089633942
Lr: 1.0103825517385549e-07, Accum Loss: 1.2182149291038513
Lr: 1.0243188627970176e-07, Accum Loss: 0.7911507487297058
Lr: 1.0382551738554805e-07, Accum Loss: 0.510511577129364
Lr: 1.0521914849139434e-07, Accum Loss: 0.6281668841838837
Lr: 1.0661277959724062e-07, Accum Loss: 0.5612825155258179
Lr: 1.080064107030869e-07, Accum Loss: 0.5777899026870728
Lr: 1.0940004180893318e-07, Accum Loss: 0.56336909532547
Lr: 1.1079367291477947e-07, Accum Loss: 0.6244551539421082
Lr: 1.1218730402062574e-07, Accum Loss: 0.5121900737285614
Lr: 1.1358093512647203e-07, Accum Loss: 0.5296060293912888
Lr: 1.1497456623231832e-07, Accum Loss: 0.4694019556045532
Lr: 1.1636819733816459e-07, Accum Loss: 0.5748678743839264
Lr: 1.1776182844401088e-07, Accum Loss: 0.47175441682338715
Lr: 1.1915545954985716e-07, Accum Loss: 0.6539952158927917
Lr: 1.2054909065570344e-07, Accum Loss: 0.5025610476732254
Lr: 1.2194272176154974e-07, Accum Loss: 0.6124040633440018
Lr: 1.23336352867396e-07, Accum Loss: 0.49283477663993835
Lr: 1.2472998397324228e-07, Accum Loss: 0.5684934109449387
Lr: 1.2612361507908858e-07, Accum Loss: 0.3613611161708832
Lr: 1.2751724618493486e-07, Accum Loss: 0.5357230007648468
Lr: 1.2891087729078113e-07, Accum Loss: 0.5112175494432449
Lr: 1.3030450839662743e-07, Accum Loss: 0.35844385623931885
Lr: 1.316981395024737e-07, Accum Loss: 0.3141687661409378
Lr: 1.3309177060831998e-07, Accum Loss: 0.40609942376613617
Lr: 1.3448540171416628e-07, Accum Loss: 0.2846757471561432
Lr: 1.3587903282001255e-07, Accum Loss: 0.42665523290634155
Lr: 1.3727266392585882e-07, Accum Loss: 0.3481234312057495
Lr: 1.3866629503170512e-07, Accum Loss: 0.5152759253978729
Lr: 1.400599261375514e-07, Accum Loss: 0.288509838283062
Lr: 1.414535572433977e-07, Accum Loss: 0.3794807195663452
Lr: 1.4284718834924397e-07, Accum Loss: 0.2217511460185051
Lr: 1.4424081945509024e-07, Accum Loss: 0.22387433797121048
Lr: 1.4563445056093654e-07, Accum Loss: 0.45373156666755676
Lr: 1.4702808166678281e-07, Accum Loss: 0.262268029153347
Lr: 1.484217127726291e-07, Accum Loss: 0.4329688549041748
Lr: 1.498153438784754e-07, Accum Loss: 0.31308450549840927
Lr: 1.5120897498432166e-07, Accum Loss: 0.272501178085804
Lr: 1.5260260609016793e-07, Accum Loss: 0.31423620879650116
Lr: 1.5399623719601423e-07, Accum Loss: 0.3246310278773308
Lr: 1.553898683018605e-07, Accum Loss: 0.2854520082473755
Lr: 1.5678349940770678e-07, Accum Loss: 0.3582964092493057
Lr: 1.5817713051355308e-07, Accum Loss: 0.1813904270529747
Lr: 1.5957076161939935e-07, Accum Loss: 0.2533150613307953
Lr: 1.6096439272524563e-07, Accum Loss: 0.20379261672496796
Lr: 1.6235802383109193e-07, Accum Loss: 0.2585880979895592
Lr: 1.637516549369382e-07, Accum Loss: 0.3182366341352463
Lr: 1.6514528604278447e-07, Accum Loss: 0.2314177043735981
Lr: 1.6653891714863077e-07, Accum Loss: 0.3595469854772091
Lr: 1.6793254825447705e-07, Accum Loss: 0.28950077295303345
Lr: 1.6932617936032335e-07, Accum Loss: 0.39207300543785095
Lr: 1.7071981046616962e-07, Accum Loss: 0.14647847786545753
Lr: 1.721134415720159e-07, Accum Loss: 0.23186995834112167
Lr: 1.735070726778622e-07, Accum Loss: 0.24742179363965988
Lr: 1.7490070378370847e-07, Accum Loss: 0.18416111171245575
Lr: 1.7629433488955474e-07, Accum Loss: 0.25036610662937164
Lr: 1.7768796599540104e-07, Accum Loss: 0.21346330642700195
Lr: 1.790815971012473e-07, Accum Loss: 0.19567431509494781
Lr: 1.8047522820709359e-07, Accum Loss: 0.199133463203907
Lr: 1.8186885931293989e-07, Accum Loss: 0.30761291086673737
Lr: 1.8326249041878616e-07, Accum Loss: 0.36532218009233475
Lr: 1.8465612152463243e-07, Accum Loss: 0.21905706077814102
Lr: 1.8604975263047873e-07, Accum Loss: 0.17390872538089752
Lr: 1.87443383736325e-07, Accum Loss: 0.244787760078907
Lr: 1.8883701484217128e-07, Accum Loss: 0.14410879462957382
Lr: 1.9023064594801758e-07, Accum Loss: 0.1660416852682829
Lr: 1.9162427705386385e-07, Accum Loss: 0.29740238934755325
Lr: 1.9301790815971013e-07, Accum Loss: 0.15156426280736923
Lr: 1.9441153926555643e-07, Accum Loss: 0.41279544308781624
