W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline_conf', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=5, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 5.577244841048523e-09, Accum Loss: 1.5775558948516846
Lr: 1.673173452314557e-08, Accum Loss: 1.6181354522705078
Lr: 2.7886224205242612e-08, Accum Loss: 1.6463592052459717
Lr: 3.9040713887339655e-08, Accum Loss: 1.5619518160820007
Lr: 5.01952035694367e-08, Accum Loss: 1.5638742446899414
Lr: 6.134969325153375e-08, Accum Loss: 1.6141528487205505
Lr: 7.250418293363079e-08, Accum Loss: 1.6271588206291199
Lr: 8.365867261572785e-08, Accum Loss: 1.672391414642334
Lr: 9.481316229782489e-08, Accum Loss: 1.580367386341095
Lr: 1.0596765197992193e-07, Accum Loss: 1.6146905422210693
Lr: 1.1712214166201897e-07, Accum Loss: 1.6611331701278687
Lr: 1.2827663134411602e-07, Accum Loss: 1.594366431236267
Lr: 1.3943112102621306e-07, Accum Loss: 1.587101399898529
Lr: 1.505856107083101e-07, Accum Loss: 1.5862340331077576
Lr: 1.6174010039040716e-07, Accum Loss: 1.6813060641288757
Lr: 1.728945900725042e-07, Accum Loss: 1.5472585558891296
Lr: 1.8404907975460125e-07, Accum Loss: 1.5398094058036804
Lr: 1.9520356943669827e-07, Accum Loss: 1.524100422859192
Lr: 2.0635805911879531e-07, Accum Loss: 1.6543978452682495
Lr: 2.1751254880089236e-07, Accum Loss: 1.6067090034484863
Lr: 2.286670384829894e-07, Accum Loss: 1.602327048778534
Lr: 2.398215281650865e-07, Accum Loss: 1.599450409412384
Lr: 2.509760178471835e-07, Accum Loss: 1.6277772188186646
Lr: 2.6213050752928057e-07, Accum Loss: 1.6913767457008362
Lr: 2.732849972113776e-07, Accum Loss: 1.623590886592865
Lr: 2.844394868934746e-07, Accum Loss: 1.5624611377716064
Lr: 2.955939765755717e-07, Accum Loss: 1.6042491793632507
Lr: 3.0674846625766876e-07, Accum Loss: 1.5506839156150818
Lr: 3.179029559397658e-07, Accum Loss: 1.6934402585029602
Lr: 3.290574456218628e-07, Accum Loss: 1.5347452759742737
Lr: 3.4021193530395987e-07, Accum Loss: 1.557349145412445
Lr: 3.513664249860569e-07, Accum Loss: 1.5436177253723145
Lr: 3.6252091466815396e-07, Accum Loss: 1.5954903960227966
Lr: 3.73675404350251e-07, Accum Loss: 1.5139312744140625
