W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with random sampled 50 triples
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline_conf', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=5, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1600, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 6.968155529231413e-10, Accum Loss: 2.568743348121643
Lr: 2.090446658769424e-09, Accum Loss: 2.5249844789505005
Lr: 3.4840777646157065e-09, Accum Loss: 2.147992253303528
Lr: 4.877708870461989e-09, Accum Loss: 2.4228802919387817
Lr: 6.271339976308271e-09, Accum Loss: 2.4627480506896973
Lr: 7.664971082154555e-09, Accum Loss: 2.3646013736724854
Lr: 9.058602188000836e-09, Accum Loss: 2.2868431210517883
Lr: 1.045223329384712e-08, Accum Loss: 2.328127384185791
Lr: 1.1845864399693403e-08, Accum Loss: 2.2336273193359375
Lr: 1.3239495505539684e-08, Accum Loss: 2.3327451944351196
Lr: 1.4633126611385967e-08, Accum Loss: 1.98795086145401
Lr: 1.602675771723225e-08, Accum Loss: 2.819910168647766
Lr: 1.7420388823078532e-08, Accum Loss: 2.019134223461151
Lr: 1.8814019928924816e-08, Accum Loss: 2.567189574241638
Lr: 2.02076510347711e-08, Accum Loss: 2.015310049057007
Lr: 2.160128214061738e-08, Accum Loss: 2.364006757736206
Lr: 2.2994913246463662e-08, Accum Loss: 2.240859031677246
Lr: 2.4388544352309945e-08, Accum Loss: 2.5294394493103027
Lr: 2.578217545815623e-08, Accum Loss: 2.3597551584243774
Lr: 2.7175806564002512e-08, Accum Loss: 2.519420862197876
Lr: 2.8569437669848792e-08, Accum Loss: 2.4109386205673218
Lr: 2.9963068775695075e-08, Accum Loss: 2.299181878566742
Lr: 3.1356699881541355e-08, Accum Loss: 2.82289981842041
Lr: 3.275033098738764e-08, Accum Loss: 2.3215813636779785
Lr: 3.414396209323392e-08, Accum Loss: 2.437877058982849
Lr: 3.553759319908021e-08, Accum Loss: 2.1474770307540894
Lr: 3.693122430492649e-08, Accum Loss: 2.3699116706848145
Lr: 3.832485541077277e-08, Accum Loss: 2.4515743255615234
Lr: 3.9718486516619054e-08, Accum Loss: 2.2648881673812866
Lr: 4.1112117622465334e-08, Accum Loss: 2.654702305793762
Lr: 4.250574872831162e-08, Accum Loss: 2.282946228981018
Lr: 4.38993798341579e-08, Accum Loss: 2.392622232437134
Lr: 4.529301094000418e-08, Accum Loss: 2.264545977115631
Lr: 4.668664204585047e-08, Accum Loss: 2.52824866771698
Lr: 4.808027315169675e-08, Accum Loss: 2.407340168952942
Lr: 4.9473904257543034e-08, Accum Loss: 2.3845529556274414
Lr: 5.0867535363389314e-08, Accum Loss: 2.223862051963806
Lr: 5.2261166469235594e-08, Accum Loss: 2.1960575580596924
Lr: 5.365479757508188e-08, Accum Loss: 2.8025208711624146
Lr: 5.504842868092816e-08, Accum Loss: 2.218199610710144
Lr: 5.644205978677445e-08, Accum Loss: 2.0719183683395386
Lr: 5.7835690892620727e-08, Accum Loss: 2.7908153533935547
Lr: 5.9229321998467007e-08, Accum Loss: 2.970969557762146
Lr: 6.062295310431329e-08, Accum Loss: 2.4923373460769653
Lr: 6.201658421015957e-08, Accum Loss: 2.4655715227127075
Lr: 6.341021531600586e-08, Accum Loss: 2.5790408849716187
Lr: 6.480384642185215e-08, Accum Loss: 2.432761311531067
Lr: 6.619747752769842e-08, Accum Loss: 2.611885905265808
Lr: 6.75911086335447e-08, Accum Loss: 2.4781652688980103
Lr: 6.898473973939099e-08, Accum Loss: 2.318347454071045
Lr: 7.037837084523727e-08, Accum Loss: 2.2192527055740356
Lr: 7.177200195108355e-08, Accum Loss: 2.202907919883728
Lr: 7.316563305692984e-08, Accum Loss: 2.2492328882217407
Lr: 7.455926416277611e-08, Accum Loss: 2.5522295236587524
Lr: 7.59528952686224e-08, Accum Loss: 2.1881125569343567
Lr: 7.734652637446869e-08, Accum Loss: 2.4416669607162476
Lr: 7.874015748031497e-08, Accum Loss: 2.6465049982070923
Lr: 8.013378858616125e-08, Accum Loss: 2.013375461101532
Lr: 8.152741969200753e-08, Accum Loss: 2.009040057659149
Lr: 8.292105079785382e-08, Accum Loss: 2.254073739051819
Lr: 8.431468190370009e-08, Accum Loss: 2.8932948112487793
Lr: 8.570831300954638e-08, Accum Loss: 3.118371844291687
Lr: 8.710194411539266e-08, Accum Loss: 2.2831058502197266
Lr: 8.849557522123894e-08, Accum Loss: 2.77642023563385
Lr: 8.988920632708522e-08, Accum Loss: 2.6461198329925537
Lr: 9.128283743293151e-08, Accum Loss: 2.2685930728912354
Lr: 9.26764685387778e-08, Accum Loss: 2.4944725036621094
Lr: 9.407009964462407e-08, Accum Loss: 2.7932268381118774
Lr: 9.546373075047036e-08, Accum Loss: 1.8988680839538574
Lr: 9.685736185631664e-08, Accum Loss: 2.5412559509277344
Lr: 9.825099296216292e-08, Accum Loss: 2.445528209209442
Lr: 9.96446240680092e-08, Accum Loss: 2.237062454223633
Lr: 1.0103825517385549e-07, Accum Loss: 2.2234721183776855
