W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
ppi5k
G-Retriever with random sampled 50 triples
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline_conf', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1600, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 31485952 || all params: 6769901568 || trainable%: 0.4650872938659542
start training...
Lr: 6.968155529231413e-10, Accum Loss: 2.5212137699127197
Lr: 2.090446658769424e-09, Accum Loss: 2.2514909505844116
Lr: 3.4840777646157065e-09, Accum Loss: 2.15461665391922
Lr: 4.877708870461989e-09, Accum Loss: 2.3803231716156006
Lr: 6.271339976308271e-09, Accum Loss: 2.30535888671875
Lr: 7.664971082154555e-09, Accum Loss: 2.163953185081482
Lr: 9.058602188000836e-09, Accum Loss: 2.267060399055481
Lr: 1.045223329384712e-08, Accum Loss: 2.1439587473869324
Lr: 1.1845864399693403e-08, Accum Loss: 2.0840126276016235
Lr: 1.3239495505539684e-08, Accum Loss: 2.405674695968628
Lr: 1.4633126611385967e-08, Accum Loss: 2.3602463006973267
Lr: 1.602675771723225e-08, Accum Loss: 2.3155517578125
Lr: 1.7420388823078532e-08, Accum Loss: 2.0548806190490723
Lr: 1.8814019928924816e-08, Accum Loss: 2.465394139289856
Lr: 2.02076510347711e-08, Accum Loss: 2.357941746711731
Lr: 2.160128214061738e-08, Accum Loss: 2.1011985540390015
Lr: 2.2994913246463662e-08, Accum Loss: 1.93134206533432
Lr: 2.4388544352309945e-08, Accum Loss: 2.080395996570587
Lr: 2.578217545815623e-08, Accum Loss: 2.3430709838867188
Lr: 2.7175806564002512e-08, Accum Loss: 2.3192098140716553
Lr: 2.8569437669848792e-08, Accum Loss: 2.176500678062439
Lr: 2.9963068775695075e-08, Accum Loss: 2.315493941307068
Lr: 3.1356699881541355e-08, Accum Loss: 2.1351228952407837
Lr: 3.275033098738764e-08, Accum Loss: 2.139600455760956
Lr: 3.414396209323392e-08, Accum Loss: 2.1866477131843567
Lr: 3.553759319908021e-08, Accum Loss: 2.20989990234375
Lr: 3.693122430492649e-08, Accum Loss: 2.267943263053894
Lr: 3.832485541077277e-08, Accum Loss: 2.1140064001083374
Lr: 3.9718486516619054e-08, Accum Loss: 2.425693988800049
Lr: 4.1112117622465334e-08, Accum Loss: 2.078744113445282
Lr: 4.250574872831162e-08, Accum Loss: 2.3428213596343994
Lr: 4.38993798341579e-08, Accum Loss: 2.0863272547721863
Lr: 4.529301094000418e-08, Accum Loss: 2.325529098510742
Lr: 4.668664204585047e-08, Accum Loss: 2.136827051639557
Lr: 4.808027315169675e-08, Accum Loss: 2.2667073011398315
Lr: 4.9473904257543034e-08, Accum Loss: 2.3179147243499756
Lr: 5.0867535363389314e-08, Accum Loss: 2.0120850801467896
Lr: 5.2261166469235594e-08, Accum Loss: 2.5325677394866943
Lr: 5.365479757508188e-08, Accum Loss: 2.1220521926879883
Lr: 5.504842868092816e-08, Accum Loss: 1.9025725722312927
Lr: 5.644205978677445e-08, Accum Loss: 2.378378748893738
Lr: 5.7835690892620727e-08, Accum Loss: 1.9968914985656738
Lr: 5.9229321998467007e-08, Accum Loss: 2.0568894147872925
Lr: 6.062295310431329e-08, Accum Loss: 1.8851797580718994
Lr: 6.201658421015957e-08, Accum Loss: 2.1458500623703003
Lr: 6.341021531600586e-08, Accum Loss: 2.148385167121887
Lr: 6.480384642185215e-08, Accum Loss: 2.0461621284484863
Lr: 6.619747752769842e-08, Accum Loss: 2.093486249446869
Lr: 6.75911086335447e-08, Accum Loss: 2.007088780403137
Lr: 6.898473973939099e-08, Accum Loss: 1.9960785508155823
Lr: 7.037837084523727e-08, Accum Loss: 1.739409327507019
Lr: 7.177200195108355e-08, Accum Loss: 1.9490792751312256
Lr: 7.316563305692984e-08, Accum Loss: 1.8899143934249878
Lr: 7.455926416277611e-08, Accum Loss: 1.978127658367157
Lr: 7.59528952686224e-08, Accum Loss: 1.976411759853363
Lr: 7.734652637446869e-08, Accum Loss: 2.2215139865875244
Lr: 7.874015748031497e-08, Accum Loss: 2.0732487440109253
