W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='nl27k_baseline_conf', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 1.684636118598383e-09, Accum Loss: 1.83441960811615
Lr: 5.053908355795149e-09, Accum Loss: 1.7439664602279663
Lr: 8.423180592991914e-09, Accum Loss: 1.7344650030136108
Lr: 1.179245283018868e-08, Accum Loss: 1.7743605375289917
Lr: 1.5161725067385447e-08, Accum Loss: 1.6131651401519775
Lr: 1.8530997304582213e-08, Accum Loss: 1.7358294129371643
Lr: 2.1900269541778976e-08, Accum Loss: 1.7561277747154236
Lr: 2.5269541778975742e-08, Accum Loss: 1.7737883925437927
Lr: 2.863881401617251e-08, Accum Loss: 1.7187992334365845
Lr: 3.200808625336927e-08, Accum Loss: 1.7269465327262878
Lr: 3.537735849056604e-08, Accum Loss: 1.7527546286582947
Lr: 3.8746630727762804e-08, Accum Loss: 1.7418574094772339
Lr: 4.211590296495957e-08, Accum Loss: 1.7570183873176575
Lr: 4.5485175202156344e-08, Accum Loss: 1.7118787169456482
Lr: 4.8854447439353107e-08, Accum Loss: 1.7487573027610779
Lr: 5.222371967654987e-08, Accum Loss: 1.7386671900749207
Lr: 5.559299191374663e-08, Accum Loss: 1.6208582520484924
Lr: 5.89622641509434e-08, Accum Loss: 1.7940610647201538
Lr: 6.233153638814017e-08, Accum Loss: 1.758380651473999
Lr: 6.570080862533693e-08, Accum Loss: 1.7079228162765503
Lr: 6.90700808625337e-08, Accum Loss: 1.7342181205749512
Lr: 7.243935309973045e-08, Accum Loss: 1.8165032863616943
Lr: 7.580862533692724e-08, Accum Loss: 1.7620434761047363
Lr: 7.9177897574124e-08, Accum Loss: 1.6806588172912598
Lr: 8.254716981132076e-08, Accum Loss: 1.7582437992095947
Lr: 8.591644204851753e-08, Accum Loss: 1.6412583589553833
Lr: 8.928571428571429e-08, Accum Loss: 1.745493769645691
Lr: 9.265498652291106e-08, Accum Loss: 1.658288300037384
Lr: 9.602425876010783e-08, Accum Loss: 1.7913702726364136
Lr: 9.939353099730458e-08, Accum Loss: 1.83278888463974
Lr: 1.0276280323450135e-07, Accum Loss: 1.6889004111289978
Lr: 1.0613207547169811e-07, Accum Loss: 1.7912349104881287
Lr: 1.095013477088949e-07, Accum Loss: 1.7023992538452148
Lr: 1.1287061994609166e-07, Accum Loss: 1.684647262096405
Lr: 1.1623989218328842e-07, Accum Loss: 1.724969744682312
Lr: 1.196091644204852e-07, Accum Loss: 1.8146805167198181
Lr: 1.2297843665768193e-07, Accum Loss: 1.7533572912216187
Lr: 1.2634770889487873e-07, Accum Loss: 1.7430869340896606
Lr: 1.297169811320755e-07, Accum Loss: 1.792775273323059
Lr: 1.3308625336927224e-07, Accum Loss: 1.7259679436683655
Lr: 1.36455525606469e-07, Accum Loss: 1.8158956170082092
Lr: 1.3982479784366578e-07, Accum Loss: 1.7756150960922241
Lr: 1.4319407008086255e-07, Accum Loss: 1.7119557857513428
Lr: 1.4656334231805932e-07, Accum Loss: 1.805878460407257
Lr: 1.4993261455525606e-07, Accum Loss: 1.7275823950767517
Lr: 1.5330188679245283e-07, Accum Loss: 1.7632620930671692
Lr: 1.566711590296496e-07, Accum Loss: 1.7261378169059753
Lr: 1.600404312668464e-07, Accum Loss: 1.8414310216903687
Lr: 1.6340970350404314e-07, Accum Loss: 1.7220616936683655
Lr: 1.667789757412399e-07, Accum Loss: 1.6912207007408142
Lr: 1.7014824797843668e-07, Accum Loss: 1.7885891199111938
Lr: 1.7351752021563345e-07, Accum Loss: 1.7616797089576721
Lr: 1.768867924528302e-07, Accum Loss: 1.7411341071128845
Lr: 1.8025606469002696e-07, Accum Loss: 1.6716978549957275
Lr: 1.8362533692722373e-07, Accum Loss: 1.71222585439682
Lr: 1.869946091644205e-07, Accum Loss: 1.6754018068313599
Lr: 1.9036388140161725e-07, Accum Loss: 1.6868316531181335
Lr: 1.9373315363881404e-07, Accum Loss: 1.7411983013153076
Lr: 1.971024258760108e-07, Accum Loss: 1.668380320072174
Lr: 2.0047169811320755e-07, Accum Loss: 1.7056182622909546
Lr: 2.0384097035040435e-07, Accum Loss: 1.6828168034553528
Lr: 2.072102425876011e-07, Accum Loss: 1.6436405181884766
Lr: 2.1057951482479786e-07, Accum Loss: 1.725961446762085
Lr: 2.1394878706199463e-07, Accum Loss: 1.7708090543746948
Lr: 2.173180592991914e-07, Accum Loss: 1.6523861289024353
Lr: 2.2068733153638815e-07, Accum Loss: 1.7324969172477722
Lr: 2.2405660377358492e-07, Accum Loss: 1.6622122526168823
Lr: 2.274258760107817e-07, Accum Loss: 1.6564084887504578
Lr: 2.3079514824797845e-07, Accum Loss: 1.7316574454307556
Lr: 2.341644204851752e-07, Accum Loss: 1.702294945716858
Lr: 2.37533692722372e-07, Accum Loss: 1.7213700413703918
Lr: 2.4090296495956874e-07, Accum Loss: 1.786604642868042
Lr: 2.442722371967655e-07, Accum Loss: 1.790118932723999
Lr: 2.476415094339623e-07, Accum Loss: 1.6925321817398071
Lr: 2.5101078167115905e-07, Accum Loss: 1.6382518410682678
Lr: 2.543800539083558e-07, Accum Loss: 1.6912120580673218
Lr: 2.577493261455526e-07, Accum Loss: 1.7318888902664185
Lr: 2.6111859838274935e-07, Accum Loss: 1.6593047976493835
Lr: 2.644878706199461e-07, Accum Loss: 1.6812642812728882
Lr: 2.6785714285714284e-07, Accum Loss: 1.7391666173934937
Lr: 2.7122641509433966e-07, Accum Loss: 1.7459691166877747
Lr: 2.7459568733153643e-07, Accum Loss: 1.7423157691955566
Lr: 2.7796495956873315e-07, Accum Loss: 1.6843330264091492
Lr: 2.8133423180592997e-07, Accum Loss: 1.6075127720832825
Lr: 2.847035040431267e-07, Accum Loss: 1.7293511033058167
Lr: 2.8807277628032346e-07, Accum Loss: 1.7357444167137146
Lr: 2.9144204851752023e-07, Accum Loss: 1.766954481601715
Lr: 2.94811320754717e-07, Accum Loss: 1.6396310329437256
Lr: 2.9818059299191377e-07, Accum Loss: 1.6732341647148132
Lr: 3.0154986522911054e-07, Accum Loss: 1.6445320844650269
Lr: 3.049191374663073e-07, Accum Loss: 1.7581331729888916
Lr: 3.082884097035041e-07, Accum Loss: 1.7327600121498108
Lr: 3.116576819407008e-07, Accum Loss: 1.584851622581482
Lr: 3.150269541778976e-07, Accum Loss: 1.7175763249397278
Lr: 3.183962264150944e-07, Accum Loss: 1.745356261730194
Lr: 3.217654986522911e-07, Accum Loss: 1.7486416101455688
