W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
nl27k random sampled 50 triples
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='nl27k_baseline_conf', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1600, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 31485952 || all params: 6769901568 || trainable%: 0.4650872938659542
start training...
Lr: 2.1055734529299058e-10, Accum Loss: 2.6328954696655273
Lr: 6.316720358789717e-10, Accum Loss: 2.6925783157348633
Lr: 1.0527867264649528e-09, Accum Loss: 3.079164147377014
Lr: 1.473901417050934e-09, Accum Loss: 3.025100350379944
Lr: 1.895016107636915e-09, Accum Loss: 2.7675106525421143
Lr: 2.316130798222896e-09, Accum Loss: 2.6960500478744507
Lr: 2.7372454888088775e-09, Accum Loss: 2.661795496940613
Lr: 3.1583601793948585e-09, Accum Loss: 2.957364082336426
Lr: 3.5794748699808394e-09, Accum Loss: 2.6845473051071167
Lr: 4.000589560566821e-09, Accum Loss: 2.7257096767425537
Lr: 4.421704251152802e-09, Accum Loss: 2.8208236694335938
Lr: 4.842818941738783e-09, Accum Loss: 2.7779585123062134
Lr: 5.263933632324764e-09, Accum Loss: 2.9477319717407227
Lr: 5.685048322910745e-09, Accum Loss: 3.003105401992798
Lr: 6.1061630134967264e-09, Accum Loss: 2.604540228843689
Lr: 6.527277704082707e-09, Accum Loss: 2.8791494369506836
Lr: 6.948392394668688e-09, Accum Loss: 2.6732031106948853
Lr: 7.36950708525467e-09, Accum Loss: 2.759615659713745
Lr: 7.79062177584065e-09, Accum Loss: 2.6600513458251953
Lr: 8.211736466426633e-09, Accum Loss: 2.690993905067444
Lr: 8.632851157012614e-09, Accum Loss: 2.828030824661255
Lr: 9.053965847598595e-09, Accum Loss: 2.6418522596359253
Lr: 9.475080538184574e-09, Accum Loss: 2.7008328437805176
Lr: 9.896195228770557e-09, Accum Loss: 2.5434443950653076
Lr: 1.0317309919356538e-08, Accum Loss: 2.902880072593689
Lr: 1.073842460994252e-08, Accum Loss: 3.0044294595718384
Lr: 1.11595393005285e-08, Accum Loss: 2.7672576904296875
Lr: 1.1580653991114482e-08, Accum Loss: 2.825760841369629
Lr: 1.2001768681700462e-08, Accum Loss: 2.869444966316223
Lr: 1.2422883372286443e-08, Accum Loss: 2.5010969638824463
Lr: 1.2843998062872425e-08, Accum Loss: 2.866994857788086
Lr: 1.3265112753458404e-08, Accum Loss: 3.0045827627182007
Lr: 1.3686227444044387e-08, Accum Loss: 2.7786842584609985
Lr: 1.4107342134630366e-08, Accum Loss: 2.804895520210266
Lr: 1.4528456825216349e-08, Accum Loss: 2.761577844619751
Lr: 1.4949571515802328e-08, Accum Loss: 2.271462082862854
Lr: 1.537068620638831e-08, Accum Loss: 2.765596032142639
Lr: 1.5791800896974294e-08, Accum Loss: 2.7187535762786865
Lr: 1.6212915587560273e-08, Accum Loss: 2.8811200857162476
Lr: 1.6634030278146255e-08, Accum Loss: 2.9408798217773438
Lr: 1.7055144968732235e-08, Accum Loss: 2.977921485900879
Lr: 1.7476259659318217e-08, Accum Loss: 2.782861351966858
Lr: 1.7897374349904197e-08, Accum Loss: 2.5517925024032593
Lr: 1.831848904049018e-08, Accum Loss: 2.8633283376693726
Lr: 1.873960373107616e-08, Accum Loss: 2.973697066307068
Lr: 1.916071842166214e-08, Accum Loss: 2.457121253013611
Lr: 1.958183311224812e-08, Accum Loss: 2.7696675062179565
Lr: 2.0002947802834103e-08, Accum Loss: 2.676966905593872
Lr: 2.0424062493420086e-08, Accum Loss: 2.909481406211853
Lr: 2.084517718400607e-08, Accum Loss: 3.11520779132843
Lr: 2.1266291874592048e-08, Accum Loss: 2.5554802417755127
Lr: 2.1687406565178027e-08, Accum Loss: 2.62651789188385
Lr: 2.2108521255764006e-08, Accum Loss: 2.481744408607483
Lr: 2.2529635946349992e-08, Accum Loss: 2.7398046255111694
Lr: 2.295075063693597e-08, Accum Loss: 2.165717124938965
Lr: 2.337186532752195e-08, Accum Loss: 2.8654825687408447
Lr: 2.3792980018107933e-08, Accum Loss: 2.7426358461380005
Lr: 2.4214094708693916e-08, Accum Loss: 2.6636544466018677
Lr: 2.4635209399279895e-08, Accum Loss: 2.630681037902832
Lr: 2.5056324089865878e-08, Accum Loss: 3.071208953857422
Lr: 2.5477438780451857e-08, Accum Loss: 2.8507773876190186
Lr: 2.589855347103784e-08, Accum Loss: 2.711231231689453
Lr: 2.6319668161623823e-08, Accum Loss: 2.844910740852356
Lr: 2.6740782852209802e-08, Accum Loss: 2.4947625398635864
Lr: 2.716189754279578e-08, Accum Loss: 2.854333281517029
Lr: 2.758301223338176e-08, Accum Loss: 2.6013065576553345
Lr: 2.8004126923967746e-08, Accum Loss: 2.8212997913360596
Lr: 2.8425241614553726e-08, Accum Loss: 2.671576738357544
Lr: 2.884635630513971e-08, Accum Loss: 2.694728136062622
Lr: 2.9267470995725688e-08, Accum Loss: 2.8868980407714844
Lr: 2.968858568631167e-08, Accum Loss: 2.181599736213684
Lr: 3.010970037689765e-08, Accum Loss: 2.790659189224243
Lr: 3.053081506748363e-08, Accum Loss: 2.947328567504883
Lr: 3.095192975806961e-08, Accum Loss: 2.6092249155044556
Lr: 3.137304444865559e-08, Accum Loss: 2.9015884399414062
Lr: 3.179415913924158e-08, Accum Loss: 2.365934133529663
Lr: 3.2215273829827556e-08, Accum Loss: 2.70924174785614
Lr: 3.2636388520413535e-08, Accum Loss: 2.651752233505249
Lr: 3.3057503210999515e-08, Accum Loss: 2.620221495628357
Lr: 3.34786179015855e-08, Accum Loss: 2.2676899433135986
Lr: 3.389973259217148e-08, Accum Loss: 2.8193142414093018
Lr: 3.432084728275746e-08, Accum Loss: 2.7738113403320312
Lr: 3.474196197334344e-08, Accum Loss: 2.7168350219726562
Lr: 3.5163076663929424e-08, Accum Loss: 2.757873058319092
Lr: 3.5584191354515404e-08, Accum Loss: 2.556447386741638
Lr: 3.600530604510139e-08, Accum Loss: 2.77680766582489
Lr: 3.642642073568737e-08, Accum Loss: 2.699398398399353
Lr: 3.684753542627335e-08, Accum Loss: 2.8202579021453857
Lr: 3.7268650116859334e-08, Accum Loss: 2.7553787231445312
Lr: 3.7689764807445314e-08, Accum Loss: 2.622241973876953
Lr: 3.811087949803129e-08, Accum Loss: 2.483485221862793
Lr: 3.853199418861727e-08, Accum Loss: 2.2793309688568115
Lr: 3.895310887920326e-08, Accum Loss: 2.5821062326431274
Lr: 3.937422356978924e-08, Accum Loss: 2.996113657951355
Lr: 3.9795338260375223e-08, Accum Loss: 2.2449697256088257
Lr: 4.0216452950961196e-08, Accum Loss: 2.6490617990493774
Lr: 4.063756764154718e-08, Accum Loss: 2.675191283226013
Lr: 4.1058682332133155e-08, Accum Loss: 2.7582558393478394
Lr: 4.147979702271914e-08, Accum Loss: 2.4310710430145264
Lr: 4.1900911713305126e-08, Accum Loss: 2.4319292306900024
Lr: 4.23220264038911e-08, Accum Loss: 2.731029510498047
Lr: 4.2743141094477085e-08, Accum Loss: 2.798245429992676
Lr: 4.3164255785063064e-08, Accum Loss: 2.545414686203003
Lr: 4.3585370475649044e-08, Accum Loss: 2.694268822669983
Lr: 4.400648516623503e-08, Accum Loss: 2.4654123783111572
Lr: 4.442759985682101e-08, Accum Loss: 2.572281837463379
Lr: 4.484871454740699e-08, Accum Loss: 2.8491090536117554
Lr: 4.526982923799297e-08, Accum Loss: 2.5666099786758423
Lr: 4.5690943928578953e-08, Accum Loss: 2.449544906616211
Lr: 4.611205861916493e-08, Accum Loss: 2.5742162466049194
Lr: 4.653317330975091e-08, Accum Loss: 2.4445602893829346
Lr: 4.69542880003369e-08, Accum Loss: 2.6126664876937866
Lr: 4.737540269092288e-08, Accum Loss: 2.63921856880188
Lr: 4.7796517381508857e-08, Accum Loss: 2.8040077686309814
Lr: 4.821763207209484e-08, Accum Loss: 2.5848960876464844
Lr: 4.8638746762680815e-08, Accum Loss: 2.515553832054138
Lr: 4.90598614532668e-08, Accum Loss: 2.594653367996216
Lr: 4.948097614385279e-08, Accum Loss: 2.2402291893959045
