W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline_conf', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
trainable params: 4235264 || all params: 6742650880 || trainable%: 0.06281304008431769
start training...
Lr: 5.577244841048523e-09, Accum Loss: 1.606852948665619
Lr: 1.673173452314557e-08, Accum Loss: 1.5761720538139343
Lr: 2.7886224205242612e-08, Accum Loss: 1.6311582326889038
Lr: 3.9040713887339655e-08, Accum Loss: 1.6911024451255798
Lr: 5.01952035694367e-08, Accum Loss: 1.6002024412155151
Lr: 6.134969325153375e-08, Accum Loss: 1.6081641912460327
Lr: 7.250418293363079e-08, Accum Loss: 1.6662122011184692
Lr: 8.365867261572785e-08, Accum Loss: 1.5921083092689514
Lr: 9.481316229782489e-08, Accum Loss: 1.6852135062217712
Lr: 1.0596765197992193e-07, Accum Loss: 1.6256281733512878
Lr: 1.1712214166201897e-07, Accum Loss: 1.6341174840927124
Lr: 1.2827663134411602e-07, Accum Loss: 1.6159614324569702
Lr: 1.3943112102621306e-07, Accum Loss: 1.6083495616912842
Lr: 1.505856107083101e-07, Accum Loss: 1.6146240234375
Lr: 1.6174010039040716e-07, Accum Loss: 1.6556226015090942
Lr: 1.728945900725042e-07, Accum Loss: 1.5601177215576172
Lr: 1.8404907975460125e-07, Accum Loss: 1.5859094858169556
Lr: 1.9520356943669827e-07, Accum Loss: 1.5873470902442932
Lr: 2.0635805911879531e-07, Accum Loss: 1.5712536573410034
Lr: 2.1751254880089236e-07, Accum Loss: 1.621766209602356
Lr: 2.286670384829894e-07, Accum Loss: 1.6372395753860474
Lr: 2.398215281650865e-07, Accum Loss: 1.6180753111839294
Lr: 2.509760178471835e-07, Accum Loss: 1.5716764330863953
Lr: 2.6213050752928057e-07, Accum Loss: 1.6874051094055176
Lr: 2.732849972113776e-07, Accum Loss: 1.5975534915924072
Lr: 2.844394868934746e-07, Accum Loss: 1.6726372241973877
Lr: 2.955939765755717e-07, Accum Loss: 1.667359471321106
Lr: 3.0674846625766876e-07, Accum Loss: 1.6547415852546692
Lr: 3.179029559397658e-07, Accum Loss: 1.5435459613800049
Lr: 3.290574456218628e-07, Accum Loss: 1.5996383428573608
Lr: 3.4021193530395987e-07, Accum Loss: 1.610638976097107
Lr: 3.513664249860569e-07, Accum Loss: 1.5755026936531067
Lr: 3.6252091466815396e-07, Accum Loss: 1.549632489681244
Lr: 3.73675404350251e-07, Accum Loss: 1.6563755869865417
Lr: 3.8482989403234805e-07, Accum Loss: 1.6737448573112488
Lr: 3.959843837144451e-07, Accum Loss: 1.5580828189849854
Lr: 4.0713887339654215e-07, Accum Loss: 1.5551504492759705
Lr: 4.182933630786392e-07, Accum Loss: 1.6366540789604187
Lr: 4.2944785276073624e-07, Accum Loss: 1.53457111120224
Lr: 4.406023424428333e-07, Accum Loss: 1.5230406522750854
Lr: 4.5175683212493033e-07, Accum Loss: 1.5828380584716797
Lr: 4.629113218070274e-07, Accum Loss: 1.5203110575675964
Lr: 4.7406581148912437e-07, Accum Loss: 1.656030535697937
Lr: 4.852203011712214e-07, Accum Loss: 1.6720908880233765
Lr: 4.963747908533185e-07, Accum Loss: 1.616832971572876
Lr: 5.075292805354155e-07, Accum Loss: 1.487621784210205
Lr: 5.186837702175126e-07, Accum Loss: 1.6020451188087463
Lr: 5.298382598996096e-07, Accum Loss: 1.6231176257133484
Lr: 5.409927495817067e-07, Accum Loss: 1.4957700371742249
Lr: 5.521472392638038e-07, Accum Loss: 1.5312963724136353
Lr: 5.633017289459007e-07, Accum Loss: 1.5439364314079285
Lr: 5.744562186279978e-07, Accum Loss: 1.5149192810058594
Lr: 5.856107083100949e-07, Accum Loss: 1.5355058908462524
Lr: 5.96765197992192e-07, Accum Loss: 1.5365936160087585
Lr: 6.07919687674289e-07, Accum Loss: 1.4496352672576904
Lr: 6.19074177356386e-07, Accum Loss: 1.5430513620376587
Lr: 6.30228667038483e-07, Accum Loss: 1.4865647554397583
Lr: 6.413831567205801e-07, Accum Loss: 1.5311850309371948
Lr: 6.525376464026771e-07, Accum Loss: 1.504116952419281
Lr: 6.636921360847742e-07, Accum Loss: 1.5725709199905396
Lr: 6.748466257668713e-07, Accum Loss: 1.4152517914772034
Lr: 6.860011154489683e-07, Accum Loss: 1.5170119404792786
Lr: 6.971556051310653e-07, Accum Loss: 1.5415867567062378
Lr: 7.083100948131623e-07, Accum Loss: 1.4891579747200012
Lr: 7.194645844952594e-07, Accum Loss: 1.4850578904151917
Lr: 7.306190741773564e-07, Accum Loss: 1.4483628273010254
Lr: 7.417735638594535e-07, Accum Loss: 1.50375896692276
Lr: 7.529280535415504e-07, Accum Loss: 1.465636432170868
Lr: 7.640825432236476e-07, Accum Loss: 1.4367168545722961
Lr: 7.752370329057446e-07, Accum Loss: 1.5059702396392822
Lr: 7.863915225878417e-07, Accum Loss: 1.47085040807724
Lr: 7.975460122699387e-07, Accum Loss: 1.3948904871940613
Lr: 8.087005019520358e-07, Accum Loss: 1.410843551158905
Lr: 8.198549916341328e-07, Accum Loss: 1.3737028241157532
Lr: 8.3100948131623e-07, Accum Loss: 1.4421183466911316
Lr: 8.421639709983269e-07, Accum Loss: 1.4663017392158508
Lr: 8.533184606804239e-07, Accum Loss: 1.4300444722175598
Lr: 8.64472950362521e-07, Accum Loss: 1.3295408487319946
Lr: 8.756274400446179e-07, Accum Loss: 1.3758768439292908
Lr: 8.867819297267151e-07, Accum Loss: 1.3594560623168945
Lr: 8.979364194088121e-07, Accum Loss: 1.4733833074569702
Lr: 9.090909090909091e-07, Accum Loss: 1.4139342904090881
Lr: 9.202453987730062e-07, Accum Loss: 1.3667803406715393
Lr: 9.313998884551033e-07, Accum Loss: 1.394508183002472
Lr: 9.425543781372003e-07, Accum Loss: 1.3907628059387207
Lr: 9.537088678192974e-07, Accum Loss: 1.4415614604949951
Lr: 9.648633575013944e-07, Accum Loss: 1.3930572271347046
Lr: 9.760178471834916e-07, Accum Loss: 1.3949567079544067
Lr: 9.871723368655885e-07, Accum Loss: 1.4093781113624573
Lr: 9.983268265476855e-07, Accum Loss: 1.2715762853622437
Lr: 1.0094813162297825e-06, Accum Loss: 1.362697422504425
Lr: 1.0206358059118794e-06, Accum Loss: 1.3588762879371643
Lr: 1.0317902955939766e-06, Accum Loss: 1.3395482897758484
Lr: 1.0429447852760736e-06, Accum Loss: 1.2736428380012512
Lr: 1.0540992749581708e-06, Accum Loss: 1.348145604133606
Lr: 1.0652537646402677e-06, Accum Loss: 1.3268670439720154
Lr: 1.076408254322365e-06, Accum Loss: 1.3649042248725891
Lr: 1.0875627440044619e-06, Accum Loss: 1.3352089524269104
Lr: 1.098717233686559e-06, Accum Loss: 1.30514794588089
Lr: 1.109871723368656e-06, Accum Loss: 1.3550033569335938
Lr: 1.121026213050753e-06, Accum Loss: 1.2406082153320312
Lr: 1.13218070273285e-06, Accum Loss: 1.3398388028144836
Lr: 1.1433351924149471e-06, Accum Loss: 1.3306174874305725
Lr: 1.1544896820970441e-06, Accum Loss: 1.2951621413230896
Lr: 1.165644171779141e-06, Accum Loss: 1.2549794912338257
Lr: 1.1767986614612383e-06, Accum Loss: 1.3011181950569153
