W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
ppi5k random sampled 50 triples
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline_conf', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1600, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
trainable params: 35680256 || all params: 6774095872 || trainable%: 0.5267161356171607
start training...
Lr: 6.968155529231413e-10, Accum Loss: 1.7163674235343933
Lr: 2.090446658769424e-09, Accum Loss: 1.2592599391937256
Lr: 3.4840777646157065e-09, Accum Loss: 1.4375349283218384
Lr: 4.877708870461989e-09, Accum Loss: 1.2472040057182312
Lr: 6.271339976308271e-09, Accum Loss: 1.377293884754181
Lr: 7.664971082154555e-09, Accum Loss: 1.3601422905921936
Lr: 9.058602188000836e-09, Accum Loss: 1.4813057780265808
Lr: 1.045223329384712e-08, Accum Loss: 1.2598943710327148
Lr: 1.1845864399693403e-08, Accum Loss: 1.4579827785491943
Lr: 1.3239495505539684e-08, Accum Loss: 1.31231689453125
Lr: 1.4633126611385967e-08, Accum Loss: 1.6499241590499878
Lr: 1.602675771723225e-08, Accum Loss: 1.287501037120819
Lr: 1.7420388823078532e-08, Accum Loss: 1.484933078289032
Lr: 1.8814019928924816e-08, Accum Loss: 1.0899309515953064
Lr: 2.02076510347711e-08, Accum Loss: 1.3988560438156128
Lr: 2.160128214061738e-08, Accum Loss: 1.492847502231598
Lr: 2.2994913246463662e-08, Accum Loss: 1.4078950881958008
Lr: 2.4388544352309945e-08, Accum Loss: 1.1662141382694244
Lr: 2.578217545815623e-08, Accum Loss: 1.3825596570968628
Lr: 2.7175806564002512e-08, Accum Loss: 1.4371570348739624
Lr: 2.8569437669848792e-08, Accum Loss: 1.4151087999343872
Lr: 2.9963068775695075e-08, Accum Loss: 1.4083553552627563
Lr: 3.1356699881541355e-08, Accum Loss: 1.5517927408218384
Lr: 3.275033098738764e-08, Accum Loss: 1.3279331922531128
Lr: 3.414396209323392e-08, Accum Loss: 1.322998046875
Lr: 3.553759319908021e-08, Accum Loss: 1.0508939325809479
Lr: 3.693122430492649e-08, Accum Loss: 1.3097098469734192
Lr: 3.832485541077277e-08, Accum Loss: 1.2185755968093872
Lr: 3.9718486516619054e-08, Accum Loss: 1.3179059624671936
