W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='cn15k_baseline_conf', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 3.835826620636747e-09, Accum Loss: 1.959300458431244
Lr: 1.1507479861910243e-08, Accum Loss: 1.9618556499481201
Lr: 1.917913310318374e-08, Accum Loss: 1.8079708814620972
Lr: 2.6850786344457232e-08, Accum Loss: 1.9060061573982239
Lr: 3.452243958573073e-08, Accum Loss: 1.9956015348434448
Lr: 4.219409282700422e-08, Accum Loss: 1.8651565909385681
Lr: 4.986574606827772e-08, Accum Loss: 1.92984539270401
Lr: 5.7537399309551214e-08, Accum Loss: 1.9741374850273132
Lr: 6.520905255082471e-08, Accum Loss: 1.8163739442825317
Lr: 7.28807057920982e-08, Accum Loss: 1.8888337016105652
Lr: 8.05523590333717e-08, Accum Loss: 1.8991066217422485
Lr: 8.822401227464519e-08, Accum Loss: 1.8882927298545837
Lr: 9.589566551591869e-08, Accum Loss: 1.8689032196998596
Lr: 1.0356731875719218e-07, Accum Loss: 1.9571447968482971
Lr: 1.1123897199846568e-07, Accum Loss: 1.9640207290649414
Lr: 1.1891062523973918e-07, Accum Loss: 1.9125750064849854
Lr: 1.2658227848101266e-07, Accum Loss: 1.9919155836105347
Lr: 1.3425393172228616e-07, Accum Loss: 1.8727905750274658
Lr: 1.4192558496355966e-07, Accum Loss: 1.8853669166564941
Lr: 1.4959723820483316e-07, Accum Loss: 1.8824958801269531
Lr: 1.5726889144610666e-07, Accum Loss: 1.8992521166801453
Lr: 1.6494054468738016e-07, Accum Loss: 1.899734616279602
Lr: 1.7261219792865363e-07, Accum Loss: 1.9473571181297302
Lr: 1.8028385116992713e-07, Accum Loss: 1.8772209286689758
Lr: 1.8795550441120063e-07, Accum Loss: 1.8788398504257202
Lr: 1.9562715765247413e-07, Accum Loss: 1.8678203225135803
Lr: 2.032988108937476e-07, Accum Loss: 1.927763819694519
Lr: 2.109704641350211e-07, Accum Loss: 1.9471708536148071
Lr: 2.186421173762946e-07, Accum Loss: 1.9189122915267944
Lr: 2.263137706175681e-07, Accum Loss: 1.9457402229309082
Lr: 2.339854238588416e-07, Accum Loss: 1.8767573833465576
Lr: 2.416570771001151e-07, Accum Loss: 1.9327523112297058
Lr: 2.493287303413886e-07, Accum Loss: 1.843098759651184
Lr: 2.570003835826621e-07, Accum Loss: 1.823078453540802
Lr: 2.646720368239356e-07, Accum Loss: 1.8861785531044006
Lr: 2.723436900652091e-07, Accum Loss: 1.9057891964912415
Lr: 2.8001534330648255e-07, Accum Loss: 1.8691341876983643
Lr: 2.8768699654775605e-07, Accum Loss: 1.880383849143982
Lr: 2.9535864978902955e-07, Accum Loss: 1.9600659608840942
Lr: 3.0303030303030305e-07, Accum Loss: 1.9603431224822998
Lr: 3.1070195627157655e-07, Accum Loss: 1.8377952575683594
Lr: 3.1837360951285005e-07, Accum Loss: 1.927776575088501
Lr: 3.2604526275412355e-07, Accum Loss: 1.8203007578849792
Lr: 3.33716915995397e-07, Accum Loss: 1.9170605540275574
Lr: 3.413885692366705e-07, Accum Loss: 1.923514485359192
Lr: 3.49060222477944e-07, Accum Loss: 1.8769360184669495
Lr: 3.567318757192175e-07, Accum Loss: 1.895405352115631
Lr: 3.64403528960491e-07, Accum Loss: 1.9551777243614197
Lr: 3.720751822017645e-07, Accum Loss: 1.8911100029945374
Lr: 3.79746835443038e-07, Accum Loss: 1.8845790028572083
Lr: 3.8741848868431154e-07, Accum Loss: 1.8309915661811829
Lr: 3.9509014192558504e-07, Accum Loss: 1.8015685081481934
Lr: 4.0276179516685854e-07, Accum Loss: 1.8430835008621216
Lr: 4.1043344840813194e-07, Accum Loss: 1.859599769115448
Lr: 4.1810510164940544e-07, Accum Loss: 1.8898792266845703
Lr: 4.2577675489067894e-07, Accum Loss: 1.8826196193695068
Lr: 4.334484081319525e-07, Accum Loss: 1.8334739208221436
Lr: 4.41120061373226e-07, Accum Loss: 1.9418889284133911
Lr: 4.487917146144995e-07, Accum Loss: 1.9289703965187073
Lr: 4.56463367855773e-07, Accum Loss: 1.8601307272911072
Lr: 4.641350210970465e-07, Accum Loss: 1.8179705739021301
Lr: 4.7180667433832e-07, Accum Loss: 1.831609845161438
Lr: 4.794783275795934e-07, Accum Loss: 1.8402120471000671
Lr: 4.871499808208669e-07, Accum Loss: 1.8009352684020996
Lr: 4.948216340621404e-07, Accum Loss: 1.8552318811416626
Lr: 5.024932873034139e-07, Accum Loss: 1.8731005191802979
Lr: 5.101649405446874e-07, Accum Loss: 1.890413761138916
Lr: 5.178365937859609e-07, Accum Loss: 1.8540690541267395
Lr: 5.255082470272344e-07, Accum Loss: 1.8113304376602173
Lr: 5.331799002685079e-07, Accum Loss: 1.8218380212783813
Lr: 5.408515535097814e-07, Accum Loss: 1.8534849286079407
Lr: 5.485232067510549e-07, Accum Loss: 1.813406229019165
Lr: 5.561948599923284e-07, Accum Loss: 1.784600019454956
Lr: 5.638665132336018e-07, Accum Loss: 1.8308802247047424
Lr: 5.715381664748754e-07, Accum Loss: 1.7980307340621948
Lr: 5.792098197161488e-07, Accum Loss: 1.822447121143341
Lr: 5.868814729574224e-07, Accum Loss: 1.8223770260810852
Lr: 5.945531261986958e-07, Accum Loss: 1.744996190071106
Lr: 6.022247794399694e-07, Accum Loss: 1.7995980978012085
Lr: 6.098964326812429e-07, Accum Loss: 1.8003363013267517
Lr: 6.175680859225164e-07, Accum Loss: 1.8427360653877258
Lr: 6.252397391637899e-07, Accum Loss: 1.7862250208854675
Lr: 6.329113924050634e-07, Accum Loss: 1.7992185354232788
Lr: 6.405830456463369e-07, Accum Loss: 1.7594324946403503
Lr: 6.482546988876104e-07, Accum Loss: 1.7448070049285889
Lr: 6.559263521288839e-07, Accum Loss: 1.770975410938263
Lr: 6.635980053701573e-07, Accum Loss: 1.7938627004623413
Lr: 6.712696586114307e-07, Accum Loss: 1.8325533270835876
Lr: 6.789413118527043e-07, Accum Loss: 1.8031883835792542
Lr: 6.866129650939777e-07, Accum Loss: 1.7662604451179504
Lr: 6.942846183352513e-07, Accum Loss: 1.7270092964172363
Lr: 7.019562715765248e-07, Accum Loss: 1.8093854188919067
Lr: 7.096279248177983e-07, Accum Loss: 1.7803325653076172
Lr: 7.172995780590718e-07, Accum Loss: 1.7211536765098572
Lr: 7.249712313003453e-07, Accum Loss: 1.7208665609359741
Lr: 7.326428845416188e-07, Accum Loss: 1.783042311668396
Lr: 7.403145377828923e-07, Accum Loss: 1.8330272436141968
Lr: 7.479861910241658e-07, Accum Loss: 1.8337662816047668
Lr: 7.556578442654393e-07, Accum Loss: 1.7706116437911987
Lr: 7.633294975067128e-07, Accum Loss: 1.7664917707443237
Lr: 7.710011507479863e-07, Accum Loss: 1.7589245438575745
Lr: 7.786728039892598e-07, Accum Loss: 1.777760922908783
Lr: 7.863444572305333e-07, Accum Loss: 1.7506850957870483
Lr: 7.940161104718068e-07, Accum Loss: 1.7470149993896484
Lr: 8.016877637130803e-07, Accum Loss: 1.7587040662765503
Lr: 8.093594169543537e-07, Accum Loss: 1.7537359595298767
Lr: 8.170310701956272e-07, Accum Loss: 1.726646065711975
Lr: 8.247027234369007e-07, Accum Loss: 1.7375420928001404
Lr: 8.323743766781742e-07, Accum Loss: 1.8096066117286682
Lr: 8.400460299194477e-07, Accum Loss: 1.6910200715065002
Lr: 8.477176831607211e-07, Accum Loss: 1.711190402507782
Lr: 8.553893364019947e-07, Accum Loss: 1.739735722541809
Lr: 8.630609896432681e-07, Accum Loss: 1.6740569472312927
Lr: 8.707326428845417e-07, Accum Loss: 1.697856366634369
Lr: 8.784042961258151e-07, Accum Loss: 1.7080984711647034
Lr: 8.860759493670887e-07, Accum Loss: 1.700799822807312
Lr: 8.937476026083621e-07, Accum Loss: 1.6865606904029846
Lr: 9.014192558496357e-07, Accum Loss: 1.7014259696006775
Lr: 9.090909090909091e-07, Accum Loss: 1.6572362184524536
Lr: 9.167625623321827e-07, Accum Loss: 1.6733521223068237
Lr: 9.244342155734561e-07, Accum Loss: 1.6995565295219421
Lr: 9.321058688147297e-07, Accum Loss: 1.6890891194343567
Lr: 9.397775220560033e-07, Accum Loss: 1.6516297459602356
Lr: 9.474491752972767e-07, Accum Loss: 1.669222354888916
Lr: 9.551208285385502e-07, Accum Loss: 1.6118704080581665
Lr: 9.627924817798235e-07, Accum Loss: 1.6878855228424072
Lr: 9.704641350210971e-07, Accum Loss: 1.7007586359977722
Lr: 9.781357882623706e-07, Accum Loss: 1.69504314661026
Lr: 9.85807441503644e-07, Accum Loss: 1.688759446144104
Lr: 9.934790947449175e-07, Accum Loss: 1.6324145793914795
Lr: 1.0011507479861911e-06, Accum Loss: 1.625466227531433
Lr: 1.0088224012274646e-06, Accum Loss: 1.6302489042282104
Lr: 1.016494054468738e-06, Accum Loss: 1.640046238899231
Lr: 1.0241657077100115e-06, Accum Loss: 1.6393110156059265
Lr: 1.0318373609512851e-06, Accum Loss: 1.6748231053352356
Lr: 1.0395090141925586e-06, Accum Loss: 1.6342793703079224
Lr: 1.047180667433832e-06, Accum Loss: 1.6335254311561584
Lr: 1.0548523206751057e-06, Accum Loss: 1.5879333019256592
