W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
cn15k random sampled 50 triples
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='cn15k_baseline_conf', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1600, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 31485952 || all params: 6769901568 || trainable%: 0.4650872938659542
start training...
Lr: 4.794783275795934e-10, Accum Loss: 3.1329617500305176
Lr: 1.4384349827387803e-09, Accum Loss: 3.0890634059906006
Lr: 2.3973916378979674e-09, Accum Loss: 2.6821036338806152
Lr: 3.356348293057154e-09, Accum Loss: 2.947805166244507
Lr: 4.315304948216341e-09, Accum Loss: 2.7378692626953125
Lr: 5.274261603375528e-09, Accum Loss: 2.9274466037750244
Lr: 6.233218258534715e-09, Accum Loss: 3.0915820598602295
Lr: 7.192174913693902e-09, Accum Loss: 3.1297541856765747
Lr: 8.151131568853088e-09, Accum Loss: 2.9909629821777344
Lr: 9.110088224012276e-09, Accum Loss: 3.0434200763702393
Lr: 1.0069044879171463e-08, Accum Loss: 2.4988577365875244
Lr: 1.1028001534330649e-08, Accum Loss: 3.109039783477783
Lr: 1.1986958189489836e-08, Accum Loss: 3.1170774698257446
Lr: 1.2945914844649022e-08, Accum Loss: 2.8405085802078247
Lr: 1.390487149980821e-08, Accum Loss: 2.899985194206238
Lr: 1.4863828154967397e-08, Accum Loss: 2.7804445028305054
Lr: 1.5822784810126583e-08, Accum Loss: 3.1013554334640503
Lr: 1.678174146528577e-08, Accum Loss: 2.666634678840637
Lr: 1.7740698120444958e-08, Accum Loss: 3.1314163208007812
Lr: 1.8699654775604145e-08, Accum Loss: 2.7918654680252075
Lr: 1.9658611430763333e-08, Accum Loss: 2.9228134155273438
Lr: 2.061756808592252e-08, Accum Loss: 3.087002992630005
Lr: 2.1576524741081704e-08, Accum Loss: 2.9340744018554688
Lr: 2.2535481396240892e-08, Accum Loss: 3.0044772624969482
Lr: 2.349443805140008e-08, Accum Loss: 2.729023575782776
Lr: 2.4453394706559267e-08, Accum Loss: 2.7546147108078003
Lr: 2.541235136171845e-08, Accum Loss: 3.033862590789795
Lr: 2.6371308016877638e-08, Accum Loss: 2.886804461479187
Lr: 2.7330264672036826e-08, Accum Loss: 2.4612966775894165
Lr: 2.8289221327196013e-08, Accum Loss: 3.060080647468567
Lr: 2.92481779823552e-08, Accum Loss: 2.9648371934890747
Lr: 3.020713463751439e-08, Accum Loss: 3.0596306324005127
Lr: 3.1166091292673576e-08, Accum Loss: 3.1541186571121216
Lr: 3.212504794783276e-08, Accum Loss: 2.8717613220214844
Lr: 3.308400460299195e-08, Accum Loss: 3.3919302225112915
Lr: 3.404296125815114e-08, Accum Loss: 2.6429083347320557
Lr: 3.500191791331032e-08, Accum Loss: 2.6814929246902466
Lr: 3.5960874568469506e-08, Accum Loss: 2.8558894395828247
Lr: 3.6919831223628694e-08, Accum Loss: 2.490646719932556
Lr: 3.787878787878788e-08, Accum Loss: 2.8909887075424194
Lr: 3.883774453394707e-08, Accum Loss: 2.8152427673339844
Lr: 3.9796701189106256e-08, Accum Loss: 2.6678472757339478
Lr: 4.0755657844265443e-08, Accum Loss: 2.834781050682068
Lr: 4.1714614499424624e-08, Accum Loss: 3.010417103767395
Lr: 4.267357115458381e-08, Accum Loss: 2.5862743854522705
Lr: 4.3632527809743e-08, Accum Loss: 2.9170292615890503
Lr: 4.4591484464902187e-08, Accum Loss: 2.746486783027649
Lr: 4.5550441120061374e-08, Accum Loss: 3.024095892906189
Lr: 4.650939777522056e-08, Accum Loss: 2.9820501804351807
Lr: 4.746835443037975e-08, Accum Loss: 3.192994713783264
Lr: 4.842731108553894e-08, Accum Loss: 2.8446993827819824
Lr: 4.938626774069813e-08, Accum Loss: 2.7664794921875
Lr: 5.034522439585732e-08, Accum Loss: 2.668001413345337
Lr: 5.130418105101649e-08, Accum Loss: 3.080484628677368
Lr: 5.226313770617568e-08, Accum Loss: 2.721456289291382
Lr: 5.322209436133487e-08, Accum Loss: 2.597808837890625
Lr: 5.418105101649406e-08, Accum Loss: 2.822958469390869
Lr: 5.514000767165325e-08, Accum Loss: 2.8976192474365234
Lr: 5.6098964326812436e-08, Accum Loss: 2.530548095703125
Lr: 5.7057920981971623e-08, Accum Loss: 2.788870692253113
Lr: 5.801687763713081e-08, Accum Loss: 2.9534454345703125
Lr: 5.897583429229e-08, Accum Loss: 2.6044998168945312
Lr: 5.993479094744917e-08, Accum Loss: 2.8934892416000366
Lr: 6.089374760260837e-08, Accum Loss: 2.91702139377594
Lr: 6.185270425776755e-08, Accum Loss: 2.7198153734207153
Lr: 6.281166091292674e-08, Accum Loss: 2.655020594596863
Lr: 6.377061756808592e-08, Accum Loss: 2.786497950553894
Lr: 6.472957422324512e-08, Accum Loss: 2.7990853786468506
Lr: 6.56885308784043e-08, Accum Loss: 2.5469404458999634
Lr: 6.664748753356349e-08, Accum Loss: 2.9982550144195557
Lr: 6.760644418872267e-08, Accum Loss: 3.027339458465576
Lr: 6.856540084388187e-08, Accum Loss: 2.7056405544281006
Lr: 6.952435749904105e-08, Accum Loss: 2.6608526706695557
Lr: 7.048331415420023e-08, Accum Loss: 2.4246935844421387
Lr: 7.144227080935942e-08, Accum Loss: 2.353542923927307
Lr: 7.24012274645186e-08, Accum Loss: 2.8707534074783325
Lr: 7.33601841196778e-08, Accum Loss: 2.9233081340789795
Lr: 7.431914077483698e-08, Accum Loss: 2.7294063568115234
Lr: 7.527809742999617e-08, Accum Loss: 2.548067331314087
Lr: 7.623705408515537e-08, Accum Loss: 2.597093939781189
Lr: 7.719601074031455e-08, Accum Loss: 2.82830810546875
Lr: 7.815496739547374e-08, Accum Loss: 2.2737370133399963
Lr: 7.911392405063292e-08, Accum Loss: 2.577776312828064
Lr: 8.007288070579212e-08, Accum Loss: 2.5504504442214966
Lr: 8.10318373609513e-08, Accum Loss: 2.5380401611328125
