W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='nl27k_baseline_tc', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 1.073191672032625e-09, Accum Loss: 10.064850807189941
Lr: 3.2195750160978755e-09, Accum Loss: 9.975022792816162
Lr: 5.365958360163126e-09, Accum Loss: 10.105863571166992
Lr: 7.512341704228376e-09, Accum Loss: 9.996497631072998
Lr: 9.658725048293626e-09, Accum Loss: 10.170363903045654
Lr: 1.1805108392358875e-08, Accum Loss: 10.080527305603027
Lr: 1.3951491736424127e-08, Accum Loss: 10.135221004486084
Lr: 1.6097875080489375e-08, Accum Loss: 10.160554885864258
Lr: 1.8244258424554626e-08, Accum Loss: 9.7445387840271
Lr: 2.0390641768619876e-08, Accum Loss: 10.125412464141846
Lr: 2.2537025112685127e-08, Accum Loss: 9.937923431396484
Lr: 2.4683408456750378e-08, Accum Loss: 9.924257278442383
Lr: 2.682979180081563e-08, Accum Loss: 10.176190853118896
Lr: 2.8976175144880877e-08, Accum Loss: 10.057058334350586
Lr: 3.112255848894613e-08, Accum Loss: 10.098059177398682
Lr: 3.326894183301138e-08, Accum Loss: 10.121474742889404
Lr: 3.541532517707663e-08, Accum Loss: 10.213299751281738
Lr: 3.756170852114188e-08, Accum Loss: 10.00626277923584
Lr: 3.970809186520713e-08, Accum Loss: 10.160576820373535
Lr: 4.1854475209272375e-08, Accum Loss: 9.973062992095947
Lr: 4.400085855333763e-08, Accum Loss: 9.91249942779541
Lr: 4.614724189740288e-08, Accum Loss: 10.137123107910156
Lr: 4.8293625241468134e-08, Accum Loss: 9.867559909820557
Lr: 5.044000858553338e-08, Accum Loss: 9.869545936584473
Lr: 5.258639192959863e-08, Accum Loss: 9.820758819580078
Lr: 5.473277527366388e-08, Accum Loss: 10.111754417419434
Lr: 5.687915861772913e-08, Accum Loss: 10.105921268463135
Lr: 5.9025541961794375e-08, Accum Loss: 10.092185974121094
Lr: 6.117192530585963e-08, Accum Loss: 10.20746660232544
Lr: 6.331830864992488e-08, Accum Loss: 10.074642658233643
Lr: 6.546469199399013e-08, Accum Loss: 9.996500968933105
Lr: 6.761107533805538e-08, Accum Loss: 9.998437404632568
Lr: 6.975745868212062e-08, Accum Loss: 9.801268100738525
Lr: 7.190384202618588e-08, Accum Loss: 9.769914150238037
Lr: 7.405022537025114e-08, Accum Loss: 10.10588026046753
Lr: 7.619660871431638e-08, Accum Loss: 10.129316329956055
Lr: 7.834299205838163e-08, Accum Loss: 10.15081787109375
Lr: 8.048937540244688e-08, Accum Loss: 9.98478078842163
Lr: 8.263575874651214e-08, Accum Loss: 9.855839729309082
Lr: 8.478214209057739e-08, Accum Loss: 10.1390700340271
Lr: 8.692852543464263e-08, Accum Loss: 9.85978078842163
Lr: 8.907490877870787e-08, Accum Loss: 10.211292743682861
Lr: 9.122129212277314e-08, Accum Loss: 9.934006214141846
Lr: 9.336767546683839e-08, Accum Loss: 9.816850662231445
Lr: 9.551405881090363e-08, Accum Loss: 9.9828462600708
Lr: 9.766044215496888e-08, Accum Loss: 10.012146949768066
Lr: 9.980682549903413e-08, Accum Loss: 9.9730806350708
Lr: 1.0195320884309939e-07, Accum Loss: 9.885179042816162
Lr: 1.0409959218716464e-07, Accum Loss: 9.879335403442383
Lr: 1.062459755312299e-07, Accum Loss: 9.97109603881836
Lr: 1.0839235887529514e-07, Accum Loss: 10.053123950958252
Lr: 1.1053874221936038e-07, Accum Loss: 10.01017141342163
Lr: 1.1268512556342563e-07, Accum Loss: 10.041415691375732
Lr: 1.148315089074909e-07, Accum Loss: 10.225017070770264
Lr: 1.1697789225155614e-07, Accum Loss: 10.008221626281738
Lr: 1.1912427559562139e-07, Accum Loss: 10.203586101531982
Lr: 1.2127065893968663e-07, Accum Loss: 10.045300006866455
Lr: 1.2341704228375187e-07, Accum Loss: 10.078536987304688
Lr: 1.2556342562781715e-07, Accum Loss: 9.799277782440186
Lr: 1.277098089718824e-07, Accum Loss: 9.846148490905762
Lr: 1.2985619231594763e-07, Accum Loss: 9.943756103515625
Lr: 1.3200257566001288e-07, Accum Loss: 9.855844497680664
Lr: 1.3414895900407812e-07, Accum Loss: 9.916440486907959
Lr: 1.362953423481434e-07, Accum Loss: 10.016061782836914
Lr: 1.3844172569220864e-07, Accum Loss: 9.826586723327637
