W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 37.8s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='nl27k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
end load model! cost 16.4s
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 1.073191672032625e-09, Accum Loss: 1.5431482195854187
Lr: 3.2195750160978755e-09, Accum Loss: 1.4362762570381165
Lr: 5.365958360163126e-09, Accum Loss: 1.4933930039405823
Lr: 7.512341704228376e-09, Accum Loss: 1.452324390411377
Lr: 9.658725048293626e-09, Accum Loss: 1.4663897156715393
Lr: 1.1805108392358875e-08, Accum Loss: 1.5020655393600464
Lr: 1.3951491736424127e-08, Accum Loss: 1.4588975310325623
Lr: 1.6097875080489375e-08, Accum Loss: 1.387742280960083
Lr: 1.8244258424554626e-08, Accum Loss: 1.4615963697433472
Lr: 2.0390641768619876e-08, Accum Loss: 1.5586563348770142
Lr: 2.2537025112685127e-08, Accum Loss: 1.4805024862289429
Lr: 2.4683408456750378e-08, Accum Loss: 1.475937008857727
Lr: 2.682979180081563e-08, Accum Loss: 1.458331286907196
Lr: 2.8976175144880877e-08, Accum Loss: 1.491221010684967
Lr: 3.112255848894613e-08, Accum Loss: 1.5596182942390442
Lr: 3.326894183301138e-08, Accum Loss: 1.5341852307319641
