W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with pcst retrieval
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 58.1s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='nl27k_cp', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1700, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
end load model! cost 20.2s
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 1.341381623071764e-10, Accum Loss: 1.211558997631073
Lr: 4.024144869215292e-10, Accum Loss: 0.887776255607605
Lr: 6.70690811535882e-10, Accum Loss: 1.4297358393669128
Lr: 9.389671361502348e-10, Accum Loss: 0.8470060229301453
Lr: 1.2072434607645876e-09, Accum Loss: 1.2743106186389923
Lr: 1.4755197853789404e-09, Accum Loss: 2.8718948364257812
Lr: 1.7437961099932934e-09, Accum Loss: 1.6449249386787415
Lr: 2.012072434607646e-09, Accum Loss: 1.4561577141284943
Lr: 2.280348759221999e-09, Accum Loss: 0.8363563716411591
Lr: 2.5486250838363517e-09, Accum Loss: 1.5926271080970764
Lr: 2.8169014084507047e-09, Accum Loss: 1.6376420259475708
Lr: 3.0851777330650573e-09, Accum Loss: 1.5050600171089172
Lr: 3.35345405767941e-09, Accum Loss: 1.8838986158370972
Lr: 3.621730382293763e-09, Accum Loss: 0.9360214471817017
Lr: 3.890006706908116e-09, Accum Loss: 1.4204062223434448
Lr: 4.158283031522468e-09, Accum Loss: 1.0954612493515015
Lr: 4.426559356136821e-09, Accum Loss: 1.4271934032440186
Lr: 4.694835680751174e-09, Accum Loss: 2.019766688346863
Lr: 4.963112005365527e-09, Accum Loss: 1.8181730806827545
Lr: 5.2313883299798795e-09, Accum Loss: 1.4139732718467712
Lr: 5.4996646545942325e-09, Accum Loss: 1.8212930560112
Lr: 5.7679409792085855e-09, Accum Loss: 1.1429056525230408
Lr: 6.036217303822938e-09, Accum Loss: 1.3557757437229156
Lr: 6.3044936284372915e-09, Accum Loss: 1.219516634941101
Lr: 6.572769953051644e-09, Accum Loss: 1.1041202545166016
Lr: 6.841046277665997e-09, Accum Loss: 2.0379682779312134
Lr: 7.10932260228035e-09, Accum Loss: 2.343982219696045
Lr: 7.377598926894702e-09, Accum Loss: 0.9955404698848724
Lr: 7.645875251509056e-09, Accum Loss: 1.1368769109249115
Lr: 7.914151576123408e-09, Accum Loss: 1.0277149379253387
Lr: 8.18242790073776e-09, Accum Loss: 1.2404776513576508
Lr: 8.450704225352114e-09, Accum Loss: 2.4026005268096924
Lr: 8.718980549966466e-09, Accum Loss: 1.781883180141449
Lr: 8.98725687458082e-09, Accum Loss: 1.3110584914684296
Lr: 9.255533199195172e-09, Accum Loss: 0.9231264889240265
Lr: 9.523809523809524e-09, Accum Loss: 1.205556035041809
Lr: 9.792085848423878e-09, Accum Loss: 0.882484495639801
Lr: 1.0060362173038232e-08, Accum Loss: 2.3630661964416504
Lr: 1.0328638497652582e-08, Accum Loss: 1.5311180353164673
Lr: 1.0596914822266936e-08, Accum Loss: 1.079371452331543
Lr: 1.0865191146881288e-08, Accum Loss: 1.794992446899414
Lr: 1.1133467471495642e-08, Accum Loss: 1.2437202334403992
Lr: 1.1401743796109996e-08, Accum Loss: 1.4645106792449951
Lr: 1.1670020120724346e-08, Accum Loss: 1.3222203254699707
Lr: 1.19382964453387e-08, Accum Loss: 0.9055551588535309
Lr: 1.2206572769953052e-08, Accum Loss: 1.72564896941185
Lr: 1.2474849094567406e-08, Accum Loss: 1.0990597903728485
Lr: 1.274312541918176e-08, Accum Loss: 1.863143265247345
Lr: 1.301140174379611e-08, Accum Loss: 1.316036432981491
Lr: 1.3279678068410463e-08, Accum Loss: 1.6710118055343628
Lr: 1.3547954393024816e-08, Accum Loss: 1.8680298328399658
Lr: 1.381623071763917e-08, Accum Loss: 1.9676697850227356
Lr: 1.4084507042253522e-08, Accum Loss: 1.588231474161148
Lr: 1.4352783366867874e-08, Accum Loss: 1.8584247827529907
Lr: 1.4621059691482227e-08, Accum Loss: 1.2884228229522705
Lr: 1.488933601609658e-08, Accum Loss: 1.4325383305549622
Lr: 1.5157612340710934e-08, Accum Loss: 1.3269241750240326
Lr: 1.5425888665325288e-08, Accum Loss: 1.4337440133094788
Lr: 1.569416498993964e-08, Accum Loss: 1.1818740367889404
Lr: 1.5962441314553992e-08, Accum Loss: 1.5385627746582031
Lr: 1.6230717639168346e-08, Accum Loss: 1.3560426831245422
Lr: 1.6498993963782697e-08, Accum Loss: 2.0047521591186523
Lr: 1.676727028839705e-08, Accum Loss: 0.947500616312027
Lr: 1.70355466130114e-08, Accum Loss: 2.351065754890442
Lr: 1.7303822937625755e-08, Accum Loss: 1.1843021214008331
Lr: 1.757209926224011e-08, Accum Loss: 1.8893547654151917
Lr: 1.7840375586854462e-08, Accum Loss: 1.0581145882606506
Lr: 1.8108651911468816e-08, Accum Loss: 1.6079552173614502
Lr: 1.8376928236083167e-08, Accum Loss: 1.0907752513885498
Lr: 1.864520456069752e-08, Accum Loss: 1.3217008113861084
Lr: 1.891348088531187e-08, Accum Loss: 1.4001353979110718
Lr: 1.9181757209926225e-08, Accum Loss: 1.60067418217659
Lr: 1.945003353454058e-08, Accum Loss: 2.0209004878997803
Lr: 1.971830985915493e-08, Accum Loss: 2.0109153389930725
Lr: 1.9986586183769283e-08, Accum Loss: 1.5306549966335297
Lr: 2.0254862508383637e-08, Accum Loss: 0.9692083597183228
Lr: 2.052313883299799e-08, Accum Loss: 1.0216754376888275
Lr: 2.0791415157612345e-08, Accum Loss: 1.3310450315475464
Lr: 2.1059691482226695e-08, Accum Loss: 0.8330066204071045
Lr: 2.132796780684105e-08, Accum Loss: 1.4724252223968506
Lr: 2.1596244131455403e-08, Accum Loss: 1.1290683448314667
Lr: 2.1864520456069753e-08, Accum Loss: 1.4528050422668457
Lr: 2.2132796780684104e-08, Accum Loss: 1.0992737710475922
Lr: 2.2401073105298457e-08, Accum Loss: 1.2091184556484222
Lr: 2.266934942991281e-08, Accum Loss: 1.0821468234062195
Lr: 2.2937625754527165e-08, Accum Loss: 1.3978130221366882
Lr: 2.320590207914152e-08, Accum Loss: 1.6750569939613342
Lr: 2.347417840375587e-08, Accum Loss: 2.416318267583847
Lr: 2.3742454728370223e-08, Accum Loss: 1.1043970584869385
Lr: 2.4010731052984577e-08, Accum Loss: 1.0137425661087036
Lr: 2.427900737759893e-08, Accum Loss: 0.9506216049194336
Lr: 2.4547283702213278e-08, Accum Loss: 2.321619987487793
Lr: 2.4815560026827632e-08, Accum Loss: 0.9884029924869537
Lr: 2.5083836351441986e-08, Accum Loss: 1.7906978130340576
Lr: 2.535211267605634e-08, Accum Loss: 1.2739221453666687
Lr: 2.5620389000670693e-08, Accum Loss: 0.9172448813915253
Lr: 2.5888665325285047e-08, Accum Loss: 0.9146637320518494
Lr: 2.6156941649899398e-08, Accum Loss: 1.435034453868866
Lr: 2.642521797451375e-08, Accum Loss: 1.8207778334617615
Lr: 2.6693494299128105e-08, Accum Loss: 1.260304570198059
Lr: 2.696177062374246e-08, Accum Loss: 2.2373048663139343
Lr: 2.7230046948356806e-08, Accum Loss: 1.1752352118492126
Lr: 2.749832327297116e-08, Accum Loss: 2.448145866394043
Lr: 2.7766599597585514e-08, Accum Loss: 0.9644005596637726
Lr: 2.8034875922199868e-08, Accum Loss: 1.5482348799705505
Lr: 2.830315224681422e-08, Accum Loss: 1.0610607266426086
Lr: 2.8571428571428575e-08, Accum Loss: 1.6715628504753113
Lr: 2.8839704896042926e-08, Accum Loss: 1.408948540687561
Lr: 2.910798122065728e-08, Accum Loss: 1.5765376091003418
Lr: 2.9376257545271633e-08, Accum Loss: 1.3648015856742859
Lr: 2.9644533869885987e-08, Accum Loss: 0.8558898270130157
