W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 108.7s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
end load model! cost 40.2s
trainable params: 40960 || all params: 6738456576 || trainable%: 0.0006078543289257816
start training...
Lr: 6.929046563192905e-10, Accum Loss: 1.7021377086639404
Lr: 2.0787139689578714e-09, Accum Loss: 1.6974310874938965
Lr: 3.464523281596453e-09, Accum Loss: 1.6077243089675903
Lr: 4.850332594235034e-09, Accum Loss: 1.5597766041755676
Lr: 6.236141906873615e-09, Accum Loss: 1.6430667638778687
Lr: 7.621951219512196e-09, Accum Loss: 1.5679605603218079
Lr: 9.007760532150777e-09, Accum Loss: 1.6281289458274841
Lr: 1.0393569844789357e-08, Accum Loss: 1.56786447763443
Lr: 1.177937915742794e-08, Accum Loss: 1.6557626724243164
Lr: 1.316518847006652e-08, Accum Loss: 1.7077499628067017
Lr: 1.4550997782705101e-08, Accum Loss: 1.7328410744667053
Lr: 1.593680709534368e-08, Accum Loss: 1.637173354625702
Lr: 1.7322616407982262e-08, Accum Loss: 1.608090102672577
Lr: 1.8708425720620845e-08, Accum Loss: 1.6131837964057922
Lr: 2.0094235033259424e-08, Accum Loss: 1.5179376006126404
Lr: 2.1480044345898006e-08, Accum Loss: 1.6645105481147766
Lr: 2.2865853658536585e-08, Accum Loss: 1.5757333636283875
Lr: 2.4251662971175167e-08, Accum Loss: 1.5285153985023499
Lr: 2.5637472283813753e-08, Accum Loss: 1.6112650632858276
Lr: 2.702328159645233e-08, Accum Loss: 1.6082103848457336
Lr: 2.840909090909091e-08, Accum Loss: 1.6472710371017456
Lr: 2.979490022172949e-08, Accum Loss: 1.568507194519043
Lr: 3.1180709534368075e-08, Accum Loss: 1.6117222905158997
Lr: 3.256651884700666e-08, Accum Loss: 1.7094273567199707
Lr: 3.3952328159645233e-08, Accum Loss: 1.5921031832695007
Lr: 3.5338137472283816e-08, Accum Loss: 1.666095495223999
Lr: 3.67239467849224e-08, Accum Loss: 1.6613397002220154
Lr: 3.810975609756098e-08, Accum Loss: 1.6645925641059875
Lr: 3.9495565410199556e-08, Accum Loss: 1.6522176265716553
Lr: 4.0881374722838145e-08, Accum Loss: 1.5758038759231567
Lr: 4.226718403547672e-08, Accum Loss: 1.6253172159194946
Lr: 4.36529933481153e-08, Accum Loss: 1.6154059767723083
Lr: 4.5038802660753885e-08, Accum Loss: 1.5707932710647583
Lr: 4.642461197339247e-08, Accum Loss: 1.6279741525650024
Lr: 4.781042128603104e-08, Accum Loss: 1.6570137739181519
Lr: 4.919623059866963e-08, Accum Loss: 1.6419371366500854
Lr: 5.058203991130821e-08, Accum Loss: 1.5932192206382751
Lr: 5.196784922394679e-08, Accum Loss: 1.6165518164634705
Lr: 5.335365853658537e-08, Accum Loss: 1.6566290259361267
Lr: 5.4739467849223955e-08, Accum Loss: 1.6174908876419067
Lr: 5.612527716186253e-08, Accum Loss: 1.6136399507522583
Lr: 5.7511086474501106e-08, Accum Loss: 1.5498464703559875
