W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with random sampled 50 triples, llm_froze=False
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 119.1s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1900, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
end load model! cost 57.7s
trainable params: 4235264 || all params: 6742650880 || trainable%: 0.06281304008431769
start training...
Lr: 8.661158170070502e-11, Accum Loss: 1.6875564455986023
Lr: 2.598347451021151e-10, Accum Loss: 1.952568233013153
Lr: 4.3305790850352517e-10, Accum Loss: 2.4836666584014893
Lr: 6.062810719049351e-10, Accum Loss: 2.3461886644363403
Lr: 7.795042353063452e-10, Accum Loss: 1.911668837070465
Lr: 9.527273987077552e-10, Accum Loss: 2.2858752012252808
Lr: 1.1259505621091654e-09, Accum Loss: 1.6146105527877808
Lr: 1.2991737255105755e-09, Accum Loss: 2.298287570476532
Lr: 1.4723968889119854e-09, Accum Loss: 2.289160192012787
Lr: 1.6456200523133956e-09, Accum Loss: 1.9469240307807922
Lr: 1.8188432157148055e-09, Accum Loss: 2.302527070045471
Lr: 1.9920663791162156e-09, Accum Loss: 2.2677568197250366
Lr: 2.1652895425176256e-09, Accum Loss: 2.2743841409683228
Lr: 2.3385127059190357e-09, Accum Loss: 2.1252745389938354
Lr: 2.5117358693204458e-09, Accum Loss: 2.093062937259674
Lr: 2.684959032721856e-09, Accum Loss: 1.6582105457782745
Lr: 2.858182196123266e-09, Accum Loss: 1.8871599435806274
Lr: 3.0314053595246755e-09, Accum Loss: 2.0501654148101807
Lr: 3.2046285229260856e-09, Accum Loss: 1.945446789264679
Lr: 3.377851686327496e-09, Accum Loss: 1.9373681545257568
Lr: 3.551074849728906e-09, Accum Loss: 2.5090088844299316
Lr: 3.7242980131303162e-09, Accum Loss: 2.612548351287842
Lr: 3.897521176531726e-09, Accum Loss: 3.3780581951141357
Lr: 4.070744339933136e-09, Accum Loss: 2.023912250995636
Lr: 4.2439675033345464e-09, Accum Loss: 2.314087986946106
Lr: 4.417190666735956e-09, Accum Loss: 1.8017021417617798
Lr: 4.5904138301373665e-09, Accum Loss: 1.4498323798179626
Lr: 4.763636993538776e-09, Accum Loss: 2.282105803489685
Lr: 4.936860156940186e-09, Accum Loss: 1.4886878728866577
Lr: 5.110083320341596e-09, Accum Loss: 2.479336142539978
Lr: 5.283306483743006e-09, Accum Loss: 1.8353779315948486
Lr: 5.4565296471444165e-09, Accum Loss: 2.0013487339019775
Lr: 5.629752810545827e-09, Accum Loss: 1.867428958415985
Lr: 5.8029759739472374e-09, Accum Loss: 1.8469856679439545
Lr: 5.976199137348647e-09, Accum Loss: 2.226069688796997
Lr: 6.149422300750057e-09, Accum Loss: 1.5576409697532654
Lr: 6.322645464151467e-09, Accum Loss: 2.0286136865615845
Lr: 6.495868627552877e-09, Accum Loss: 1.5560742020606995
Lr: 6.6690917909542865e-09, Accum Loss: 2.1358067989349365
Lr: 6.842314954355697e-09, Accum Loss: 2.8319449424743652
Lr: 7.015538117757107e-09, Accum Loss: 2.2054953575134277
Lr: 7.188761281158516e-09, Accum Loss: 1.4949542880058289
Lr: 7.361984444559928e-09, Accum Loss: 1.9799981117248535
Lr: 7.535207607961338e-09, Accum Loss: 1.9002373814582825
Lr: 7.708430771362748e-09, Accum Loss: 1.6007559299468994
Lr: 7.881653934764157e-09, Accum Loss: 2.0805901288986206
Lr: 8.054877098165567e-09, Accum Loss: 1.1351649165153503
Lr: 8.228100261566977e-09, Accum Loss: 2.2883236408233643
Lr: 8.401323424968388e-09, Accum Loss: 1.1752048134803772
Lr: 8.574546588369798e-09, Accum Loss: 1.8820663094520569
Lr: 8.747769751771207e-09, Accum Loss: 2.180655539035797
Lr: 8.920992915172617e-09, Accum Loss: 1.926928460597992
Lr: 9.094216078574027e-09, Accum Loss: 2.1229809522628784
Lr: 9.267439241975438e-09, Accum Loss: 1.4669797122478485
Lr: 9.440662405376848e-09, Accum Loss: 1.5613242387771606
Lr: 9.613885568778259e-09, Accum Loss: 1.3859184980392456
Lr: 9.787108732179669e-09, Accum Loss: 2.270446479320526
Lr: 9.960331895581077e-09, Accum Loss: 1.1926915347576141
Lr: 1.0133555058982488e-08, Accum Loss: 1.8112727403640747
Lr: 1.0306778222383899e-08, Accum Loss: 1.377309799194336
Lr: 1.0480001385785307e-08, Accum Loss: 1.8020962476730347
Lr: 1.0653224549186718e-08, Accum Loss: 2.075830101966858
Lr: 1.0826447712588128e-08, Accum Loss: 1.3261555135250092
Lr: 1.099967087598954e-08, Accum Loss: 1.607800841331482
Lr: 1.1172894039390947e-08, Accum Loss: 2.098015010356903
Lr: 1.1346117202792359e-08, Accum Loss: 1.6950026750564575
Lr: 1.1519340366193767e-08, Accum Loss: 1.6860634684562683
Lr: 1.1692563529595178e-08, Accum Loss: 1.9674789905548096
Lr: 1.1865786692996588e-08, Accum Loss: 1.4516452550888062
Lr: 1.2039009856397999e-08, Accum Loss: 2.7419069409370422
Lr: 1.221223301979941e-08, Accum Loss: 1.4789252281188965
Lr: 1.2385456183200818e-08, Accum Loss: 1.3138921558856964
Lr: 1.255867934660223e-08, Accum Loss: 1.9893312454223633
Lr: 1.2731902510003638e-08, Accum Loss: 1.7207847237586975
Lr: 1.2905125673405049e-08, Accum Loss: 1.6161533296108246
Lr: 1.3078348836806459e-08, Accum Loss: 1.9283263087272644
Lr: 1.325157200020787e-08, Accum Loss: 1.7262078523635864
Lr: 1.3424795163609278e-08, Accum Loss: 1.2479166090488434
Lr: 1.3598018327010689e-08, Accum Loss: 1.4754120111465454
Lr: 1.37712414904121e-08, Accum Loss: 2.445288062095642
Lr: 1.3944464653813508e-08, Accum Loss: 1.0258069038391113
Lr: 1.411768781721492e-08, Accum Loss: 1.9316089153289795
Lr: 1.429091098061633e-08, Accum Loss: 2.1146861910820007
Lr: 1.446413414401774e-08, Accum Loss: 2.175439715385437
Lr: 1.4637357307419149e-08, Accum Loss: 1.2477587163448334
Lr: 1.481058047082056e-08, Accum Loss: 1.4762389063835144
Lr: 1.4983803634221968e-08, Accum Loss: 1.4449462294578552
Lr: 1.515702679762338e-08, Accum Loss: 1.038109451532364
Lr: 1.5330249961024787e-08, Accum Loss: 1.2138154804706573
Lr: 1.55034731244262e-08, Accum Loss: 1.1917085647583008
Lr: 1.567669628782761e-08, Accum Loss: 1.53683540225029
Lr: 1.584991945122902e-08, Accum Loss: 2.585327625274658
Lr: 1.602314261463043e-08, Accum Loss: 1.527671992778778
Lr: 1.619636577803184e-08, Accum Loss: 1.5263546109199524
Lr: 1.6369588941433252e-08, Accum Loss: 1.541892409324646
Lr: 1.6542812104834658e-08, Accum Loss: 3.1337013244628906
Lr: 1.671603526823607e-08, Accum Loss: 2.339761793613434
Lr: 1.688925843163748e-08, Accum Loss: 1.853707641363144
Lr: 1.706248159503889e-08, Accum Loss: 1.2949112355709076
Lr: 1.72357047584403e-08, Accum Loss: 1.1031960844993591
Lr: 1.740892792184171e-08, Accum Loss: 1.1335361897945404
Lr: 1.7582151085243123e-08, Accum Loss: 1.1577706336975098
Lr: 1.775537424864453e-08, Accum Loss: 1.8744608163833618
Lr: 1.7928597412045942e-08, Accum Loss: 1.9605145752429962
Lr: 1.810182057544735e-08, Accum Loss: 1.722914844751358
Lr: 1.827504373884876e-08, Accum Loss: 1.595377266407013
Lr: 1.844826690225017e-08, Accum Loss: 1.590781331062317
Lr: 1.862149006565158e-08, Accum Loss: 2.2264893651008606
Lr: 1.879471322905299e-08, Accum Loss: 2.199195086956024
Lr: 1.89679363924544e-08, Accum Loss: 1.970013678073883
Lr: 1.914115955585581e-08, Accum Loss: 1.351533055305481
Lr: 1.931438271925722e-08, Accum Loss: 2.106665074825287
Lr: 1.9487605882658632e-08, Accum Loss: 2.1908457279205322
Lr: 1.9660829046060042e-08, Accum Loss: 2.326204240322113
Lr: 1.9834052209461448e-08, Accum Loss: 1.8892358541488647
Lr: 2.000727537286286e-08, Accum Loss: 1.6785573363304138
Lr: 2.018049853626427e-08, Accum Loss: 1.836106538772583
Lr: 2.035372169966568e-08, Accum Loss: 1.0229759812355042
Lr: 2.052694486306709e-08, Accum Loss: 2.6858639121055603
