W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
instruction tuning with random sampled 50 triples, llm_froze=False
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 113.6s
Namespace(model_name='llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1900, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0, local_rank=-1, deepspeed_config='ds_config.json')
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
end load model! cost 46.4s
trainable params: 4194304 || all params: 6742609920 || trainable%: 0.06220594176090199
start training...
Lr: 8.661158170070502e-11, Accum Loss: 2.061300039291382
Lr: 2.598347451021151e-10, Accum Loss: 2.3945756554603577
Lr: 4.3305790850352517e-10, Accum Loss: 2.794683337211609
Lr: 6.062810719049351e-10, Accum Loss: 2.786661207675934
Lr: 7.795042353063452e-10, Accum Loss: 2.1350152492523193
Lr: 9.527273987077552e-10, Accum Loss: 2.749037265777588
Lr: 1.1259505621091654e-09, Accum Loss: 1.9509550333023071
Lr: 1.2991737255105755e-09, Accum Loss: 2.6918659806251526
Lr: 1.4723968889119854e-09, Accum Loss: 2.575332760810852
Lr: 1.6456200523133956e-09, Accum Loss: 2.3073487281799316
Lr: 1.8188432157148055e-09, Accum Loss: 2.7483513951301575
Lr: 1.9920663791162156e-09, Accum Loss: 2.6708484888076782
Lr: 2.1652895425176256e-09, Accum Loss: 2.5470207929611206
Lr: 2.3385127059190357e-09, Accum Loss: 2.453628122806549
Lr: 2.5117358693204458e-09, Accum Loss: 2.3875017166137695
Lr: 2.684959032721856e-09, Accum Loss: 2.008804738521576
Lr: 2.858182196123266e-09, Accum Loss: 2.2396923899650574
Lr: 3.0314053595246755e-09, Accum Loss: 2.416537046432495
Lr: 3.2046285229260856e-09, Accum Loss: 2.1871496438980103
Lr: 3.377851686327496e-09, Accum Loss: 2.3984413146972656
Lr: 3.551074849728906e-09, Accum Loss: 2.6995298862457275
Lr: 3.7242980131303162e-09, Accum Loss: 3.032164454460144
Lr: 3.897521176531726e-09, Accum Loss: 3.557797074317932
Lr: 4.070744339933136e-09, Accum Loss: 2.338502585887909
Lr: 4.2439675033345464e-09, Accum Loss: 2.7671314477920532
Lr: 4.417190666735956e-09, Accum Loss: 2.359836518764496
Lr: 4.5904138301373665e-09, Accum Loss: 1.747698962688446
Lr: 4.763636993538776e-09, Accum Loss: 2.47141695022583
Lr: 4.936860156940186e-09, Accum Loss: 1.8920565843582153
Lr: 5.110083320341596e-09, Accum Loss: 2.846869468688965
Lr: 5.283306483743006e-09, Accum Loss: 2.237547278404236
Lr: 5.4565296471444165e-09, Accum Loss: 2.4889832735061646
Lr: 5.629752810545827e-09, Accum Loss: 2.1009377241134644
Lr: 5.8029759739472374e-09, Accum Loss: 2.341010272502899
Lr: 5.976199137348647e-09, Accum Loss: 2.546672821044922
Lr: 6.149422300750057e-09, Accum Loss: 1.7551769018173218
Lr: 6.322645464151467e-09, Accum Loss: 2.468560576438904
Lr: 6.495868627552877e-09, Accum Loss: 1.8612523078918457
Lr: 6.6690917909542865e-09, Accum Loss: 2.5763717889785767
Lr: 6.842314954355697e-09, Accum Loss: 3.1197509765625
Lr: 7.015538117757107e-09, Accum Loss: 2.603100895881653
Lr: 7.188761281158516e-09, Accum Loss: 1.9654402136802673
Lr: 7.361984444559928e-09, Accum Loss: 2.295605719089508
Lr: 7.535207607961338e-09, Accum Loss: 2.370111107826233
Lr: 7.708430771362748e-09, Accum Loss: 2.2056527137756348
Lr: 7.881653934764157e-09, Accum Loss: 2.477566957473755
Lr: 8.054877098165567e-09, Accum Loss: 1.5531907677650452
Lr: 8.228100261566977e-09, Accum Loss: 2.522621750831604
Lr: 8.401323424968388e-09, Accum Loss: 1.502160131931305
Lr: 8.574546588369798e-09, Accum Loss: 2.2735888957977295
Lr: 8.747769751771207e-09, Accum Loss: 2.607675313949585
Lr: 8.920992915172617e-09, Accum Loss: 2.3421547412872314
Lr: 9.094216078574027e-09, Accum Loss: 2.660778045654297
Lr: 9.267439241975438e-09, Accum Loss: 1.8272393941879272
Lr: 9.440662405376848e-09, Accum Loss: 1.9320354461669922
Lr: 9.613885568778259e-09, Accum Loss: 1.8589468002319336
Lr: 9.787108732179669e-09, Accum Loss: 2.5292563438415527
Lr: 9.960331895581077e-09, Accum Loss: 1.5813034772872925
Lr: 1.0133555058982488e-08, Accum Loss: 2.2421751618385315
Lr: 1.0306778222383899e-08, Accum Loss: 1.7287948727607727
Lr: 1.0480001385785307e-08, Accum Loss: 1.9729880690574646
Lr: 1.0653224549186718e-08, Accum Loss: 2.3739019632339478
Lr: 1.0826447712588128e-08, Accum Loss: 1.673714518547058
Lr: 1.099967087598954e-08, Accum Loss: 1.8836011290550232
Lr: 1.1172894039390947e-08, Accum Loss: 2.472792625427246
Lr: 1.1346117202792359e-08, Accum Loss: 2.0656675696372986
Lr: 1.1519340366193767e-08, Accum Loss: 1.955577790737152
Lr: 1.1692563529595178e-08, Accum Loss: 2.362265467643738
Lr: 1.1865786692996588e-08, Accum Loss: 1.8111059069633484
Lr: 1.2039009856397999e-08, Accum Loss: 2.995521903038025
Lr: 1.221223301979941e-08, Accum Loss: 1.925130009651184
Lr: 1.2385456183200818e-08, Accum Loss: 1.7108498215675354
Lr: 1.255867934660223e-08, Accum Loss: 2.328028440475464
Lr: 1.2731902510003638e-08, Accum Loss: 2.116208076477051
Lr: 1.2905125673405049e-08, Accum Loss: 1.8743574619293213
Lr: 1.3078348836806459e-08, Accum Loss: 2.3783997297286987
Lr: 1.325157200020787e-08, Accum Loss: 2.019916832447052
Lr: 1.3424795163609278e-08, Accum Loss: 1.5659958720207214
Lr: 1.3598018327010689e-08, Accum Loss: 1.859531581401825
Lr: 1.37712414904121e-08, Accum Loss: 2.8651944398880005
Lr: 1.3944464653813508e-08, Accum Loss: 1.412085771560669
Lr: 1.411768781721492e-08, Accum Loss: 2.2612144947052
Lr: 1.429091098061633e-08, Accum Loss: 2.329955816268921
Lr: 1.446413414401774e-08, Accum Loss: 2.5583757162094116
Lr: 1.4637357307419149e-08, Accum Loss: 1.5720358490943909
Lr: 1.481058047082056e-08, Accum Loss: 1.8969456553459167
Lr: 1.4983803634221968e-08, Accum Loss: 1.8127359747886658
Lr: 1.515702679762338e-08, Accum Loss: 1.4950329661369324
Lr: 1.5330249961024787e-08, Accum Loss: 1.571586549282074
Lr: 1.55034731244262e-08, Accum Loss: 1.6065143942832947
Lr: 1.567669628782761e-08, Accum Loss: 1.9776167273521423
Lr: 1.584991945122902e-08, Accum Loss: 2.942298650741577
Lr: 1.602314261463043e-08, Accum Loss: 1.8031178712844849
Lr: 1.619636577803184e-08, Accum Loss: 1.9454216957092285
Lr: 1.6369588941433252e-08, Accum Loss: 1.7995431423187256
Lr: 1.6542812104834658e-08, Accum Loss: 3.4846270084381104
Lr: 1.671603526823607e-08, Accum Loss: 2.870358943939209
Lr: 1.688925843163748e-08, Accum Loss: 2.2169453501701355
Lr: 1.706248159503889e-08, Accum Loss: 1.760853111743927
Lr: 1.72357047584403e-08, Accum Loss: 1.537728726863861
Lr: 1.740892792184171e-08, Accum Loss: 1.5201881527900696
Lr: 1.7582151085243123e-08, Accum Loss: 1.5144397020339966
Lr: 1.775537424864453e-08, Accum Loss: 2.3141380548477173
Lr: 1.7928597412045942e-08, Accum Loss: 2.3154624104499817
Lr: 1.810182057544735e-08, Accum Loss: 2.135664463043213
Lr: 1.827504373884876e-08, Accum Loss: 2.0153844952583313
Lr: 1.844826690225017e-08, Accum Loss: 1.9317429065704346
Lr: 1.862149006565158e-08, Accum Loss: 2.605003297328949
Lr: 1.879471322905299e-08, Accum Loss: 2.4929279685020447
Lr: 1.89679363924544e-08, Accum Loss: 2.440822720527649
Lr: 1.914115955585581e-08, Accum Loss: 1.6567095518112183
Lr: 1.931438271925722e-08, Accum Loss: 2.668179154396057
Lr: 1.9487605882658632e-08, Accum Loss: 2.3932257890701294
Lr: 1.9660829046060042e-08, Accum Loss: 2.6892791986465454
Lr: 1.9834052209461448e-08, Accum Loss: 2.280167520046234
Lr: 2.000727537286286e-08, Accum Loss: 2.1129701137542725
Lr: 2.018049853626427e-08, Accum Loss: 2.2749966382980347
Lr: 2.035372169966568e-08, Accum Loss: 1.4805802702903748
Lr: 2.052694486306709e-08, Accum Loss: 2.901870906352997
