W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with pcst retrieval, llm_froze=False
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 108.7s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='ppi5k_cp', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1900, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0, local_rank=-1, deepspeed_config='ds_config.json')
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
end load model! cost 45.1s
trainable params: 4235264 || all params: 6742650880 || trainable%: 0.06281304008431769
start training...
Lr: 8.661158170070502e-11, Accum Loss: 2.0678080320358276
Lr: 2.598347451021151e-10, Accum Loss: 2.6365909576416016
Lr: 4.3305790850352517e-10, Accum Loss: 1.9008206725120544
Lr: 6.062810719049351e-10, Accum Loss: 2.2352577447891235
Lr: 7.795042353063452e-10, Accum Loss: 2.1202412247657776
Lr: 9.527273987077552e-10, Accum Loss: 2.301232099533081
Lr: 1.1259505621091654e-09, Accum Loss: 1.7698505520820618
Lr: 1.2991737255105755e-09, Accum Loss: 2.0997649431228638
Lr: 1.4723968889119854e-09, Accum Loss: 2.374324679374695
Lr: 1.6456200523133956e-09, Accum Loss: 1.947317361831665
Lr: 1.8188432157148055e-09, Accum Loss: 2.496321737766266
Lr: 1.9920663791162156e-09, Accum Loss: 3.2313029766082764
Lr: 2.1652895425176256e-09, Accum Loss: 1.7990591526031494
Lr: 2.3385127059190357e-09, Accum Loss: 2.6310874223709106
Lr: 2.5117358693204458e-09, Accum Loss: 1.9638932347297668
Lr: 2.684959032721856e-09, Accum Loss: 2.659753203392029
Lr: 2.858182196123266e-09, Accum Loss: 2.105942964553833
Lr: 3.0314053595246755e-09, Accum Loss: 2.2125973105430603
Lr: 3.2046285229260856e-09, Accum Loss: 1.699243277311325
Lr: 3.377851686327496e-09, Accum Loss: 1.980667531490326
Lr: 3.551074849728906e-09, Accum Loss: 2.486964702606201
Lr: 3.7242980131303162e-09, Accum Loss: 2.0266842246055603
Lr: 3.897521176531726e-09, Accum Loss: 3.163662552833557
Lr: 4.070744339933136e-09, Accum Loss: 2.4781466126441956
Lr: 4.2439675033345464e-09, Accum Loss: 2.763555884361267
Lr: 4.417190666735956e-09, Accum Loss: 2.608867645263672
Lr: 4.5904138301373665e-09, Accum Loss: 2.0563822984695435
Lr: 4.763636993538776e-09, Accum Loss: 2.42070734500885
Lr: 4.936860156940186e-09, Accum Loss: 1.7072059512138367
Lr: 5.110083320341596e-09, Accum Loss: 2.8908543586730957
Lr: 5.283306483743006e-09, Accum Loss: 1.8520023822784424
Lr: 5.4565296471444165e-09, Accum Loss: 2.608116030693054
Lr: 5.629752810545827e-09, Accum Loss: 1.5390784740447998
Lr: 5.8029759739472374e-09, Accum Loss: 2.5825830698013306
Lr: 5.976199137348647e-09, Accum Loss: 3.078113079071045
Lr: 6.149422300750057e-09, Accum Loss: 1.8655776381492615
Lr: 6.322645464151467e-09, Accum Loss: 2.0274476408958435
Lr: 6.495868627552877e-09, Accum Loss: 0.9177525639533997
Lr: 6.6690917909542865e-09, Accum Loss: 2.261125147342682
Lr: 6.842314954355697e-09, Accum Loss: 2.03071790933609
Lr: 7.015538117757107e-09, Accum Loss: 2.3232414722442627
Lr: 7.188761281158516e-09, Accum Loss: 1.8497088551521301
Lr: 7.361984444559928e-09, Accum Loss: 2.10256028175354
Lr: 7.535207607961338e-09, Accum Loss: 1.9913605451583862
Lr: 7.708430771362748e-09, Accum Loss: 1.8838504552841187
Lr: 7.881653934764157e-09, Accum Loss: 2.233121633529663
Lr: 8.054877098165567e-09, Accum Loss: 1.2604473233222961
Lr: 8.228100261566977e-09, Accum Loss: 2.3345643281936646
Lr: 8.401323424968388e-09, Accum Loss: 1.3624792695045471
Lr: 8.574546588369798e-09, Accum Loss: 2.2897403836250305
Lr: 8.747769751771207e-09, Accum Loss: 2.0671560168266296
Lr: 8.920992915172617e-09, Accum Loss: 2.054796576499939
Lr: 9.094216078574027e-09, Accum Loss: 2.0601537823677063
Lr: 9.267439241975438e-09, Accum Loss: 1.7938989102840424
Lr: 9.440662405376848e-09, Accum Loss: 1.4888014197349548
Lr: 9.613885568778259e-09, Accum Loss: 1.7300965189933777
Lr: 9.787108732179669e-09, Accum Loss: 2.3916658759117126
Lr: 9.960331895581077e-09, Accum Loss: 1.039003998041153
Lr: 1.0133555058982488e-08, Accum Loss: 2.0219263434410095
Lr: 1.0306778222383899e-08, Accum Loss: 1.8443682193756104
Lr: 1.0480001385785307e-08, Accum Loss: 1.9109413027763367
Lr: 1.0653224549186718e-08, Accum Loss: 2.2435104846954346
Lr: 1.0826447712588128e-08, Accum Loss: 1.5036728382110596
Lr: 1.099967087598954e-08, Accum Loss: 2.228745758533478
Lr: 1.1172894039390947e-08, Accum Loss: 2.2181875705718994
Lr: 1.1346117202792359e-08, Accum Loss: 2.024007499217987
Lr: 1.1519340366193767e-08, Accum Loss: 2.290616035461426
Lr: 1.1692563529595178e-08, Accum Loss: 2.563964605331421
Lr: 1.1865786692996588e-08, Accum Loss: 1.7129266262054443
Lr: 1.2039009856397999e-08, Accum Loss: 3.3322341442108154
Lr: 1.221223301979941e-08, Accum Loss: 1.935865879058838
Lr: 1.2385456183200818e-08, Accum Loss: 1.1653046607971191
Lr: 1.255867934660223e-08, Accum Loss: 1.9849558472633362
Lr: 1.2731902510003638e-08, Accum Loss: 2.005733609199524
Lr: 1.2905125673405049e-08, Accum Loss: 2.31621253490448
Lr: 1.3078348836806459e-08, Accum Loss: 2.618323564529419
Lr: 1.325157200020787e-08, Accum Loss: 1.6538710594177246
Lr: 1.3424795163609278e-08, Accum Loss: 2.1352623105049133
Lr: 1.3598018327010689e-08, Accum Loss: 1.681551218032837
Lr: 1.37712414904121e-08, Accum Loss: 2.899958848953247
Lr: 1.3944464653813508e-08, Accum Loss: 1.0854126513004303
Lr: 1.411768781721492e-08, Accum Loss: 2.1490508317947388
Lr: 1.429091098061633e-08, Accum Loss: 2.8161137104034424
Lr: 1.446413414401774e-08, Accum Loss: 2.1248474717140198
Lr: 1.4637357307419149e-08, Accum Loss: 1.488195776939392
Lr: 1.481058047082056e-08, Accum Loss: 1.452430784702301
Lr: 1.4983803634221968e-08, Accum Loss: 1.529318928718567
Lr: 1.515702679762338e-08, Accum Loss: 0.9626079797744751
Lr: 1.5330249961024787e-08, Accum Loss: 1.210264503955841
Lr: 1.55034731244262e-08, Accum Loss: 1.3955820202827454
Lr: 1.567669628782761e-08, Accum Loss: 1.8833060264587402
Lr: 1.584991945122902e-08, Accum Loss: 2.276456117630005
Lr: 1.602314261463043e-08, Accum Loss: 2.7627002000808716
Lr: 1.619636577803184e-08, Accum Loss: 1.3428739309310913
Lr: 1.6369588941433252e-08, Accum Loss: 1.8677781224250793
Lr: 1.6542812104834658e-08, Accum Loss: 2.824520707130432
Lr: 1.671603526823607e-08, Accum Loss: 2.2097041606903076
Lr: 1.688925843163748e-08, Accum Loss: 2.6681805849075317
Lr: 1.706248159503889e-08, Accum Loss: 1.1503552794456482
Lr: 1.72357047584403e-08, Accum Loss: 1.96870756149292
Lr: 1.740892792184171e-08, Accum Loss: 1.161310076713562
Lr: 1.7582151085243123e-08, Accum Loss: 1.7521100640296936
Lr: 1.775537424864453e-08, Accum Loss: 2.4217365980148315
Lr: 1.7928597412045942e-08, Accum Loss: 2.173724412918091
Lr: 1.810182057544735e-08, Accum Loss: 1.2665782570838928
Lr: 1.827504373884876e-08, Accum Loss: 2.248547315597534
Lr: 1.844826690225017e-08, Accum Loss: 1.6285648941993713
Lr: 1.862149006565158e-08, Accum Loss: 2.3761561512947083
Lr: 1.879471322905299e-08, Accum Loss: 1.9233224391937256
Lr: 1.89679363924544e-08, Accum Loss: 1.525019884109497
Lr: 1.914115955585581e-08, Accum Loss: 1.135927677154541
Lr: 1.931438271925722e-08, Accum Loss: 3.1147488355636597
Lr: 1.9487605882658632e-08, Accum Loss: 2.7285873889923096
Lr: 1.9660829046060042e-08, Accum Loss: 2.326832115650177
Lr: 1.9834052209461448e-08, Accum Loss: 2.3255724906921387
Lr: 2.000727537286286e-08, Accum Loss: 1.7788770198822021
Lr: 2.018049853626427e-08, Accum Loss: 1.8777439594268799
Lr: 2.035372169966568e-08, Accum Loss: 1.1436618566513062
Lr: 2.052694486306709e-08, Accum Loss: 2.422493875026703
