
  3%|▎         | 136/4654 [08:50<5:17:24,  4.22s/it]
Step 0 - Original loss: 9.1096, Custom loss: 0.3027, Total loss: 9.2610
Step 0 - Original loss: 9.7270, Custom loss: 0.6445, Total loss: 10.0492
{'loss': 9.8496, 'learning_rate': 2.1482277121374867e-08, 'epoch': 0.0}
Step 2 - Original loss: 9.5628, Custom loss: 0.9219, Total loss: 10.0238
Step 2 - Original loss: 9.4730, Custom loss: 0.3711, Total loss: 9.6586
{'loss': 9.9189, 'learning_rate': 4.2964554242749734e-08, 'epoch': 0.0}
Step 4 - Original loss: 9.9224, Custom loss: 0.3984, Total loss: 10.1216
Step 4 - Original loss: 9.1253, Custom loss: 1.0156, Total loss: 9.6331
{'loss': 9.8702, 'learning_rate': 6.44468313641246e-08, 'epoch': 0.0}
Step 6 - Original loss: 10.1097, Custom loss: 1.1641, Total loss: 10.6918
Step 6 - Original loss: 9.3131, Custom loss: 1.1250, Total loss: 9.8756
{'loss': 10.2042, 'learning_rate': 8.592910848549947e-08, 'epoch': 0.0}
Step 8 - Original loss: 9.3831, Custom loss: 0.5547, Total loss: 9.6605
Step 8 - Original loss: 10.1330, Custom loss: 0.2832, Total loss: 10.2746
{'loss': 9.7609, 'learning_rate': 1.0741138560687433e-07, 'epoch': 0.0}
Step 10 - Original loss: 8.4884, Custom loss: 0.3672, Total loss: 8.6720
Step 10 - Original loss: 9.2033, Custom loss: 0.5703, Total loss: 9.4885
{'loss': 9.4428, 'learning_rate': 1.288936627282492e-07, 'epoch': 0.0}
Step 12 - Original loss: 9.2894, Custom loss: 0.5703, Total loss: 9.5746
Step 12 - Original loss: 9.4729, Custom loss: 0.8008, Total loss: 9.8732
{'loss': 9.5726, 'learning_rate': 1.5037593984962406e-07, 'epoch': 0.0}
Step 14 - Original loss: 9.1370, Custom loss: 0.2539, Total loss: 9.2639
Step 14 - Original loss: 9.8986, Custom loss: 0.8164, Total loss: 10.3068
{'loss': 9.7178, 'learning_rate': 1.7185821697099894e-07, 'epoch': 0.0}
Step 16 - Original loss: 8.9572, Custom loss: 0.4746, Total loss: 9.1945
Step 16 - Original loss: 9.1369, Custom loss: 0.3164, Total loss: 9.2951
{'loss': 9.5969, 'learning_rate': 1.9334049409237381e-07, 'epoch': 0.0}
Step 18 - Original loss: 8.7579, Custom loss: 0.6367, Total loss: 9.0763
Step 18 - Original loss: 9.2502, Custom loss: 0.7852, Total loss: 9.6428
{'loss': 9.7655, 'learning_rate': 2.1482277121374867e-07, 'epoch': 0.0}
Step 20 - Original loss: 9.9925, Custom loss: 0.4062, Total loss: 10.1956
Step 20 - Original loss: 9.3362, Custom loss: 0.4141, Total loss: 9.5432
{'loss': 9.5664, 'learning_rate': 2.3630504833512354e-07, 'epoch': 0.0}
Step 22 - Original loss: 8.9730, Custom loss: 0.9336, Total loss: 9.4397
Step 22 - Original loss: 9.5705, Custom loss: 0.2852, Total loss: 9.7131
{'loss': 9.5839, 'learning_rate': 2.577873254564984e-07, 'epoch': 0.01}
Step 24 - Original loss: 9.3127, Custom loss: 0.4922, Total loss: 9.5588
Step 24 - Original loss: 9.1761, Custom loss: 0.5742, Total loss: 9.4632
{'loss': 9.5295, 'learning_rate': 2.7926960257787327e-07, 'epoch': 0.01}
Step 26 - Original loss: 9.4808, Custom loss: 0.8594, Total loss: 9.9105
Step 26 - Original loss: 8.6486, Custom loss: 0.4902, Total loss: 8.8937
{'loss': 9.2037, 'learning_rate': 3.007518796992481e-07, 'epoch': 0.01}
Step 28 - Original loss: 10.2541, Custom loss: 0.3086, Total loss: 10.4084
Step 28 - Original loss: 8.7268, Custom loss: 0.4199, Total loss: 8.9368
{'loss': 9.5739, 'learning_rate': 3.22234156820623e-07, 'epoch': 0.01}
Step 30 - Original loss: 8.0042, Custom loss: 0.6836, Total loss: 8.3460
Step 30 - Original loss: 8.2150, Custom loss: 0.3184, Total loss: 8.3742
{'loss': 8.7589, 'learning_rate': 3.437164339419979e-07, 'epoch': 0.01}
Step 32 - Original loss: 8.0706, Custom loss: 0.7891, Total loss: 8.4652
Step 32 - Original loss: 8.5237, Custom loss: 0.9141, Total loss: 8.9807
{'loss': 8.6971, 'learning_rate': 3.651987110633728e-07, 'epoch': 0.01}
Step 34 - Original loss: 9.4416, Custom loss: 0.4141, Total loss: 9.6486
Step 34 - Original loss: 7.7853, Custom loss: 0.7070, Total loss: 8.1388
{'loss': 8.9536, 'learning_rate': 3.8668098818474763e-07, 'epoch': 0.01}
Step 36 - Original loss: 8.3830, Custom loss: 0.3770, Total loss: 8.5715
Step 36 - Original loss: 8.5471, Custom loss: 0.6836, Total loss: 8.8889
{'loss': 8.8544, 'learning_rate': 4.0816326530612243e-07, 'epoch': 0.01}
Step 38 - Original loss: 8.3793, Custom loss: 0.3945, Total loss: 8.5766
Step 38 - Original loss: 7.7074, Custom loss: 1.0703, Total loss: 8.2425
{'loss': 8.3759, 'learning_rate': 4.2964554242749733e-07, 'epoch': 0.01}
Step 40 - Original loss: 7.9730, Custom loss: 0.5078, Total loss: 8.2269
Step 40 - Original loss: 8.0747, Custom loss: 0.5469, Total loss: 8.3481
{'loss': 8.5231, 'learning_rate': 4.511278195488722e-07, 'epoch': 0.01}
Step 42 - Original loss: 7.9885, Custom loss: 0.5703, Total loss: 8.2736
Step 42 - Original loss: 7.3949, Custom loss: 0.2539, Total loss: 7.5218
{'loss': 8.1289, 'learning_rate': 4.726100966702471e-07, 'epoch': 0.01}
Step 44 - Original loss: 7.6097, Custom loss: 0.6133, Total loss: 7.9163
Step 44 - Original loss: 8.4106, Custom loss: 0.6250, Total loss: 8.7231
{'loss': 7.9663, 'learning_rate': 4.940923737916219e-07, 'epoch': 0.01}
Step 46 - Original loss: 7.6293, Custom loss: 0.3418, Total loss: 7.8002
Step 46 - Original loss: 7.1372, Custom loss: 0.6992, Total loss: 7.4868
{'loss': 7.5601, 'learning_rate': 5.155746509129968e-07, 'epoch': 0.01}
Step 48 - Original loss: 7.3244, Custom loss: 0.5586, Total loss: 7.6037
Step 48 - Original loss: 7.0198, Custom loss: 0.4648, Total loss: 7.2522
{'loss': 7.1727, 'learning_rate': 5.370569280343717e-07, 'epoch': 0.01}
Step 50 - Original loss: 6.6761, Custom loss: 0.4688, Total loss: 6.9105
Step 50 - Original loss: 6.3949, Custom loss: 0.6445, Total loss: 6.7171
{'loss': 6.9314, 'learning_rate': 5.585392051557465e-07, 'epoch': 0.01}
Step 52 - Original loss: 5.9691, Custom loss: 0.4668, Total loss: 6.2025
Step 52 - Original loss: 6.6840, Custom loss: 0.6797, Total loss: 7.0238
{'loss': 6.3746, 'learning_rate': 5.800214822771214e-07, 'epoch': 0.01}
Step 54 - Original loss: 6.5823, Custom loss: 0.7383, Total loss: 6.9515
Step 54 - Original loss: 5.2542, Custom loss: 0.6367, Total loss: 5.5726
{'loss': 5.9553, 'learning_rate': 6.015037593984962e-07, 'epoch': 0.01}
Step 56 - Original loss: 6.4496, Custom loss: 0.4238, Total loss: 6.6615
Step 56 - Original loss: 6.0315, Custom loss: 0.4062, Total loss: 6.2346
{'loss': 6.0032, 'learning_rate': 6.229860365198712e-07, 'epoch': 0.01}
Step 58 - Original loss: 5.6331, Custom loss: 0.2891, Total loss: 5.7777
Step 58 - Original loss: 4.8402, Custom loss: 0.4375, Total loss: 5.0589
{'loss': 5.7224, 'learning_rate': 6.44468313641246e-07, 'epoch': 0.01}
Step 60 - Original loss: 6.0940, Custom loss: 0.9062, Total loss: 6.5471
Step 60 - Original loss: 5.3168, Custom loss: 0.2490, Total loss: 5.4413
{'loss': 5.2823, 'learning_rate': 6.659505907626208e-07, 'epoch': 0.01}
Step 62 - Original loss: 4.3425, Custom loss: 0.7734, Total loss: 4.7292
Step 62 - Original loss: 5.0671, Custom loss: 0.3906, Total loss: 5.2624
{'loss': 5.1171, 'learning_rate': 6.874328678839958e-07, 'epoch': 0.01}
Step 64 - Original loss: 4.3804, Custom loss: 0.3984, Total loss: 4.5796
Step 64 - Original loss: 5.0396, Custom loss: 0.3125, Total loss: 5.1958
{'loss': 5.1425, 'learning_rate': 7.089151450053706e-07, 'epoch': 0.01}
Step 66 - Original loss: 4.3623, Custom loss: 0.6797, Total loss: 4.7021
Step 66 - Original loss: 4.2630, Custom loss: 0.2041, Total loss: 4.3651
{'loss': 4.9278, 'learning_rate': 7.303974221267456e-07, 'epoch': 0.01}
Step 68 - Original loss: 4.7741, Custom loss: 0.4355, Total loss: 4.9918
Step 68 - Original loss: 4.2299, Custom loss: 0.7031, Total loss: 4.5815
{'loss': 4.6891, 'learning_rate': 7.518796992481203e-07, 'epoch': 0.02}
Step 70 - Original loss: 4.2688, Custom loss: 0.4746, Total loss: 4.5061
Step 70 - Original loss: 4.1011, Custom loss: 0.2754, Total loss: 4.2388
{'loss': 4.3092, 'learning_rate': 7.733619763694953e-07, 'epoch': 0.02}
Step 72 - Original loss: 4.0958, Custom loss: 0.7305, Total loss: 4.4610
Step 72 - Original loss: 3.8085, Custom loss: 0.3652, Total loss: 3.9911
{'loss': 4.2145, 'learning_rate': 7.948442534908701e-07, 'epoch': 0.02}
Step 74 - Original loss: 4.3840, Custom loss: 0.5000, Total loss: 4.6340
Step 74 - Original loss: 3.4850, Custom loss: 0.6016, Total loss: 3.7858
{'loss': 4.2386, 'learning_rate': 8.163265306122449e-07, 'epoch': 0.02}
Step 76 - Original loss: 4.1787, Custom loss: 0.4922, Total loss: 4.4248
Step 76 - Original loss: 3.7020, Custom loss: 0.3047, Total loss: 3.8544
{'loss': 4.0751, 'learning_rate': 8.378088077336198e-07, 'epoch': 0.02}
Step 78 - Original loss: 3.4696, Custom loss: 0.3730, Total loss: 3.6561
Step 78 - Original loss: 3.6719, Custom loss: 0.8125, Total loss: 4.0781
{'loss': 3.9025, 'learning_rate': 8.592910848549947e-07, 'epoch': 0.02}
Step 80 - Original loss: 3.6145, Custom loss: 0.7383, Total loss: 3.9836
Step 80 - Original loss: 3.7118, Custom loss: 0.3848, Total loss: 3.9042
{'loss': 3.7358, 'learning_rate': 8.807733619763696e-07, 'epoch': 0.02}
Step 82 - Original loss: 3.2577, Custom loss: 0.8125, Total loss: 3.6639
Step 82 - Original loss: 3.5270, Custom loss: 0.2637, Total loss: 3.6589
{'loss': 3.6443, 'learning_rate': 9.022556390977444e-07, 'epoch': 0.02}
Step 84 - Original loss: 3.1603, Custom loss: 0.6602, Total loss: 3.4904
Step 84 - Original loss: 3.1664, Custom loss: 0.2988, Total loss: 3.3158
{'loss': 3.3991, 'learning_rate': 9.237379162191193e-07, 'epoch': 0.02}
Step 86 - Original loss: 3.1448, Custom loss: 0.4160, Total loss: 3.3528
Step 86 - Original loss: 3.2368, Custom loss: 0.4258, Total loss: 3.4497
{'loss': 3.3149, 'learning_rate': 9.452201933404942e-07, 'epoch': 0.02}
Step 88 - Original loss: 3.0015, Custom loss: 0.4590, Total loss: 3.2310
Step 88 - Original loss: 3.1085, Custom loss: 0.8125, Total loss: 3.5147
{'loss': 3.2481, 'learning_rate': 9.667024704618691e-07, 'epoch': 0.02}
Step 90 - Original loss: 2.8242, Custom loss: 0.5898, Total loss: 3.1191
Step 90 - Original loss: 2.8072, Custom loss: 0.2520, Total loss: 2.9332
{'loss': 3.1058, 'learning_rate': 9.881847475832438e-07, 'epoch': 0.02}
Step 92 - Original loss: 2.6323, Custom loss: 0.4824, Total loss: 2.8736
Step 92 - Original loss: 2.8125, Custom loss: 0.2871, Total loss: 2.9561
{'loss': 2.9722, 'learning_rate': 1.0096670247046188e-06, 'epoch': 0.02}
Step 94 - Original loss: 2.6783, Custom loss: 0.4609, Total loss: 2.9088
Step 94 - Original loss: 2.4881, Custom loss: 0.2891, Total loss: 2.6326
{'loss': 2.797, 'learning_rate': 1.0311493018259937e-06, 'epoch': 0.02}
Step 96 - Original loss: 2.2450, Custom loss: 0.1245, Total loss: 2.3072
Step 96 - Original loss: 2.6195, Custom loss: 0.6094, Total loss: 2.9242
{'loss': 2.5436, 'learning_rate': 1.0526315789473685e-06, 'epoch': 0.02}
Step 98 - Original loss: 2.1536, Custom loss: 0.2002, Total loss: 2.2537
Step 98 - Original loss: 2.2927, Custom loss: 0.3027, Total loss: 2.4441
{'loss': 2.3154, 'learning_rate': 1.0741138560687434e-06, 'epoch': 0.02}
Step 100 - Original loss: 2.1454, Custom loss: 0.4004, Total loss: 2.3456
Step 100 - Original loss: 1.9113, Custom loss: 0.4707, Total loss: 2.1466
{'loss': 2.1257, 'learning_rate': 1.0955961331901182e-06, 'epoch': 0.02}
Step 102 - Original loss: 1.7541, Custom loss: 0.1865, Total loss: 1.8474
Step 102 - Original loss: 1.8056, Custom loss: 0.1270, Total loss: 1.8690
{'loss': 1.9596, 'learning_rate': 1.117078410311493e-06, 'epoch': 0.02}
Step 104 - Original loss: 1.6575, Custom loss: 0.4141, Total loss: 1.8645
Step 104 - Original loss: 1.1883, Custom loss: 0.1904, Total loss: 1.2835
{'loss': 1.7515, 'learning_rate': 1.138560687432868e-06, 'epoch': 0.02}
Step 106 - Original loss: 1.4439, Custom loss: 0.5781, Total loss: 1.7329
Step 106 - Original loss: 1.4540, Custom loss: 0.3164, Total loss: 1.6122
{'loss': 1.6737, 'learning_rate': 1.1600429645542428e-06, 'epoch': 0.02}
Step 108 - Original loss: 1.2074, Custom loss: 0.2559, Total loss: 1.3354
Step 108 - Original loss: 1.9895, Custom loss: 0.8633, Total loss: 2.4211
{'loss': 1.4191, 'learning_rate': 1.1815252416756178e-06, 'epoch': 0.02}
Step 110 - Original loss: 0.9562, Custom loss: 0.6211, Total loss: 1.2668
Step 110 - Original loss: 1.1415, Custom loss: 0.6016, Total loss: 1.4422
{'loss': 1.2733, 'learning_rate': 1.2030075187969925e-06, 'epoch': 0.02}
Step 112 - Original loss: 1.0931, Custom loss: 0.5078, Total loss: 1.3470
Step 112 - Original loss: 0.9108, Custom loss: 0.3516, Total loss: 1.0866
{'loss': 1.0992, 'learning_rate': 1.2244897959183673e-06, 'epoch': 0.02}
Step 114 - Original loss: 0.7962, Custom loss: 0.3418, Total loss: 0.9671
Step 114 - Original loss: 0.5509, Custom loss: 0.2451, Total loss: 0.6734
{'loss': 0.8801, 'learning_rate': 1.2459720730397424e-06, 'epoch': 0.02}
Step 116 - Original loss: 0.6463, Custom loss: 0.4531, Total loss: 0.8728
Step 116 - Original loss: 0.5689, Custom loss: 0.3262, Total loss: 0.7320
{'loss': 0.8356, 'learning_rate': 1.2674543501611172e-06, 'epoch': 0.03}
