Step 0 - Original loss: 9.1213, Custom loss: 0.2930, Total loss: 9.4143
Step 0 - Original loss: 9.7231, Custom loss: 0.6211, Total loss: 10.3441
{'loss': 10.1978, 'learning_rate': 2.1482277121374867e-08, 'epoch': 0.0}
{'loss': 10.3009, 'learning_rate': 4.2964554242749734e-08, 'epoch': 0.0}
{'loss': 10.1312, 'learning_rate': 6.44468313641246e-08, 'epoch': 0.0}
{'loss': 10.6327, 'learning_rate': 8.592910848549947e-08, 'epoch': 0.0}
{'loss': 10.096, 'learning_rate': 1.0741138560687433e-07, 'epoch': 0.0}
{'loss': 9.7451, 'learning_rate': 1.288936627282492e-07, 'epoch': 0.0}
{'loss': 9.8872, 'learning_rate': 1.5037593984962406e-07, 'epoch': 0.0}
{'loss': 10.0655, 'learning_rate': 1.7185821697099894e-07, 'epoch': 0.0}
{'loss': 9.9273, 'learning_rate': 1.9334049409237381e-07, 'epoch': 0.0}
{'loss': 10.1726, 'learning_rate': 2.1482277121374867e-07, 'epoch': 0.0}
{'loss': 9.8376, 'learning_rate': 2.3630504833512354e-07, 'epoch': 0.0}
{'loss': 9.9951, 'learning_rate': 2.577873254564984e-07, 'epoch': 0.01}
{'loss': 9.7904, 'learning_rate': 2.7926960257787327e-07, 'epoch': 0.01}
{'loss': 9.4855, 'learning_rate': 3.007518796992481e-07, 'epoch': 0.01}
{'loss': 9.9305, 'learning_rate': 3.22234156820623e-07, 'epoch': 0.01}
{'loss': 9.0359, 'learning_rate': 3.437164339419979e-07, 'epoch': 0.01}
{'loss': 9.0391, 'learning_rate': 3.651987110633728e-07, 'epoch': 0.01}
{'loss': 9.2865, 'learning_rate': 3.8668098818474763e-07, 'epoch': 0.01}
{'loss': 9.249, 'learning_rate': 4.0816326530612243e-07, 'epoch': 0.01}
{'loss': 8.7347, 'learning_rate': 4.2964554242749733e-07, 'epoch': 0.01}
{'loss': 8.8715, 'learning_rate': 4.511278195488722e-07, 'epoch': 0.01}
{'loss': 8.5014, 'learning_rate': 4.726100966702471e-07, 'epoch': 0.01}
{'loss': 8.3586, 'learning_rate': 4.940923737916219e-07, 'epoch': 0.01}
{'loss': 7.9416, 'learning_rate': 5.155746509129968e-07, 'epoch': 0.01}
{'loss': 7.5267, 'learning_rate': 5.370569280343717e-07, 'epoch': 0.01}
{'loss': 7.2753, 'learning_rate': 5.585392051557465e-07, 'epoch': 0.01}
{'loss': 6.7262, 'learning_rate': 5.800214822771214e-07, 'epoch': 0.01}
{'loss': 6.298, 'learning_rate': 6.015037593984962e-07, 'epoch': 0.01}
{'loss': 6.3196, 'learning_rate': 6.229860365198712e-07, 'epoch': 0.01}
{'loss': 5.9891, 'learning_rate': 6.44468313641246e-07, 'epoch': 0.01}
{'loss': 5.55, 'learning_rate': 6.659505907626208e-07, 'epoch': 0.01}
{'loss': 5.4213, 'learning_rate': 6.874328678839958e-07, 'epoch': 0.01}
{'loss': 5.3781, 'learning_rate': 7.089151450053706e-07, 'epoch': 0.01}
{'loss': 5.2157, 'learning_rate': 7.303974221267456e-07, 'epoch': 0.01}
{'loss': 4.9832, 'learning_rate': 7.518796992481203e-07, 'epoch': 0.02}
{'loss': 4.5587, 'learning_rate': 7.733619763694953e-07, 'epoch': 0.02}
{'loss': 4.446, 'learning_rate': 7.948442534908701e-07, 'epoch': 0.02}
{'loss': 4.5499, 'learning_rate': 8.163265306122449e-07, 'epoch': 0.02}
{'loss': 4.3537, 'learning_rate': 8.378088077336198e-07, 'epoch': 0.02}
{'loss': 4.1517, 'learning_rate': 8.592910848549947e-07, 'epoch': 0.02}
{'loss': 3.947, 'learning_rate': 8.807733619763696e-07, 'epoch': 0.02}
{'loss': 3.9205, 'learning_rate': 9.022556390977444e-07, 'epoch': 0.02}
{'loss': 3.6236, 'learning_rate': 9.237379162191193e-07, 'epoch': 0.02}
{'loss': 3.5571, 'learning_rate': 9.452201933404942e-07, 'epoch': 0.02}
{'loss': 3.5245, 'learning_rate': 9.667024704618691e-07, 'epoch': 0.02}
{'loss': 3.3445, 'learning_rate': 9.881847475832438e-07, 'epoch': 0.02}
{'loss': 3.26, 'learning_rate': 1.0096670247046188e-06, 'epoch': 0.02}
{'loss': 3.0791, 'learning_rate': 1.0311493018259937e-06, 'epoch': 0.02}
{'loss': 2.8167, 'learning_rate': 1.0526315789473685e-06, 'epoch': 0.02}
{'loss': 2.5997, 'learning_rate': 1.0741138560687434e-06, 'epoch': 0.02}
Step 100 - Original loss: 2.2941, Custom loss: 0.3652, Total loss: 2.6593
Step 100 - Original loss: 2.0008, Custom loss: 0.3770, Total loss: 2.3778
{'loss': 2.4114, 'learning_rate': 1.0955961331901182e-06, 'epoch': 0.02}
{'loss': 2.2745, 'learning_rate': 1.117078410311493e-06, 'epoch': 0.02}
{'loss': 2.0658, 'learning_rate': 1.138560687432868e-06, 'epoch': 0.02}
{'loss': 2.0334, 'learning_rate': 1.1600429645542428e-06, 'epoch': 0.02}
{'loss': 1.8284, 'learning_rate': 1.1815252416756178e-06, 'epoch': 0.02}
{'loss': 1.6477, 'learning_rate': 1.2030075187969925e-06, 'epoch': 0.02}
{'loss': 1.4862, 'learning_rate': 1.2244897959183673e-06, 'epoch': 0.02}
{'loss': 1.1932, 'learning_rate': 1.2459720730397424e-06, 'epoch': 0.02}
{'loss': 1.149, 'learning_rate': 1.2674543501611172e-06, 'epoch': 0.03}
{'loss': 0.86, 'learning_rate': 1.288936627282492e-06, 'epoch': 0.03}
{'loss': 0.914, 'learning_rate': 1.310418904403867e-06, 'epoch': 0.03}
{'loss': 1.0723, 'learning_rate': 1.3319011815252416e-06, 'epoch': 0.03}
{'loss': 0.9805, 'learning_rate': 1.3533834586466167e-06, 'epoch': 0.03}
{'loss': 0.7792, 'learning_rate': 1.3748657357679915e-06, 'epoch': 0.03}
{'loss': 0.7434, 'learning_rate': 1.3963480128893664e-06, 'epoch': 0.03}
{'loss': 0.67, 'learning_rate': 1.4178302900107412e-06, 'epoch': 0.03}
{'loss': 0.7523, 'learning_rate': 1.4393125671321163e-06, 'epoch': 0.03}
{'loss': 0.7104, 'learning_rate': 1.4607948442534911e-06, 'epoch': 0.03}
{'loss': 0.7607, 'learning_rate': 1.4822771213748658e-06, 'epoch': 0.03}
{'loss': 0.7338, 'learning_rate': 1.5037593984962406e-06, 'epoch': 0.03}
{'loss': 0.6331, 'learning_rate': 1.5252416756176155e-06, 'epoch': 0.03}
{'loss': 0.7496, 'learning_rate': 1.5467239527389905e-06, 'epoch': 0.03}
{'loss': 0.6865, 'learning_rate': 1.5682062298603654e-06, 'epoch': 0.03}
{'loss': 0.5655, 'learning_rate': 1.5896885069817402e-06, 'epoch': 0.03}
