Step 0 - Original loss: 9.0901, Custom loss: 0.2891, Total loss: 0.2891
Step 0 - Original loss: 9.7270, Custom loss: 0.6211, Total loss: 0.6211
{'loss': 0.6663, 'learning_rate': 2.1482277121374867e-08, 'epoch': 0.0}
{'loss': 0.7808, 'learning_rate': 4.2964554242749734e-08, 'epoch': 0.0}
{'loss': 0.5524, 'learning_rate': 6.44468313641246e-08, 'epoch': 0.0}
{'loss': 0.8315, 'learning_rate': 8.592910848549947e-08, 'epoch': 0.0}
{'loss': 0.6497, 'learning_rate': 1.0741138560687433e-07, 'epoch': 0.0}
{'loss': 0.6228, 'learning_rate': 1.288936627282492e-07, 'epoch': 0.0}
{'loss': 0.6235, 'learning_rate': 1.5037593984962406e-07, 'epoch': 0.0}
{'loss': 0.6919, 'learning_rate': 1.7185821697099894e-07, 'epoch': 0.0}
{'loss': 0.6311, 'learning_rate': 1.9334049409237381e-07, 'epoch': 0.0}
{'loss': 0.7534, 'learning_rate': 2.1482277121374867e-07, 'epoch': 0.0}
{'loss': 0.4911, 'learning_rate': 2.3630504833512354e-07, 'epoch': 0.0}
{'loss': 0.7542, 'learning_rate': 2.577873254564984e-07, 'epoch': 0.01}
{'loss': 0.4871, 'learning_rate': 2.7926960257787327e-07, 'epoch': 0.01}
{'loss': 0.5089, 'learning_rate': 3.007518796992481e-07, 'epoch': 0.01}
{'loss': 0.6189, 'learning_rate': 3.22234156820623e-07, 'epoch': 0.01}
{'loss': 0.4697, 'learning_rate': 3.437164339419979e-07, 'epoch': 0.01}
{'loss': 0.552, 'learning_rate': 3.651987110633728e-07, 'epoch': 0.01}
{'loss': 0.5627, 'learning_rate': 3.8668098818474763e-07, 'epoch': 0.01}
{'loss': 0.6807, 'learning_rate': 4.0816326530612243e-07, 'epoch': 0.01}
{'loss': 0.5712, 'learning_rate': 4.2964554242749733e-07, 'epoch': 0.01}
{'loss': 0.5984, 'learning_rate': 4.511278195488722e-07, 'epoch': 0.01}
{'loss': 0.5875, 'learning_rate': 4.726100966702471e-07, 'epoch': 0.01}
{'loss': 0.6487, 'learning_rate': 4.940923737916219e-07, 'epoch': 0.01}
{'loss': 0.5591, 'learning_rate': 5.155746509129968e-07, 'epoch': 0.01}
{'loss': 0.5339, 'learning_rate': 5.370569280343717e-07, 'epoch': 0.01}
{'loss': 0.4773, 'learning_rate': 5.585392051557465e-07, 'epoch': 0.01}
{'loss': 0.5657, 'learning_rate': 5.800214822771214e-07, 'epoch': 0.01}
{'loss': 0.3821, 'learning_rate': 6.015037593984962e-07, 'epoch': 0.01}
{'loss': 0.4958, 'learning_rate': 6.229860365198712e-07, 'epoch': 0.01}
{'loss': 0.3455, 'learning_rate': 6.44468313641246e-07, 'epoch': 0.01}
{'loss': 0.3591, 'learning_rate': 6.659505907626208e-07, 'epoch': 0.01}
{'loss': 0.3875, 'learning_rate': 6.874328678839958e-07, 'epoch': 0.01}
{'loss': 0.3401, 'learning_rate': 7.089151450053706e-07, 'epoch': 0.01}
{'loss': 0.3585, 'learning_rate': 7.303974221267456e-07, 'epoch': 0.01}
{'loss': 0.4302, 'learning_rate': 7.518796992481203e-07, 'epoch': 0.02}
{'loss': 0.3373, 'learning_rate': 7.733619763694953e-07, 'epoch': 0.02}
{'loss': 0.3123, 'learning_rate': 7.948442534908701e-07, 'epoch': 0.02}
{'loss': 0.3723, 'learning_rate': 8.163265306122449e-07, 'epoch': 0.02}
{'loss': 0.2942, 'learning_rate': 8.378088077336198e-07, 'epoch': 0.02}
{'loss': 0.349, 'learning_rate': 8.592910848549947e-07, 'epoch': 0.02}
{'loss': 0.2728, 'learning_rate': 8.807733619763696e-07, 'epoch': 0.02}
{'loss': 0.3484, 'learning_rate': 9.022556390977444e-07, 'epoch': 0.02}
{'loss': 0.2639, 'learning_rate': 9.237379162191193e-07, 'epoch': 0.02}
{'loss': 0.3135, 'learning_rate': 9.452201933404942e-07, 'epoch': 0.02}
{'loss': 0.3232, 'learning_rate': 9.667024704618691e-07, 'epoch': 0.02}
{'loss': 0.2709, 'learning_rate': 9.881847475832438e-07, 'epoch': 0.02}
{'loss': 0.276, 'learning_rate': 1.0096670247046188e-06, 'epoch': 0.02}
{'loss': 0.2733, 'learning_rate': 1.0311493018259937e-06, 'epoch': 0.02}
{'loss': 0.2557, 'learning_rate': 1.0526315789473685e-06, 'epoch': 0.02}
{'loss': 0.2391, 'learning_rate': 1.0741138560687434e-06, 'epoch': 0.02}
Step 100 - Original loss: 10.4884, Custom loss: 0.2598, Total loss: 0.2598
Step 100 - Original loss: 9.8047, Custom loss: 0.2422, Total loss: 0.2422
{'loss': 0.2523, 'learning_rate': 1.0955961331901182e-06, 'epoch': 0.02}
{'loss': 0.267, 'learning_rate': 1.117078410311493e-06, 'epoch': 0.02}
{'loss': 0.2649, 'learning_rate': 1.138560687432868e-06, 'epoch': 0.02}
{'loss': 0.2611, 'learning_rate': 1.1600429645542428e-06, 'epoch': 0.02}
{'loss': 0.2554, 'learning_rate': 1.1815252416756178e-06, 'epoch': 0.02}
{'loss': 0.2603, 'learning_rate': 1.2030075187969925e-06, 'epoch': 0.02}
{'loss': 0.2531, 'learning_rate': 1.2244897959183673e-06, 'epoch': 0.02}
{'loss': 0.2189, 'learning_rate': 1.2459720730397424e-06, 'epoch': 0.02}
{'loss': 0.2739, 'learning_rate': 1.2674543501611172e-06, 'epoch': 0.03}
{'loss': 0.2113, 'learning_rate': 1.288936627282492e-06, 'epoch': 0.03}
{'loss': 0.2186, 'learning_rate': 1.310418904403867e-06, 'epoch': 0.03}
{'loss': 0.3578, 'learning_rate': 1.3319011815252416e-06, 'epoch': 0.03}
{'loss': 0.2366, 'learning_rate': 1.3533834586466167e-06, 'epoch': 0.03}
{'loss': 0.1862, 'learning_rate': 1.3748657357679915e-06, 'epoch': 0.03}
{'loss': 0.1812, 'learning_rate': 1.3963480128893664e-06, 'epoch': 0.03}
{'loss': 0.1868, 'learning_rate': 1.4178302900107412e-06, 'epoch': 0.03}
{'loss': 0.2388, 'learning_rate': 1.4393125671321163e-06, 'epoch': 0.03}
{'loss': 0.1963, 'learning_rate': 1.4607948442534911e-06, 'epoch': 0.03}
{'loss': 0.2423, 'learning_rate': 1.4822771213748658e-06, 'epoch': 0.03}
{'loss': 0.2422, 'learning_rate': 1.5037593984962406e-06, 'epoch': 0.03}
{'loss': 0.1912, 'learning_rate': 1.5252416756176155e-06, 'epoch': 0.03}
{'loss': 0.2057, 'learning_rate': 1.5467239527389905e-06, 'epoch': 0.03}
{'loss': 0.2404, 'learning_rate': 1.5682062298603654e-06, 'epoch': 0.03}
{'loss': 0.2151, 'learning_rate': 1.5896885069817402e-06, 'epoch': 0.03}
{'loss': 0.2139, 'learning_rate': 1.611170784103115e-06, 'epoch': 0.03}
{'loss': 0.1973, 'learning_rate': 1.6326530612244897e-06, 'epoch': 0.03}
{'loss': 0.1523, 'learning_rate': 1.6541353383458648e-06, 'epoch': 0.03}
{'loss': 0.26, 'learning_rate': 1.6756176154672396e-06, 'epoch': 0.03}
{'loss': 0.229, 'learning_rate': 1.6970998925886145e-06, 'epoch': 0.03}
{'loss': 0.1893, 'learning_rate': 1.7185821697099893e-06, 'epoch': 0.03}
{'loss': 0.2419, 'learning_rate': 1.7400644468313644e-06, 'epoch': 0.03}
{'loss': 0.1755, 'learning_rate': 1.7615467239527392e-06, 'epoch': 0.04}
{'loss': 0.2297, 'learning_rate': 1.7830290010741139e-06, 'epoch': 0.04}
{'loss': 0.2446, 'learning_rate': 1.8045112781954887e-06, 'epoch': 0.04}
{'loss': 0.2058, 'learning_rate': 1.8259935553168636e-06, 'epoch': 0.04}
{'loss': 0.215, 'learning_rate': 1.8474758324382386e-06, 'epoch': 0.04}
{'loss': 0.2131, 'learning_rate': 1.8689581095596135e-06, 'epoch': 0.04}
{'loss': 0.2113, 'learning_rate': 1.8904403866809883e-06, 'epoch': 0.04}
{'loss': 0.2076, 'learning_rate': 1.9119226638023634e-06, 'epoch': 0.04}
{'loss': 0.2053, 'learning_rate': 1.9334049409237383e-06, 'epoch': 0.04}
{'loss': 0.2759, 'learning_rate': 1.9548872180451127e-06, 'epoch': 0.04}
{'loss': 0.1741, 'learning_rate': 1.9763694951664875e-06, 'epoch': 0.04}
{'loss': 0.1801, 'learning_rate': 1.997851772287863e-06, 'epoch': 0.04}
{'loss': 0.2188, 'learning_rate': 2.0193340494092377e-06, 'epoch': 0.04}
{'loss': 0.1806, 'learning_rate': 2.0408163265306125e-06, 'epoch': 0.04}
{'loss': 0.2051, 'learning_rate': 2.0622986036519874e-06, 'epoch': 0.04}
{'loss': 0.2315, 'learning_rate': 2.083780880773362e-06, 'epoch': 0.04}
{'loss': 0.1605, 'learning_rate': 2.105263157894737e-06, 'epoch': 0.04}
{'loss': 0.2301, 'learning_rate': 2.126745435016112e-06, 'epoch': 0.04}
{'loss': 0.1763, 'learning_rate': 2.1482277121374868e-06, 'epoch': 0.04}
Step 200 - Original loss: 8.5041, Custom loss: 0.0962, Total loss: 0.0962
Step 200 - Original loss: 10.0706, Custom loss: 0.2100, Total loss: 0.2100
{'loss': 0.2147, 'learning_rate': 2.1697099892588616e-06, 'epoch': 0.04}
{'loss': 0.1991, 'learning_rate': 2.1911922663802365e-06, 'epoch': 0.04}
{'loss': 0.2289, 'learning_rate': 2.2126745435016113e-06, 'epoch': 0.04}
{'loss': 0.1914, 'learning_rate': 2.234156820622986e-06, 'epoch': 0.04}
{'loss': 0.2269, 'learning_rate': 2.255639097744361e-06, 'epoch': 0.05}
{'loss': 0.2306, 'learning_rate': 2.277121374865736e-06, 'epoch': 0.05}
{'loss': 0.2443, 'learning_rate': 2.2986036519871107e-06, 'epoch': 0.05}
{'loss': 0.213, 'learning_rate': 2.3200859291084856e-06, 'epoch': 0.05}
{'loss': 0.1886, 'learning_rate': 2.3415682062298604e-06, 'epoch': 0.05}
{'loss': 0.1923, 'learning_rate': 2.3630504833512357e-06, 'epoch': 0.05}
{'loss': 0.1815, 'learning_rate': 2.3845327604726105e-06, 'epoch': 0.05}
{'loss': 0.2027, 'learning_rate': 2.406015037593985e-06, 'epoch': 0.05}
{'loss': 0.154, 'learning_rate': 2.42749731471536e-06, 'epoch': 0.05}
{'loss': 0.1989, 'learning_rate': 2.4489795918367347e-06, 'epoch': 0.05}
{'loss': 0.1759, 'learning_rate': 2.47046186895811e-06, 'epoch': 0.05}
{'loss': 0.2058, 'learning_rate': 2.491944146079485e-06, 'epoch': 0.05}
{'loss': 0.2474, 'learning_rate': 2.5134264232008592e-06, 'epoch': 0.05}
{'loss': 0.1934, 'learning_rate': 2.5349087003222345e-06, 'epoch': 0.05}
{'loss': 0.1722, 'learning_rate': 2.556390977443609e-06, 'epoch': 0.05}
{'loss': 0.1937, 'learning_rate': 2.577873254564984e-06, 'epoch': 0.05}
{'loss': 0.1969, 'learning_rate': 2.599355531686359e-06, 'epoch': 0.05}
{'loss': 0.2042, 'learning_rate': 2.620837808807734e-06, 'epoch': 0.05}
{'loss': 0.2261, 'learning_rate': 2.6423200859291087e-06, 'epoch': 0.05}
{'loss': 0.1987, 'learning_rate': 2.663802363050483e-06, 'epoch': 0.05}
{'loss': 0.1581, 'learning_rate': 2.6852846401718585e-06, 'epoch': 0.05}
{'loss': 0.1664, 'learning_rate': 2.7067669172932333e-06, 'epoch': 0.05}
{'loss': 0.2036, 'learning_rate': 2.728249194414608e-06, 'epoch': 0.05}
{'loss': 0.1969, 'learning_rate': 2.749731471535983e-06, 'epoch': 0.06}
{'loss': 0.179, 'learning_rate': 2.7712137486573583e-06, 'epoch': 0.06}
{'loss': 0.1975, 'learning_rate': 2.7926960257787327e-06, 'epoch': 0.06}
{'loss': 0.1478, 'learning_rate': 2.8141783029001076e-06, 'epoch': 0.06}
{'loss': 0.178, 'learning_rate': 2.8356605800214824e-06, 'epoch': 0.06}
{'loss': 0.184, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.06}
{'loss': 0.1831, 'learning_rate': 2.8786251342642325e-06, 'epoch': 0.06}
{'loss': 0.1694, 'learning_rate': 2.900107411385607e-06, 'epoch': 0.06}
{'loss': 0.2215, 'learning_rate': 2.9215896885069822e-06, 'epoch': 0.06}
{'loss': 0.178, 'learning_rate': 2.9430719656283567e-06, 'epoch': 0.06}
{'loss': 0.1841, 'learning_rate': 2.9645542427497315e-06, 'epoch': 0.06}
{'loss': 0.1669, 'learning_rate': 2.9860365198711068e-06, 'epoch': 0.06}
{'loss': 0.1777, 'learning_rate': 3.007518796992481e-06, 'epoch': 0.06}
{'loss': 0.209, 'learning_rate': 3.0290010741138565e-06, 'epoch': 0.06}
{'loss': 0.1809, 'learning_rate': 3.050483351235231e-06, 'epoch': 0.06}
{'loss': 0.1776, 'learning_rate': 3.071965628356606e-06, 'epoch': 0.06}
{'loss': 0.1769, 'learning_rate': 3.093447905477981e-06, 'epoch': 0.06}
{'loss': 0.2103, 'learning_rate': 3.1149301825993555e-06, 'epoch': 0.06}
{'loss': 0.2206, 'learning_rate': 3.1364124597207307e-06, 'epoch': 0.06}
{'loss': 0.218, 'learning_rate': 3.157894736842105e-06, 'epoch': 0.06}
{'loss': 0.1759, 'learning_rate': 3.1793770139634804e-06, 'epoch': 0.06}
{'loss': 0.2101, 'learning_rate': 3.2008592910848553e-06, 'epoch': 0.06}
{'loss': 0.2229, 'learning_rate': 3.22234156820623e-06, 'epoch': 0.06}
Step 300 - Original loss: 11.9769, Custom loss: 0.2188, Total loss: 0.2188
Step 300 - Original loss: 10.8283, Custom loss: 0.1992, Total loss: 0.1992
{'loss': 0.167, 'learning_rate': 3.243823845327605e-06, 'epoch': 0.06}
{'loss': 0.1716, 'learning_rate': 3.2653061224489794e-06, 'epoch': 0.07}
{'loss': 0.1721, 'learning_rate': 3.2867883995703547e-06, 'epoch': 0.07}
{'loss': 0.2122, 'learning_rate': 3.3082706766917295e-06, 'epoch': 0.07}
{'loss': 0.1586, 'learning_rate': 3.3297529538131044e-06, 'epoch': 0.07}
{'loss': 0.1654, 'learning_rate': 3.3512352309344792e-06, 'epoch': 0.07}
{'loss': 0.1945, 'learning_rate': 3.3727175080558545e-06, 'epoch': 0.07}
{'loss': 0.1703, 'learning_rate': 3.394199785177229e-06, 'epoch': 0.07}
{'loss': 0.1498, 'learning_rate': 3.415682062298604e-06, 'epoch': 0.07}
{'loss': 0.177, 'learning_rate': 3.4371643394199786e-06, 'epoch': 0.07}
{'loss': 0.1925, 'learning_rate': 3.4586466165413535e-06, 'epoch': 0.07}
{'loss': 0.1868, 'learning_rate': 3.4801288936627288e-06, 'epoch': 0.07}
{'loss': 0.1658, 'learning_rate': 3.501611170784103e-06, 'epoch': 0.07}
{'loss': 0.1891, 'learning_rate': 3.5230934479054785e-06, 'epoch': 0.07}
{'loss': 0.194, 'learning_rate': 3.544575725026853e-06, 'epoch': 0.07}
{'loss': 0.2004, 'learning_rate': 3.5660580021482278e-06, 'epoch': 0.07}
{'loss': 0.1675, 'learning_rate': 3.587540279269603e-06, 'epoch': 0.07}
{'loss': 0.2142, 'learning_rate': 3.6090225563909775e-06, 'epoch': 0.07}
{'loss': 0.1774, 'learning_rate': 3.6305048335123527e-06, 'epoch': 0.07}
{'loss': 0.205, 'learning_rate': 3.651987110633727e-06, 'epoch': 0.07}
{'loss': 0.1751, 'learning_rate': 3.6734693877551024e-06, 'epoch': 0.07}
{'loss': 0.187, 'learning_rate': 3.6949516648764773e-06, 'epoch': 0.07}
{'loss': 0.2014, 'learning_rate': 3.7164339419978526e-06, 'epoch': 0.07}
{'loss': 0.191, 'learning_rate': 3.737916219119227e-06, 'epoch': 0.07}
{'loss': 0.161, 'learning_rate': 3.7593984962406014e-06, 'epoch': 0.08}
{'loss': 0.2125, 'learning_rate': 3.7808807733619767e-06, 'epoch': 0.08}
{'loss': 0.2236, 'learning_rate': 3.8023630504833515e-06, 'epoch': 0.08}
{'loss': 0.1844, 'learning_rate': 3.823845327604727e-06, 'epoch': 0.08}
{'loss': 0.1567, 'learning_rate': 3.845327604726101e-06, 'epoch': 0.08}
{'loss': 0.175, 'learning_rate': 3.8668098818474765e-06, 'epoch': 0.08}
{'loss': 0.2043, 'learning_rate': 3.888292158968851e-06, 'epoch': 0.08}
{'loss': 0.1833, 'learning_rate': 3.909774436090225e-06, 'epoch': 0.08}
{'loss': 0.1722, 'learning_rate': 3.931256713211601e-06, 'epoch': 0.08}
{'loss': 0.1735, 'learning_rate': 3.952738990332975e-06, 'epoch': 0.08}
{'loss': 0.222, 'learning_rate': 3.97422126745435e-06, 'epoch': 0.08}
{'loss': 0.1721, 'learning_rate': 3.995703544575726e-06, 'epoch': 0.08}
{'loss': 0.186, 'learning_rate': 4.017185821697101e-06, 'epoch': 0.08}
{'loss': 0.1907, 'learning_rate': 4.038668098818475e-06, 'epoch': 0.08}
{'loss': 0.17, 'learning_rate': 4.06015037593985e-06, 'epoch': 0.08}
{'loss': 0.1962, 'learning_rate': 4.081632653061225e-06, 'epoch': 0.08}
{'loss': 0.1524, 'learning_rate': 4.1031149301825994e-06, 'epoch': 0.08}
{'loss': 0.2185, 'learning_rate': 4.124597207303975e-06, 'epoch': 0.08}
{'loss': 0.1896, 'learning_rate': 4.146079484425349e-06, 'epoch': 0.08}
{'loss': 0.2468, 'learning_rate': 4.167561761546724e-06, 'epoch': 0.08}
{'loss': 0.167, 'learning_rate': 4.189044038668099e-06, 'epoch': 0.08}
{'loss': 0.229, 'learning_rate': 4.210526315789474e-06, 'epoch': 0.08}
{'loss': 0.1564, 'learning_rate': 4.232008592910849e-06, 'epoch': 0.08}
{'loss': 0.179, 'learning_rate': 4.253490870032224e-06, 'epoch': 0.09}
{'loss': 0.1725, 'learning_rate': 4.274973147153599e-06, 'epoch': 0.09}
{'loss': 0.2129, 'learning_rate': 4.2964554242749735e-06, 'epoch': 0.09}
Step 400 - Original loss: 11.3440, Custom loss: 0.1094, Total loss: 0.1094
Step 400 - Original loss: 12.2351, Custom loss: 0.1543, Total loss: 0.1543
{'loss': 0.174, 'learning_rate': 4.317937701396349e-06, 'epoch': 0.09}
{'loss': 0.1887, 'learning_rate': 4.339419978517723e-06, 'epoch': 0.09}
{'loss': 0.2079, 'learning_rate': 4.360902255639098e-06, 'epoch': 0.09}
{'loss': 0.1703, 'learning_rate': 4.382384532760473e-06, 'epoch': 0.09}
{'loss': 0.1514, 'learning_rate': 4.403866809881847e-06, 'epoch': 0.09}
{'loss': 0.1501, 'learning_rate': 4.425349087003223e-06, 'epoch': 0.09}
{'loss': 0.1832, 'learning_rate': 4.446831364124598e-06, 'epoch': 0.09}
{'loss': 0.1714, 'learning_rate': 4.468313641245972e-06, 'epoch': 0.09}
{'loss': 0.1498, 'learning_rate': 4.489795918367348e-06, 'epoch': 0.09}
{'loss': 0.17, 'learning_rate': 4.511278195488722e-06, 'epoch': 0.09}
{'loss': 0.1514, 'learning_rate': 4.532760472610097e-06, 'epoch': 0.09}
{'loss': 0.1345, 'learning_rate': 4.554242749731472e-06, 'epoch': 0.09}
{'loss': 0.1898, 'learning_rate': 4.575725026852847e-06, 'epoch': 0.09}
{'loss': 0.1348, 'learning_rate': 4.5972073039742214e-06, 'epoch': 0.09}
{'loss': 0.1735, 'learning_rate': 4.618689581095597e-06, 'epoch': 0.09}
{'loss': 0.1986, 'learning_rate': 4.640171858216971e-06, 'epoch': 0.09}
{'loss': 0.2075, 'learning_rate': 4.661654135338346e-06, 'epoch': 0.09}
{'loss': 0.2137, 'learning_rate': 4.683136412459721e-06, 'epoch': 0.09}
{'loss': 0.1399, 'learning_rate': 4.704618689581096e-06, 'epoch': 0.09}
{'loss': 0.1544, 'learning_rate': 4.726100966702471e-06, 'epoch': 0.09}
{'loss': 0.1835, 'learning_rate': 4.747583243823846e-06, 'epoch': 0.09}
{'loss': 0.1499, 'learning_rate': 4.769065520945221e-06, 'epoch': 0.1}
{'loss': 0.2047, 'learning_rate': 4.7905477980665955e-06, 'epoch': 0.1}
{'loss': 0.1829, 'learning_rate': 4.81203007518797e-06, 'epoch': 0.1}
{'loss': 0.1725, 'learning_rate': 4.833512352309345e-06, 'epoch': 0.1}
{'loss': 0.1929, 'learning_rate': 4.85499462943072e-06, 'epoch': 0.1}
{'loss': 0.1973, 'learning_rate': 4.876476906552095e-06, 'epoch': 0.1}
{'loss': 0.1562, 'learning_rate': 4.897959183673469e-06, 'epoch': 0.1}
{'loss': 0.1584, 'learning_rate': 4.919441460794845e-06, 'epoch': 0.1}
{'loss': 0.15, 'learning_rate': 4.94092373791622e-06, 'epoch': 0.1}
{'loss': 0.1627, 'learning_rate': 4.962406015037594e-06, 'epoch': 0.1}
{'loss': 0.1621, 'learning_rate': 4.98388829215897e-06, 'epoch': 0.1}
{'loss': 0.1825, 'learning_rate': 5.005370569280345e-06, 'epoch': 0.1}
{'loss': 0.187, 'learning_rate': 5.0268528464017184e-06, 'epoch': 0.1}
{'loss': 0.157, 'learning_rate': 5.048335123523094e-06, 'epoch': 0.1}
{'loss': 0.1746, 'learning_rate': 5.069817400644469e-06, 'epoch': 0.1}
{'loss': 0.1693, 'learning_rate': 5.091299677765844e-06, 'epoch': 0.1}
{'loss': 0.1468, 'learning_rate': 5.112781954887218e-06, 'epoch': 0.1}
{'loss': 0.1844, 'learning_rate': 5.134264232008593e-06, 'epoch': 0.1}
{'loss': 0.1779, 'learning_rate': 5.155746509129968e-06, 'epoch': 0.1}
{'loss': 0.1866, 'learning_rate': 5.177228786251343e-06, 'epoch': 0.1}
{'loss': 0.1987, 'learning_rate': 5.198711063372718e-06, 'epoch': 0.1}
{'loss': 0.1767, 'learning_rate': 5.220193340494093e-06, 'epoch': 0.1}
{'loss': 0.1505, 'learning_rate': 5.241675617615468e-06, 'epoch': 0.1}
{'loss': 0.2122, 'learning_rate': 5.263157894736842e-06, 'epoch': 0.11}
{'loss': 0.1782, 'learning_rate': 5.2846401718582175e-06, 'epoch': 0.11}
{'loss': 0.1656, 'learning_rate': 5.306122448979593e-06, 'epoch': 0.11}
{'loss': 0.1777, 'learning_rate': 5.327604726100966e-06, 'epoch': 0.11}
{'loss': 0.1979, 'learning_rate': 5.349087003222342e-06, 'epoch': 0.11}
{'loss': 0.1921, 'learning_rate': 5.370569280343717e-06, 'epoch': 0.11}
Step 500 - Original loss: 12.6029, Custom loss: 0.1377, Total loss: 0.1377
Step 500 - Original loss: 12.3295, Custom loss: 0.1025, Total loss: 0.1025
{'loss': 0.1895, 'learning_rate': 5.392051557465092e-06, 'epoch': 0.11}
{'loss': 0.1572, 'learning_rate': 5.413533834586467e-06, 'epoch': 0.11}
{'loss': 0.209, 'learning_rate': 5.435016111707842e-06, 'epoch': 0.11}
{'loss': 0.1833, 'learning_rate': 5.456498388829216e-06, 'epoch': 0.11}
{'loss': 0.1899, 'learning_rate': 5.477980665950591e-06, 'epoch': 0.11}
{'loss': 0.1992, 'learning_rate': 5.499462943071966e-06, 'epoch': 0.11}
{'loss': 0.1583, 'learning_rate': 5.520945220193341e-06, 'epoch': 0.11}
{'loss': 0.2142, 'learning_rate': 5.5424274973147166e-06, 'epoch': 0.11}
{'loss': 0.1775, 'learning_rate': 5.56390977443609e-06, 'epoch': 0.11}
{'loss': 0.1439, 'learning_rate': 5.585392051557465e-06, 'epoch': 0.11}
{'loss': 0.1445, 'learning_rate': 5.606874328678841e-06, 'epoch': 0.11}
{'loss': 0.1726, 'learning_rate': 5.628356605800215e-06, 'epoch': 0.11}
{'loss': 0.2007, 'learning_rate': 5.64983888292159e-06, 'epoch': 0.11}
{'loss': 0.1807, 'learning_rate': 5.671321160042965e-06, 'epoch': 0.11}
{'loss': 0.1573, 'learning_rate': 5.69280343716434e-06, 'epoch': 0.11}
{'loss': 0.1982, 'learning_rate': 5.7142857142857145e-06, 'epoch': 0.11}
{'loss': 0.1598, 'learning_rate': 5.73576799140709e-06, 'epoch': 0.11}
{'loss': 0.1888, 'learning_rate': 5.757250268528465e-06, 'epoch': 0.12}
{'loss': 0.1591, 'learning_rate': 5.778732545649839e-06, 'epoch': 0.12}
{'loss': 0.1718, 'learning_rate': 5.800214822771214e-06, 'epoch': 0.12}
{'loss': 0.1719, 'learning_rate': 5.821697099892589e-06, 'epoch': 0.12}
{'loss': 0.1356, 'learning_rate': 5.8431793770139645e-06, 'epoch': 0.12}
{'loss': 0.162, 'learning_rate': 5.864661654135339e-06, 'epoch': 0.12}
{'loss': 0.1893, 'learning_rate': 5.886143931256713e-06, 'epoch': 0.12}
{'loss': 0.1851, 'learning_rate': 5.907626208378089e-06, 'epoch': 0.12}
{'loss': 0.176, 'learning_rate': 5.929108485499463e-06, 'epoch': 0.12}
{'loss': 0.1193, 'learning_rate': 5.950590762620838e-06, 'epoch': 0.12}
{'loss': 0.1688, 'learning_rate': 5.9720730397422136e-06, 'epoch': 0.12}
{'loss': 0.1416, 'learning_rate': 5.993555316863589e-06, 'epoch': 0.12}
{'loss': 0.2079, 'learning_rate': 6.015037593984962e-06, 'epoch': 0.12}
{'loss': 0.1575, 'learning_rate': 6.036519871106338e-06, 'epoch': 0.12}
{'loss': 0.1566, 'learning_rate': 6.058002148227713e-06, 'epoch': 0.12}
{'loss': 0.2071, 'learning_rate': 6.079484425349087e-06, 'epoch': 0.12}
{'loss': 0.1526, 'learning_rate': 6.100966702470462e-06, 'epoch': 0.12}
{'loss': 0.2032, 'learning_rate': 6.122448979591837e-06, 'epoch': 0.12}
{'loss': 0.1675, 'learning_rate': 6.143931256713212e-06, 'epoch': 0.12}
{'loss': 0.1893, 'learning_rate': 6.165413533834587e-06, 'epoch': 0.12}
{'loss': 0.1852, 'learning_rate': 6.186895810955962e-06, 'epoch': 0.12}
{'loss': 0.1631, 'learning_rate': 6.208378088077337e-06, 'epoch': 0.12}
{'loss': 0.1705, 'learning_rate': 6.229860365198711e-06, 'epoch': 0.12}
{'loss': 0.1493, 'learning_rate': 6.251342642320086e-06, 'epoch': 0.13}
{'loss': 0.1628, 'learning_rate': 6.2728249194414615e-06, 'epoch': 0.13}
{'loss': 0.1265, 'learning_rate': 6.294307196562837e-06, 'epoch': 0.13}
{'loss': 0.1714, 'learning_rate': 6.31578947368421e-06, 'epoch': 0.13}
{'loss': 0.161, 'learning_rate': 6.337271750805586e-06, 'epoch': 0.13}
{'loss': 0.1981, 'learning_rate': 6.358754027926961e-06, 'epoch': 0.13}
