Step 0 - Original loss: 9.1174, KL loss: 0.2949, MSE loss: 0.0593, Total loss: 9.2946
Step 0 - Original loss: 9.6957, KL loss: 0.6289, MSE loss: 0.1758, Total loss: 10.0981
{'loss': 9.9347, 'learning_rate': 2.1482277121374867e-08, 'epoch': 0.0}
{'loss': 9.9969, 'learning_rate': 4.2964554242749734e-08, 'epoch': 0.0}
{'loss': 9.9324, 'learning_rate': 6.44468313641246e-08, 'epoch': 0.0}
{'loss': 10.2729, 'learning_rate': 8.592910848549947e-08, 'epoch': 0.0}
{'loss': 9.8379, 'learning_rate': 1.0741138560687433e-07, 'epoch': 0.0}
{'loss': 9.5117, 'learning_rate': 1.288936627282492e-07, 'epoch': 0.0}
{'loss': 9.6473, 'learning_rate': 1.5037593984962406e-07, 'epoch': 0.0}
{'loss': 9.8055, 'learning_rate': 1.7185821697099894e-07, 'epoch': 0.0}
{'loss': 9.6908, 'learning_rate': 1.9334049409237381e-07, 'epoch': 0.0}
{'loss': 9.8645, 'learning_rate': 2.1482277121374867e-07, 'epoch': 0.0}
{'loss': 9.6382, 'learning_rate': 2.3630504833512354e-07, 'epoch': 0.0}
{'loss': 9.6898, 'learning_rate': 2.577873254564984e-07, 'epoch': 0.01}
{'loss': 9.5959, 'learning_rate': 2.7926960257787327e-07, 'epoch': 0.01}
{'loss': 9.2916, 'learning_rate': 3.007518796992481e-07, 'epoch': 0.01}
{'loss': 9.6845, 'learning_rate': 3.22234156820623e-07, 'epoch': 0.01}
{'loss': 8.8374, 'learning_rate': 3.437164339419979e-07, 'epoch': 0.01}
{'loss': 8.8166, 'learning_rate': 3.651987110633728e-07, 'epoch': 0.01}
{'loss': 9.0553, 'learning_rate': 3.8668098818474763e-07, 'epoch': 0.01}
{'loss': 8.9664, 'learning_rate': 4.0816326530612243e-07, 'epoch': 0.01}
{'loss': 8.5081, 'learning_rate': 4.2964554242749733e-07, 'epoch': 0.01}
{'loss': 8.6524, 'learning_rate': 4.511278195488722e-07, 'epoch': 0.01}
{'loss': 8.2471, 'learning_rate': 4.726100966702471e-07, 'epoch': 0.01}
{'loss': 8.1082, 'learning_rate': 4.940923737916219e-07, 'epoch': 0.01}
{'loss': 7.7164, 'learning_rate': 5.155746509129968e-07, 'epoch': 0.01}
{'loss': 7.3328, 'learning_rate': 5.370569280343717e-07, 'epoch': 0.01}
Step 50 - Original loss: 6.7543, KL loss: 0.4590, MSE loss: 0.0967, Total loss: 7.0321
Step 50 - Original loss: 6.5160, KL loss: 0.6680, MSE loss: 0.1670, Total loss: 6.9335
{'loss': 7.0696, 'learning_rate': 5.585392051557465e-07, 'epoch': 0.01}
{'loss': 6.5268, 'learning_rate': 5.800214822771214e-07, 'epoch': 0.01}
{'loss': 6.101, 'learning_rate': 6.015037593984962e-07, 'epoch': 0.01}
{'loss': 6.1051, 'learning_rate': 6.229860365198712e-07, 'epoch': 0.01}
{'loss': 5.8338, 'learning_rate': 6.44468313641246e-07, 'epoch': 0.01}
{'loss': 5.3679, 'learning_rate': 6.659505907626208e-07, 'epoch': 0.01}
{'loss': 5.2285, 'learning_rate': 6.874328678839958e-07, 'epoch': 0.01}
{'loss': 5.2317, 'learning_rate': 7.089151450053706e-07, 'epoch': 0.01}
{'loss': 5.0494, 'learning_rate': 7.303974221267456e-07, 'epoch': 0.01}
{'loss': 4.7848, 'learning_rate': 7.518796992481203e-07, 'epoch': 0.02}
{'loss': 4.4027, 'learning_rate': 7.733619763694953e-07, 'epoch': 0.02}
{'loss': 4.296, 'learning_rate': 7.948442534908701e-07, 'epoch': 0.02}
{'loss': 4.3434, 'learning_rate': 8.163265306122449e-07, 'epoch': 0.02}
{'loss': 4.1628, 'learning_rate': 8.378088077336198e-07, 'epoch': 0.02}
{'loss': 3.9859, 'learning_rate': 8.592910848549947e-07, 'epoch': 0.02}
{'loss': 3.8038, 'learning_rate': 8.807733619763696e-07, 'epoch': 0.02}
{'loss': 3.7623, 'learning_rate': 9.022556390977444e-07, 'epoch': 0.02}
{'loss': 3.5026, 'learning_rate': 9.237379162191193e-07, 'epoch': 0.02}
{'loss': 3.4414, 'learning_rate': 9.452201933404942e-07, 'epoch': 0.02}
{'loss': 3.3574, 'learning_rate': 9.667024704618691e-07, 'epoch': 0.02}
{'loss': 3.2421, 'learning_rate': 9.881847475832438e-07, 'epoch': 0.02}
{'loss': 3.1521, 'learning_rate': 1.0096670247046188e-06, 'epoch': 0.02}
{'loss': 2.992, 'learning_rate': 1.0311493018259937e-06, 'epoch': 0.02}
{'loss': 2.7482, 'learning_rate': 1.0526315789473685e-06, 'epoch': 0.02}
{'loss': 2.5114, 'learning_rate': 1.0741138560687434e-06, 'epoch': 0.02}
Step 100 - Original loss: 2.3677, KL loss: 0.4473, MSE loss: 0.1074, Total loss: 2.6450
Step 100 - Original loss: 2.0984, KL loss: 0.4121, MSE loss: 0.1133, Total loss: 2.3611
{'loss': 2.3474, 'learning_rate': 1.0955961331901182e-06, 'epoch': 0.02}
{'loss': 2.2126, 'learning_rate': 1.117078410311493e-06, 'epoch': 0.02}
{'loss': 1.9935, 'learning_rate': 1.138560687432868e-06, 'epoch': 0.02}
{'loss': 1.932, 'learning_rate': 1.1600429645542428e-06, 'epoch': 0.02}
{'loss': 1.6925, 'learning_rate': 1.1815252416756178e-06, 'epoch': 0.02}
{'loss': 1.5119, 'learning_rate': 1.2030075187969925e-06, 'epoch': 0.02}
{'loss': 1.3064, 'learning_rate': 1.2244897959183673e-06, 'epoch': 0.02}
{'loss': 1.0555, 'learning_rate': 1.2459720730397424e-06, 'epoch': 0.02}
{'loss': 0.9967, 'learning_rate': 1.2674543501611172e-06, 'epoch': 0.03}
{'loss': 0.737, 'learning_rate': 1.288936627282492e-06, 'epoch': 0.03}
{'loss': 0.7935, 'learning_rate': 1.310418904403867e-06, 'epoch': 0.03}
{'loss': 0.9016, 'learning_rate': 1.3319011815252416e-06, 'epoch': 0.03}
{'loss': 0.8261, 'learning_rate': 1.3533834586466167e-06, 'epoch': 0.03}
{'loss': 0.6449, 'learning_rate': 1.3748657357679915e-06, 'epoch': 0.03}
{'loss': 0.6334, 'learning_rate': 1.3963480128893664e-06, 'epoch': 0.03}
{'loss': 0.5855, 'learning_rate': 1.4178302900107412e-06, 'epoch': 0.03}
{'loss': 0.6591, 'learning_rate': 1.4393125671321163e-06, 'epoch': 0.03}
{'loss': 0.6203, 'learning_rate': 1.4607948442534911e-06, 'epoch': 0.03}
{'loss': 0.6418, 'learning_rate': 1.4822771213748658e-06, 'epoch': 0.03}
{'loss': 0.6319, 'learning_rate': 1.5037593984962406e-06, 'epoch': 0.03}
{'loss': 0.5376, 'learning_rate': 1.5252416756176155e-06, 'epoch': 0.03}
{'loss': 0.6264, 'learning_rate': 1.5467239527389905e-06, 'epoch': 0.03}
{'loss': 0.5896, 'learning_rate': 1.5682062298603654e-06, 'epoch': 0.03}
{'loss': 0.4759, 'learning_rate': 1.5896885069817402e-06, 'epoch': 0.03}
{'loss': 0.5358, 'learning_rate': 1.611170784103115e-06, 'epoch': 0.03}
Step 150 - Original loss: 0.2359, KL loss: 0.3164, MSE loss: 0.0432, Total loss: 0.4157
Step 150 - Original loss: 0.2250, KL loss: 0.2441, MSE loss: 0.0383, Total loss: 0.3662
{'loss': 0.4651, 'learning_rate': 1.6326530612244897e-06, 'epoch': 0.03}
{'loss': 0.4908, 'learning_rate': 1.6541353383458648e-06, 'epoch': 0.03}
{'loss': 0.5413, 'learning_rate': 1.6756176154672396e-06, 'epoch': 0.03}
{'loss': 0.5918, 'learning_rate': 1.6970998925886145e-06, 'epoch': 0.03}
{'loss': 0.4318, 'learning_rate': 1.7185821697099893e-06, 'epoch': 0.03}
{'loss': 0.6063, 'learning_rate': 1.7400644468313644e-06, 'epoch': 0.03}
{'loss': 0.501, 'learning_rate': 1.7615467239527392e-06, 'epoch': 0.04}
{'loss': 0.5008, 'learning_rate': 1.7830290010741139e-06, 'epoch': 0.04}
{'loss': 0.617, 'learning_rate': 1.8045112781954887e-06, 'epoch': 0.04}
{'loss': 0.5237, 'learning_rate': 1.8259935553168636e-06, 'epoch': 0.04}
{'loss': 0.6944, 'learning_rate': 1.8474758324382386e-06, 'epoch': 0.04}
