Step 0 - Original loss: 9.4616, KL loss: 9.7500, MSE loss: 0.8789, Total loss: 14.7761
Step 0 - Original loss: 9.8254, KL loss: 9.6875, MSE loss: 0.6953, Total loss: 15.0168
{'loss': 14.9436, 'learning_rate': 2.1482277121374867e-08, 'epoch': 0.0}
{'loss': 14.909, 'learning_rate': 4.2964554242749734e-08, 'epoch': 0.0}
{'loss': 14.8816, 'learning_rate': 6.44468313641246e-08, 'epoch': 0.0}
{'loss': 14.8874, 'learning_rate': 8.592910848549947e-08, 'epoch': 0.0}
{'loss': 14.5119, 'learning_rate': 1.0741138560687433e-07, 'epoch': 0.0}
{'loss': 14.2753, 'learning_rate': 1.288936627282492e-07, 'epoch': 0.0}
{'loss': 14.3666, 'learning_rate': 1.5037593984962406e-07, 'epoch': 0.0}
{'loss': 14.1295, 'learning_rate': 1.7185821697099894e-07, 'epoch': 0.0}
{'loss': 13.8651, 'learning_rate': 1.9334049409237381e-07, 'epoch': 0.0}
{'loss': 13.7909, 'learning_rate': 2.1482277121374867e-07, 'epoch': 0.0}
{'loss': 13.5161, 'learning_rate': 2.3630504833512354e-07, 'epoch': 0.0}
{'loss': 13.1776, 'learning_rate': 2.577873254564984e-07, 'epoch': 0.01}
{'loss': 12.9115, 'learning_rate': 2.7926960257787327e-07, 'epoch': 0.01}
{'loss': 12.3043, 'learning_rate': 3.007518796992481e-07, 'epoch': 0.01}
{'loss': 12.1885, 'learning_rate': 3.22234156820623e-07, 'epoch': 0.01}
{'loss': 11.3526, 'learning_rate': 3.437164339419979e-07, 'epoch': 0.01}
{'loss': 10.7926, 'learning_rate': 3.651987110633728e-07, 'epoch': 0.01}
{'loss': 10.714, 'learning_rate': 3.8668098818474763e-07, 'epoch': 0.01}
{'loss': 10.335, 'learning_rate': 4.0816326530612243e-07, 'epoch': 0.01}
{'loss': 9.583, 'learning_rate': 4.2964554242749733e-07, 'epoch': 0.01}
{'loss': 9.9479, 'learning_rate': 4.511278195488722e-07, 'epoch': 0.01}
